_id,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status
2010-018740-13-NL,University Medical Center Groningen,NA,NA,unknown,accepted
2010-018741-65-BE,Ophthotech,NA,NA,industry,accepted
2010-018751-10-FR,CHU de Clermont-Ferrand,NA,NA,hospital,accepted
2010-018752-27-NL,Radboudumc,NA,NA,unknown,accepted
2010-018754-13-DE,Krankenhaus Nordwest gGmbH,NA,NA,unknown,accepted
2010-018759-82-FI,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2010-018761-35-IS,Lipid Pharmaceuticals ehf / Lsi hf,NA,NA,industry,accepted
2010-018762-23-IT,Azienda Unità Sanitaria Locale N 12 di Viareggio,NA,NA,unknown,accepted
2010-018763-42-GB,University Of Dundee,NA,NA,unknown,accepted
2010-018766-23-BE,Novartis,Novartis,Novartis,industry,accepted
2010-018767-42-IT,Fondazione Centro S. Raffaele del Monte Tabor,NA,NA,foundation,accepted
2010-018768-18-AT,AOP Orphan Pharmaceuticals,NA,NA,industry,accepted
2010-018770-20-NO,Oslo University Hospital,NA,NA,hospital,accepted
2010-018771-23-IT,Azienda Ospedaliera S. Croce e Carle,NA,NA,unknown,accepted
2010-018774-21-DE,Menarini International Operation Luxembourg,NA,NA,industry,accepted
2010-018775-17-BE,GSK,GSK,GSK,industry,accepted
2010-018776-24-GB,Cambridge University Hospitals NHS Foundation Trust,NA,NA,hospital,accepted
2010-018780-42-BE,GSK,GSK,GSK,industry,accepted
2010-018781-23-NL,Top Institute Food and Nutrition,NA,NA,industry,accepted
2010-018786-33-DE,Bionorica SE,NA,NA,industry,accepted
2010-018791-24-DE,"Kliniken der Stadt Koeln gGmbH, Klinikum Merheim",NA,NA,hospital,accepted
2010-018792-17-DE,"Kliniken der Stadt Koeln gGmbH, Klinikum Merheim",NA,NA,hospital,accepted
2010-018793-21-DE,Celtic Pharma Development Services Bermuda,NA,NA,industry,accepted
2010-018794-38-IT,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,NA,NA,hospital,accepted
2010-018795-24-FR,Alliance pour la recherche en cancrologie,NA,NA,cooperative_group,accepted
2010-018796-21-DE,Otsuka Pharmaceutical,Otsuka Pharmaceutical,Otsuka Pharmaceutical,industry,accepted
2010-018798-39-AT,Medical University Of Graz,Medical University Of Graz,Medical University Of Graz,unknown,accepted
2010-018837-23-GB,Cardiff University,NA,NA,unknown,accepted
2010-018838-45-SI,Relypsa,NA,NA,industry,accepted
2010-018849-59-DE,GMIHO,NA,NA,unknown,accepted
2010-018850-11-DE,Medizinische Hochschule Hannover,NA,NA,academic,accepted
2010-018851-88-GB,MolMed,NA,NA,industry,accepted
2010-018852-29-DE,Novartis,Novartis,Novartis,industry,accepted
2010-018853-36-IT,Prof. Stefano Gandolfi-Universita degli studi di Parma,NA,NA,unknown,accepted
2010-018858-12-BG,Otsuka Pharmaceutical,Otsuka Pharmaceutical,Otsuka Pharmaceutical,industry,accepted
2010-018859-97-ES,Otsuka Pharmaceutical,Otsuka Pharmaceutical,Otsuka Pharmaceutical,industry,accepted
2010-018860-17-BG,Otsuka Pharmaceutical,Otsuka Pharmaceutical,Otsuka Pharmaceutical,industry,accepted
2010-018861-53-NL,Leiden University Medical Center,NA,NA,unknown,accepted
2010-018862-22-DE,NA,NA,NA,hospital,review
2010-018863-40-AT,Bayer,Bayer,Bayer,industry,accepted
2010-018866-21-IT,"AIL - Associazione Italiana contro le Leucemie, Linfomi e Mielomi",NA,NA,unknown,accepted
2010-018869-29-FR,Centre Léon Bérard,NA,NA,unknown,accepted
2010-018870-19-IT,Azienda Universitaria Policlinico Umberto I di Roma,NA,NA,hospital,accepted
2010-018873-39-IT,Dutch-Belgian Cooperative Trial Group for Hematology Oncology,NA,NA,cooperative_group,accepted
2010-018874-19-BE,Siemens Molecular Imaging,NA,NA,industry,accepted
2010-018875-30-FR,CHU de Nantes,NA,NA,hospital,accepted
2010-018878-21-GB,St Stephens Aids Trust,NA,NA,unknown,accepted
2010-018880-41-IT,Azienda Ospedaliera Di Bologna Policlinico S Orsola M Malpighi,NA,NA,hospital,accepted
2010-018892-20-DE,Herz- Diabeteszentrum NRW,NA,NA,unknown,accepted
2010-018893-19-CZ,AEterna Zentaris,NA,NA,industry,accepted
2010-018898-37-ES,Grupo Español de Tratamiento de los Tumores de Cabeza y Cuello TTCC,NA,NA,unknown,accepted
