_id,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status
2004-000007-18-SE,GSK,GSK,GSK,industry,accepted
2004-000012-13-CZ,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000015-25-GB,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000016-10-FI,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000020-32-BE,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2004-000022-75-ES,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2004-000023-15-AT,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000025-29-BE,Novartis,Novartis,Novartis,industry,accepted
2004-000028-34-DK,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000029-31-IE,InterMune,NA,NA,industry,accepted
2004-000033-11-DE,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2004-000035-28-GB,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000039-27-AT,MedImmune,AstraZeneca,AstraZeneca,industry,accepted
2004-000046-21-CZ,Centocor,Johnson & Johnson,Janssen / Johnson & Johnson,industry,accepted
2004-000047-18-SE,Biogen,Biogen,Biogen,industry,accepted
2004-000050-23-CZ,Organon,Organon,Organon,industry,accepted
2004-000053-34-CZ,Orion,NA,NA,industry,accepted
2004-000060-27-IT,GSK,GSK,GSK,industry,accepted
2004-000063-10-GB,Galderma Research and Development,NA,NA,industry,accepted
2004-000073-64-FI,"Merck Co., Inc./Suomen MSD Oy",NA,NA,industry,accepted
2004-000074-31-BE,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000081-13-GB,Roche,Roche,Roche,industry,accepted
2004-000083-27-AT,ALK-Abello,ALK-Abello,ALK-Abello,industry,accepted
2004-000086-35-FI,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted
2004-000087-27-FI,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted
2004-000088-92-ES,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted
2004-000089-11-AT,Axonyx,NA,NA,industry,accepted
2004-000091-14-ES,GSK,GSK,GSK,industry,accepted
2004-000100-40-DK,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted
2004-000106-41-SE,GSK,GSK,GSK,industry,accepted
2004-000107-18-GB,Alliance Pharmaceuticals,NA,NA,industry,accepted
2004-000108-42-GB,Alliance Pharmaceuticals,NA,NA,industry,accepted
2004-000113-18-ES,Novartis,Novartis,Novartis,industry,accepted
2004-000114-40-AT,Novartis,Novartis,Novartis,industry,accepted
2004-000119-24-ES,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2004-000120-32-BE,Schering-Plough,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000134-37-CZ,Amgen,Amgen,Amgen,industry,accepted
2004-000137-11-CZ,Merck,Merck KGaA,Merck KGaA / EMD Serono,industry,accepted
2004-000138-35-AT,Amgen,Amgen,Amgen,industry,accepted
2004-000139-27-SE,Pfizer,Pfizer,Pfizer,industry,accepted
2004-000140-25-GB,Procter & Gamble,NA,NA,industry,accepted
2004-000142-20-AT,Procter & Gamble,NA,NA,industry,accepted
2004-000145-38-CZ,Centocor,Johnson & Johnson,Janssen / Johnson & Johnson,industry,accepted
2004-000148-26-AT,Schwarz Biosciences,NA,NA,industry,accepted
2004-000149-39-IT,Genzyme,Sanofi,Sanofi,industry,accepted
2004-000152-16-CZ,Schwarz Biosciences,NA,NA,industry,accepted
2004-000156-16-ES,Pfizer,Pfizer,Pfizer,industry,accepted
2004-000166-13-DE,GBG Forschungs,NA,NA,industry,accepted
2004-000167-95-DE,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000168-28-BE,International Breast Cancer Study Group IBCSG,NA,NA,cooperative_group,accepted
2004-000172-13-BE,Amgen,Amgen,Amgen,industry,accepted
2004-000173-65-ES,Amgen,Amgen,Amgen,industry,accepted
2004-000174-31-ES,Amgen,Amgen,Amgen,industry,accepted
2004-000185-12-AT,Orion,NA,NA,industry,accepted
2004-000186-35-HU,Novartis,Novartis,Novartis,industry,accepted
2004-000193-31-GB,University College London,NA,NA,academic,accepted
2004-000195-13-GB,Novartis,Novartis,Novartis,industry,accepted
2004-000199-14-BE,UCB,UCB,UCB,industry,accepted
2004-000200-40-BE,UCB,UCB,UCB,industry,accepted
2004-000202-49-EE,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2004-000211-26-SE,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000213-19-LT,Lundbeck,Lundbeck,Lundbeck,industry,accepted
2004-000219-24-BE,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000231-29-ES,Roche,Roche,Roche,industry,accepted
2004-000232-91-ES,Fresenius Biotech,NA,NA,industry,accepted
2004-000235-28-GB,Sepracor,NA,NA,industry,accepted
2004-000238-36-GB,University of Edinburgh / NHS Lothian Health Board,NA,NA,unknown,accepted
2004-000240-25-FI,Novartis,Novartis,Novartis,industry,accepted
2004-000242-20-BE,Universitair Ziekenhuis Gent,University Hospital Ghent,University Hospital Ghent,hospital,accepted
2004-000243-23-DK,Genmab,Genmab,Genmab,industry,accepted
2004-000244-24-CZ,Pfizer,Pfizer,Pfizer,unknown,accepted
2004-000245-38-FR,AP-HP,NA,NA,unknown,accepted
2004-000248-25-CZ,Novartis,Novartis,Novartis,industry,accepted
2004-000254-23-DK,Alizyme Therapeutics,NA,NA,industry,accepted
2004-000280-99-CZ,Ark Therapeutics,NA,NA,industry,accepted
2004-000282-35-CZ,Roche,Roche,Roche,industry,accepted
2004-000283-27-GB,Vertex Pharmaceuticals,Vertex Pharmaceuticals,Vertex Pharmaceuticals,industry,accepted
2004-000288-89-ES,Altana Pharma,NA,NA,industry,accepted
2004-000290-58-ES,Schwarz Biosciences,NA,NA,industry,accepted
2004-000299-15-GB,Algeta,NA,NA,industry,accepted
2004-000304-41-AT,Astellas Pharma,Astellas Pharma,Astellas Pharma,industry,accepted
2004-000305-21-DK,Solvay Pharmaceuticals,NA,NA,industry,accepted
2004-000306-46-ES,Fujisawa,NA,NA,industry,accepted
2004-000311-26-AT,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000312-93-BE,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000313-19-GB,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000315-26-ES,Roche,Roche,Roche,industry,accepted
2004-000320-32-AT,Lundbeck,Lundbeck,Lundbeck,industry,accepted
2004-000326-70-CZ,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,industry,accepted
2004-000327-15-BE,Helsinn Healthcare,Helsinn Healthcare,Helsinn Healthcare,industry,accepted
2004-000329-31-IT,EORTC,EORTC,EORTC,unknown,accepted
2004-000330-36-ES,Telik,NA,NA,industry,accepted
2004-000333-10-GB,University Of Dundee,NA,NA,unknown,accepted
2004-000335-28-AT,Serono International,NA,NA,industry,accepted
2004-000336-81-IT,GSK,GSK,GSK,industry,accepted
2004-000337-12-HU,Serono International,NA,NA,industry,accepted
2004-000344-24-DK,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000345-38-CZ,Basilea Pharmaceutica International,NA,NA,industry,accepted
2004-000346-21-ES,Solvay Pharmaceuticals,NA,NA,industry,accepted
2004-000347-14-BE,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000348-25-IT,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000349-40-IT,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000350-24-GB,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000352-16-CZ,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000353-38-CZ,Wilex,NA,NA,industry,accepted
2004-000354-22-AT,Pfizer,Pfizer,Pfizer,industry,accepted
2004-000356-17-AT,Ipsen,Ipsen,Ipsen,industry,accepted
2004-000358-21-BE,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000359-41-DK,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000361-35-CZ,Eisai,Eisai,Eisai,industry,accepted
2004-000362-12-CZ,Kowa Research Europe,NA,NA,industry,accepted
2004-000363-10-ES,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000365-35-ES,Pfizer,Pfizer,Pfizer,industry,accepted
2004-000367-98-DE,GSK,GSK,GSK,industry,accepted
2004-000368-28-AT,GSK,GSK,GSK,industry,accepted
2004-000369-37-DK,GSK,GSK,GSK,industry,accepted
2004-000370-31-BE,GSK,GSK,GSK,industry,accepted
2004-000371-34-AT,GSK,GSK,GSK,industry,accepted
2004-000374-31-IT,GSK,GSK,GSK,industry,accepted
2004-000376-14-IT,Novartis,Novartis,Novartis,industry,accepted
2004-000379-32-ES,AstraZeneca,AstraZeneca,AstraZeneca,unknown,accepted
2004-000383-27-SE,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000384-10-FR,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000390-59-GB,Schering,NA,NA,industry,accepted
2004-000394-60-DK,A. Carlsson Research,NA,NA,industry,accepted
2004-000397-31-DE,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000398-76-ES,Madaus,NA,NA,industry,accepted
2004-000404-40-ES,Bayer,Bayer,Bayer,industry,accepted
2004-000405-22-GB,Medical Research Council,NA,NA,unknown,accepted
2004-000408-41-GB,RIBAPHARM,NA,NA,industry,accepted
2004-000411-25-IT,Fondazione GONO,NA,NA,unknown,accepted
2004-000414-39-FI,Mundipharma,NA,NA,industry,accepted
2004-000415-26-CZ,SIGMA-TAU,NA,NA,industry,accepted
2004-000417-18-GB,University Hospital Southampton NHS Foundation Trust,NA,NA,hospital,accepted
2004-000422-73-IT,FARMACEUTICI DAMOR,NA,NA,industry,accepted
2004-000424-32-BE,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000432-85-CZ,Basilea Pharmaceutica International,NA,NA,industry,accepted
2004-000438-35-DK,NPS Allelix,NA,NA,industry,accepted
2004-000439-27-DK,NPS Allelix,NA,NA,industry,accepted
2004-000440-24-SE,Cephalon,NA,NA,industry,accepted
2004-000441-38-AT,"National Institute of Allergy and Infectious Diseases, National Institutes of Health",NA,NA,unknown,accepted
2004-000442-21-HU,Solvay Pharmaceuticals,NA,NA,industry,accepted
2004-000443-17-ES,Idenix Pharmaceuticals,NA,NA,industry,accepted
2004-000446-20-ES,Imperial College London,Imperial College London,Imperial College London,academic,accepted
2004-000448-26-GB,Axcan Pharma,NA,NA,industry,accepted
2004-000450-23-LT,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000452-16-CZ,Otsuka Pharmaceutical,Otsuka Pharmaceutical,Otsuka Pharmaceutical,industry,accepted
2004-000457-34-AT,Fujisawa,NA,NA,industry,accepted
2004-000462-13-HU,Teva,Teva,Teva,industry,accepted
2004-000463-94-HU,Teva,Teva,Teva,industry,accepted
2004-000464-28-BE,Ark Therapeutics,NA,NA,industry,accepted
2004-000469-36-FI,Organon,Organon,Organon,industry,accepted
2004-000472-14-CZ,Organon,Organon,Organon,industry,accepted
2004-000476-13-ES,Schwarz Biosciences,NA,NA,industry,accepted
2004-000478-30-BE,Actelion Pharmaceuticals,Actelion Pharmaceuticals,Actelion Pharmaceuticals,industry,accepted
2004-000480-10-EE,Cell Therapeutics,NA,NA,industry,accepted
2004-000482-35-GB,GSK,GSK,GSK,industry,accepted
2004-000483-27-DK,BIAL-Portela Ca,NA,NA,industry,accepted
2004-000485-13-BE,Procter & Gamble,NA,NA,industry,accepted
2004-000486-35-GB,Procter & Gamble,NA,NA,industry,accepted
2004-000487-27-HU,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000488-83-AT,Schering-Plough,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000492-33-HU,Altana Pharma,NA,NA,industry,accepted
2004-000493-32-AT,Altana Pharma,NA,NA,industry,accepted
2004-000495-14-IT,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000499-16-FI,Novatreat,NA,NA,industry,accepted
2004-000501-21-GB,XTL Biopharmaceuticals,NA,NA,industry,accepted
2004-000502-40-GB,University Hospital Southampton NHS Foundation Trust,NA,NA,hospital,accepted
2004-000506-52-BE,Daiichi Sankyo,Daiichi Sankyo,Daiichi Sankyo,industry,accepted
2004-000507-17-IT,Fondazione Santa Lucia,NA,NA,foundation,accepted
2004-000509-24-AT,Amgen,Amgen,Amgen,industry,accepted
2004-000511-25-BE,Amgen,Amgen,Amgen,industry,accepted
2004-000512-17-CZ,Amgen,Amgen,Amgen,industry,accepted
2004-000514-38-IE,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted
2004-000517-19-GB,Blackpool Fylde and Wyre Healthcare NHS Trust,NA,NA,hospital,accepted
2004-000518-37-ES,GSK,GSK,GSK,industry,accepted
2004-000520-32-ES,Fujisawa,NA,NA,industry,accepted
2004-000526-75-ES,Aspreva Pharmaceuticals,NA,NA,industry,accepted
2004-000530-37-EE,Serono International,NA,NA,industry,accepted
2004-000532-85-GB,Manchester University NHS Foundation Trust,NA,NA,hospital,accepted
2004-000534-36-CZ,Laboratoires Expanscience,NA,NA,industry,accepted
2004-000535-29-BE,Serono International,NA,NA,industry,accepted
2004-000537-11-DE,ZLB Behring,NA,NA,industry,accepted
2004-000539-27-ES,Novartis,Novartis,Novartis,industry,accepted
2004-000540-24-DE,Novartis,Novartis,Novartis,industry,accepted
2004-000541-38-IT,Novartis,Novartis,Novartis,industry,accepted
2004-000542-20-CZ,Novartis,Novartis,Novartis,industry,accepted
2004-000551-42-AT,Schwarz Biosciences,NA,NA,industry,accepted
2004-000555-42-AT,Sanofi,Sanofi,Sanofi,industry,accepted
2004-000557-35-GB,Newron Pharmaceuticals,NA,NA,industry,accepted
2004-000558-22-ES,Schering-Plough,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000562-13-LT,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000563-96-AT,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000564-28-BE,Roche,Roche,Roche,industry,accepted
2004-000565-34-IT,Azienda Sanitaria Ospedaliera S. Giovanni Battista di Torino,NA,NA,unknown,accepted
2004-000566-12-SE,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000572-14-BE,Aventis Pharmaceuticals,NA,NA,industry,accepted
2004-000573-54-FI,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000576-13-GB,GSK,GSK,GSK,industry,accepted
2004-000577-65-FI,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000580-10-FI,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000585-13-BE,MedImmune,AstraZeneca,AstraZeneca,industry,accepted
2004-000587-26-DE,Novartis,Novartis,Novartis,industry,accepted
2004-000589-11-HU,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000592-33-AT,EBMT / Gentium,NA,NA,unknown,accepted
2004-000593-32-DE,Ferring Pharmaceuticals,Ferring Pharmaceuticals,Ferring Pharmaceuticals,industry,accepted
2004-000596-34-CZ,Roche,Roche,Roche,industry,accepted
2004-000597-31-GB,Novartis,Novartis,Novartis,industry,accepted
2004-000602-44-ES,Pierre Fabre,Pierre Fabre,Pierre Fabre,industry,accepted
2004-000603-18-IT,Azienda Ospedaliera Umberto I,NA,NA,unknown,accepted
2004-000607-17-BE,Seattle Genetics,NA,NA,industry,accepted
2004-000608-42-ES,University of Sheffield,NA,NA,unknown,accepted
2004-000609-23-IT,BioXell,NA,NA,industry,accepted
2004-000610-39-GB,GSK,GSK,GSK,industry,accepted
2004-000611-25-HU,Otsuka Pharmaceutical,Otsuka Pharmaceutical,Otsuka Pharmaceutical,industry,accepted
2004-000612-54-SE,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000614-39-DK,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000616-70-BE,Aventis Pharmaceuticals,NA,NA,industry,accepted
2004-000617-19-AT,Johnson & Johnson,Johnson & Johnson,Janssen / Johnson & Johnson,industry,accepted
2004-000618-38-GB,Aventis Pharmaceuticals,NA,NA,industry,accepted
2004-000622-67-GB,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000623-16-BE,Boehringer Ingelheim,Boehringer Ingelheim,Boehringer Ingelheim,industry,accepted
2004-000625-30-ES,INO Therapeutics,NA,NA,industry,accepted
2004-000629-32-AT,University Of Oxford,NA,NA,unknown,accepted
2004-000630-37-CZ,Schering,NA,NA,industry,accepted
2004-000631-28-IT,Actelion Pharmaceuticals,Actelion Pharmaceuticals,Actelion Pharmaceuticals,industry,accepted
2004-000632-82-GB,Actelion Pharmaceuticals,Actelion Pharmaceuticals,Actelion Pharmaceuticals,industry,accepted
2004-000638-35-ES,Novartis,Novartis,Novartis,industry,accepted
2004-000642-21-IE,BioMarin Pharmaceutical,BioMarin Pharmaceutical,BioMarin Pharmaceutical,industry,accepted
2004-000644-25-IT,Insmed,NA,NA,industry,accepted
2004-000645-37-AT,Amgen,Amgen,Amgen,industry,accepted
2004-000646-20-GB,Alexion,AstraZeneca,AstraZeneca,industry,accepted
2004-000647-24-DK,Aarhus University Hospital,Aarhus University Hospital,Aarhus University Hospital,hospital,accepted
2004-000649-39-AT,Merck,Merck KGaA,Merck KGaA / EMD Serono,industry,accepted
2004-000651-42-SE,ProstaLundOperations,NA,NA,industry,accepted
2004-000654-23-BE,EORTC,EORTC,EORTC,cooperative_group,accepted
2004-000655-41-ES,Novartis,Novartis,Novartis,industry,accepted
2004-000658-22-GB,University Of Oxford,NA,NA,unknown,accepted
2004-000663-99-CZ,Biogen,Biogen,Biogen,industry,accepted
2004-000664-27-ES,Novartis,Novartis,Novartis,industry,accepted
2004-000665-35-ES,Pierre Fabre,Pierre Fabre,Pierre Fabre,industry,accepted
2004-000669-36-IT,Azienda Sanitaria Ospedaliera S. Giovanni Battista di Torino,NA,NA,unknown,accepted
2004-000671-34-GB,Novartis,Novartis,Novartis,industry,accepted
2004-000673-57-AT,Baxter,Baxter,Baxter,industry,accepted
2004-000675-34-ES,University Medical Center Utrecht,NA,NA,unknown,accepted
2004-000676-13-SK,Baxter,Baxter,Baxter,industry,accepted
2004-000677-62-HU,Novartis,Novartis,Novartis,industry,accepted
2004-000678-30-CZ,Baxter,Baxter,Baxter,industry,accepted
2004-000679-32-FI,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000683-27-GB,Research and Innovation Services,NA,NA,unknown,accepted
2004-000684-10-AT,Meiji Seika Kaisha,NA,NA,industry,accepted
2004-000686-35-FI,Novartis,Novartis,Novartis,industry,accepted
2004-000687-27-AT,Novartis,Novartis,Novartis,industry,accepted
2004-000690-63-IT,CRINOS,NA,NA,industry,accepted
2004-000691-13-ES,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000693-31-FI,Colotech,NA,NA,industry,accepted
2004-000696-34-HU,Daiichi Pharmaceutical Co.,NA,NA,industry,accepted
2004-000700-41-BE,Galderma Research and Development,NA,NA,industry,accepted
2004-000701-21-AT,Novartis,Novartis,Novartis,industry,accepted
2004-000703-18-ES,Solvay Pharmaceuticals,NA,NA,industry,accepted
2004-000707-18-IT,Lundbeck,Lundbeck,Lundbeck,industry,accepted
2004-000711-26-AT,Bracco Imaging S.p.A,NA,NA,industry,accepted
2004-000712-42-AT,Bracco Imaging S.p.A,NA,NA,industry,accepted
2004-000715-26-CZ,Roche,Roche,Roche,industry,accepted
2004-000718-37-CZ,Chiesi Farmaceutici,Chiesi Farmaceutici,Chiesi Farmaceutici,industry,accepted
2004-000722-69-ES,GEICO,NA,NA,unknown,accepted
2004-000723-15-AT,Fresenius Biotech,NA,NA,industry,accepted
2004-000725-30-GB,Bayer,Bayer,Bayer,industry,accepted
2004-000726-78-ES,Shire,Takeda,Takeda,industry,accepted
2004-000727-15-HU,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000730-37-CZ,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,industry,accepted
2004-000731-28-AT,EORTC,EORTC,EORTC,cooperative_group,accepted
2004-000733-12-CZ,Shire,Takeda,Takeda,industry,accepted
2004-000734-36-CZ,Shire,Takeda,Takeda,industry,accepted
2004-000738-34-DE,Aventis Pharmaceuticals,NA,NA,industry,accepted
2004-000742-21-IT,Amersham Health,NA,NA,industry,accepted
2004-000745-37-ES,Actelion Pharmaceuticals,Actelion Pharmaceuticals,Actelion Pharmaceuticals,industry,accepted
2004-000746-20-DE,Menarini Benelux SA/NV,NA,NA,industry,accepted
2004-000748-26-ES,Pierre Fabre,Pierre Fabre,Pierre Fabre,industry,accepted
2004-000750-22-DE,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000751-42-DE,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000752-17-AT,Hoffmann-La Roche Ltd/Inc/AG/Roche Global Development,NA,NA,industry,accepted
2004-000753-30-ES,Pierre Fabre,Pierre Fabre,Pierre Fabre,industry,accepted
2004-000754-24-GB,GSK,GSK,GSK,industry,accepted
2004-000755-41-CZ,Chiesi Farmaceutici,Chiesi Farmaceutici,Chiesi Farmaceutici,industry,accepted
2004-000759-40-IT,Teva,Teva,Teva,industry,review
2004-000762-13-IT,Teva,Teva,Teva,industry,accepted
2004-000763-98-DE,Aventis Pharmaceuticals,NA,NA,industry,accepted
2004-000766-12-AT,BIAL-Portela Ca,NA,NA,industry,accepted
2004-000767-10-IT,Chiron,NA,NA,industry,accepted
2004-000771-34-ES,J. Uriach y Compañía,NA,NA,industry,accepted
2004-000772-14-CZ,TKT Inc,NA,NA,industry,accepted
2004-000773-60-LV,Healthcare & Pharma Consulting AG Europe,NA,NA,industry,accepted
2004-000774-31-DE,Eisai,Eisai,Eisai,industry,accepted
2004-000775-34-CZ,Takeda,Takeda,Takeda,industry,accepted
2004-000782-35-IT,Novartis,Novartis,Novartis,industry,accepted
2004-000784-97-AT,GSK,GSK,GSK,industry,accepted
2004-000786-35-IT,Abbott,Abbott,Abbott,industry,review
2004-000789-11-AT,GSK,GSK,GSK,industry,accepted
2004-000795-14-LT,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000798-71-GB,Imperial College London,Imperial College London,Imperial College London,academic,accepted
2004-000799-15-NO,Aker University Hospital,NA,NA,hospital,accepted
2004-000803-17-LT,The SAVE trial group,NA,NA,cooperative_group,accepted
2004-000804-41-HU,CECOG,NA,NA,unknown,accepted
2004-000805-23-IT,GSK,GSK,GSK,industry,accepted
2004-000806-39-HU,CECOG,NA,NA,unknown,accepted
2004-000808-40-LT,HEXAL,NA,NA,industry,accepted
2004-000811-24-CZ,Schering,NA,NA,industry,accepted
2004-000815-25-AT,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000816-24-ES,Abbott,Abbott,Abbott,industry,accepted
2004-000817-20-AT,Kyowa Kirin,NA,NA,industry,accepted
2004-000820-34-PT,Schering-Plough,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000821-31-AT,Schering,NA,NA,industry,accepted
2004-000822-58-ES,Sanofi,Sanofi,Sanofi,industry,accepted
2004-000825-31-HU,Altana Pharma,NA,NA,industry,accepted
2004-000827-13-BE,Pfizer,Pfizer,Pfizer,industry,accepted
2004-000829-30-IT,Novartis,Novartis,Novartis,industry,accepted
2004-000830-35-IT,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,industry,accepted
2004-000833-12-ES,Newron Pharmaceuticals,NA,NA,industry,accepted
2004-000835-27-ES,Newron Pharmaceuticals,NA,NA,industry,accepted
2004-000838-36-HU,Pharmexa,NA,NA,industry,accepted
2004-000843-61-IT,Zambon,NA,NA,industry,accepted
2004-000848-24-DE,GSK,GSK,GSK,industry,accepted
2004-000849-38-GB,Novartis,Novartis,Novartis,industry,accepted
2004-000850-22-IT,Angelini,NA,NA,industry,accepted
2004-000851-41-ES,Sanofi,Sanofi,Sanofi,industry,accepted
2004-000860-28-AT,ribosepharm,NA,NA,industry,accepted
2004-000864-29-CZ,Roche,Roche,Roche,industry,accepted
2004-000866-11-IT,Zambon,NA,NA,industry,accepted
2004-000867-92-DE,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000870-29-AT,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,industry,accepted
2004-000871-33-CZ,Apogepha Arzneimittel,NA,NA,industry,accepted
2004-000874-30-IT,AOP Orphan Pharmaceuticals,NA,NA,industry,accepted
2004-000876-14-ES,Ferrer Internacional,NA,NA,industry,accepted
2004-000877-80-CZ,SK Pharma Schumann und Kohl,NA,NA,industry,accepted
2004-000881-10-LT,CELSG,NA,NA,cooperative_group,accepted
2004-000882-36-DK,GSK,GSK,GSK,industry,accepted
2004-000894-67-ES,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted
2004-000895-16-DK,Novartis,Novartis,Novartis,industry,accepted
2004-000903-17-BE,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2004-000904-41-CZ,Aventis Pharmaceuticals,NA,NA,industry,accepted
2004-000905-24-GB,University of York,NA,NA,unknown,accepted
2004-000907-16-ES,Bonaventura Clotet/Ramn Planas/Ricard Sol,NA,NA,unknown,accepted
2004-000909-22-ES,MDS Pharma Services,NA,NA,industry,accepted
2004-000912-13-EE,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000913-21-EE,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000914-37-GB,Neurim Pharmaceuticals 1991,NA,NA,industry,accepted
2004-000915-25-LT,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted
2004-000916-25-IT,GIULIANI,NA,NA,industry,accepted
2004-000919-26-FI,Newcastle upon Tyne Hospitals NHS Trust / Johns Hopkins University,NA,NA,hospital,accepted
2004-000922-59-CZ,BMS,Bristol-Myers Squibb,BMS,industry,accepted
2004-000929-30-IT,GSK,GSK,GSK,industry,accepted
2004-000930-35-BE,GSK,GSK,GSK,industry,accepted
2004-000933-12-ES,Axonyx,NA,NA,industry,accepted
2004-000935-27-CZ,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000940-26-AT,Novartis,Novartis,Novartis,industry,accepted
2004-000944-26-BE,HOVON,HOVON,HOVON,foundation,accepted
2004-000948-25-ES,Fundació de Lluita contra la SIDA,NA,NA,unknown,accepted
2004-000953-46-LT,Amersham,NA,NA,industry,accepted
2004-000954-22-LV,Pfizer,Pfizer,Pfizer,industry,accepted
2004-000955-40-LV,Pfizer,Pfizer,Pfizer,industry,accepted
2004-000957-47-SI,Charité Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin,unknown,accepted
2004-000959-42-FI,Schering-Plough,Merck & Co.,MSD / Merck & Co.,industry,accepted
2004-000960-28-DE,Schwarz Biosciences,NA,NA,industry,accepted
2004-000962-11-CZ,Pierre Fabre,Pierre Fabre,Pierre Fabre,industry,accepted
2004-000963-81-BE,Pierre Fabre,Pierre Fabre,Pierre Fabre,industry,accepted
2004-000966-10-IT,Azienda Ospedaliera Di Bologna Policlinico S Orsola M Malpighi,NA,NA,hospital,accepted
2004-000972-15-DK,Michael Larsen,NA,NA,unknown,accepted
2004-000973-69-AT,Wyeth,Pfizer,Pfizer,industry,accepted
2004-000975-32-CZ,UCB,UCB,UCB,industry,accepted
2004-000979-33-IT,Laboratoires Expanscience,NA,NA,industry,accepted
2004-000980-93-IT,CRINOS,NA,NA,industry,accepted
2004-000983-29-IT,Roche,Roche,Roche,industry,accepted
2004-000984-81-DK,Cardiome Pharma,NA,NA,industry,accepted
