raw_sponsor,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status,match_score,match_source,match_reason,suggested_clean,n_trials
Novartis Pharma Services AG,Novartis,Novartis,Novartis,industry,accepted,97,manual,alias match: 'novartis' → 'Novartis',Novartis,736
AstraZeneca AB,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted,99,manual,alias match: 'astrazeneca ab' → 'AstraZeneca',AstraZeneca,680
Novartis Pharma AG,Novartis,Novartis,Novartis,industry,accepted,99,manual,alias match: 'novartis pharma ag' → 'Novartis',Novartis,453
Novo Nordisk A/S,Novo Nordisk,Novo Nordisk,Novo Nordisk,industry,accepted,98,manual,alias match: 'novo nordisk' → 'Novo Nordisk',Novo Nordisk,335
Bristol-Myers Squibb International Corporation,BMS,Bristol-Myers Squibb,BMS,industry,accepted,99,manual,alias match: 'bristol-myers squibb international corporation' → 'BMS',BMS,293
Merck Sharp & Dohme LLC,MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted,99,manual,alias match: 'merck sharp and dohme llc' → 'MSD',MSD,279
F. Hoffmann-La Roche Ltd,Roche,Roche,Roche,industry,accepted,98,manual,alias match: 'f hoffmann-la roche' → 'Roche',Roche,268
GlaxoSmithKline Biologicals,GSK,GSK,GSK,industry,accepted,98,manual,alias match: 'glaxosmithkline' → 'GSK',GSK,266
ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS AP-HP,AP-HP,NA,NA,hospital,accepted,95,final_family_map,entity-family match: assistance publique paris hospital → 'AP-HP',AP-HP,248
Assistance Publique Hopitaux De Paris,AP-HP,NA,NA,hospital,accepted,95,final_family_map,entity-family match: assistance publique paris hospital → 'AP-HP',AP-HP,241
Eli Lilly and Company,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted,99,manual,alias match: 'eli lilly and company' → 'Eli Lilly',Eli Lilly,239
Pfizer Inc.,Pfizer,Pfizer,Pfizer,industry,accepted,99,manual,alias match: 'pfizer inc' → 'Pfizer',Pfizer,231
F. Hoffmann-La Roche AG,Roche,Roche,Roche,industry,accepted,99,manual,alias match: 'f hoffmann-la roche ag' → 'Roche',Roche,208
GlaxoSmithKline Research  Development Ltd,GSK,GSK,GSK,industry,accepted,97,manual,alias match: 'glaxosmithkline' → 'GSK',GSK,175
Amgen Inc.,Amgen,Amgen,Amgen,industry,accepted,99,manual,alias match: 'amgen inc' → 'Amgen',Amgen,174
"Merck Sharp  Dohme Corp., a subsidiary of Merck  Co., Inc.",MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted,97,manual,alias match: 'merck sharp dohme' → 'MSD',MSD,173
AbbVie Deutschland GmbH  Co. KG,AbbVie,AbbVie,AbbVie,industry,accepted,96,manual,alias match: 'abbvie' → 'AbbVie',AbbVie,163
Janssen-Cilag International NV,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,unknown,accepted,97,manual,alias match: 'janssen-cilag' → 'Janssen-Cilag International',Janssen-Cilag International,154
Rigshospitalet,Rigshospitalet,Rigshospitalet,Rigshospitalet,hospital,accepted,99,manual,alias match: 'rigshospitalet' → 'Rigshospitalet',Rigshospitalet,153
Bayer AG,Bayer,Bayer,Bayer,industry,accepted,99,manual,alias match: 'bayer ag' → 'Bayer',Bayer,147
"Gilead Sciences, Inc.",Gilead Sciences,Gilead Sciences,Gilead Sciences,industry,accepted,99,manual,alias match: 'gilead sciences inc' → 'Gilead Sciences',Gilead Sciences,146
Amgen Inc,Amgen,Amgen,Amgen,industry,accepted,99,manual,alias match: 'amgen inc' → 'Amgen',Amgen,134
POLICLINICO UNIVERSITARIO AGOSTINO GEMELLI,Policlinico Universitario Agostino Gemelli,NA,NA,hospital,accepted,95,final_family_map,entity-family match: agostino gemelli hospital → 'Policlinico Universitario Agostino Gemelli',Policlinico Universitario Agostino Gemelli,134
Eli Lilly & Co.,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted,96,manual,alias match: 'eli lilly' → 'Eli Lilly',Eli Lilly,134
Boehringer Ingelheim International GmbH,Boehringer Ingelheim,Boehringer Ingelheim,Boehringer Ingelheim,industry,accepted,99,manual,alias match: 'boehringer ingelheim international gmbh' → 'Boehringer Ingelheim',Boehringer Ingelheim,128
University College London,University College London,NA,NA,academic,accepted,95,final_family_map,entity-family match: college london university → 'University College London',University College London,126
Novartis Pharma GmbH,Novartis,Novartis,Novartis,industry,accepted,98,manual,alias match: 'novartis pharma' → 'Novartis',Novartis,123
GlaxoSmithKline Research  Development Limited,GSK,GSK,GSK,industry,accepted,97,manual,alias match: 'glaxosmithkline' → 'GSK',GSK,119
AZIENDA OSPEDALIERA DI BOLOGNA POLICLINICO S. ORSOLA M. MALPIGHI,Azienda Ospedaliera Di Bologna Policlinico S Orsola M Malpighi,NA,NA,hospital,accepted,99,review_queue,alias match: 'azienda ospedaliera di bologna policlinico s orsola m malpighi' → 'Azienda Ospedaliera Di Bologna Policlinico S Orsola M Malpighi',Azienda Ospedaliera Di Bologna Policlinico S Orsola M Malpighi,115
University Medical Center Groningen,University Medical Center Groningen,NA,NA,hospital,accepted,95,final_family_map,entity-family match: groningen hospital → 'University Medical Center Groningen',University Medical Center Groningen,114
UZ Leuven,UZ Leuven,UZ Leuven,UZ Leuven,hospital,accepted,99,manual,alias match: 'uz leuven' → 'UZ Leuven',UZ Leuven,111
Leiden University Medical Center,Leiden University Medical Center,NA,NA,hospital,accepted,95,final_family_map,entity-family match: leiden hospital → 'Leiden University Medical Center',Leiden University Medical Center,108
Janssen - Cilag International,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,unknown,accepted,97,manual,alias match: 'janssen' → 'Janssen-Cilag International',Janssen-Cilag International,108
Sanofi-Aventis Recherche & Developpement,Sanofi,Sanofi,Sanofi,industry,accepted,97,manual,alias match: 'sanofi-aventis' → 'Sanofi',Sanofi,106
AbbVie Deutschland GmbH & Co. KG,AbbVie,AbbVie,AbbVie,industry,accepted,96,manual,alias match: 'abbvie' → 'AbbVie',AbbVie,105
University of Oxford,University Of Oxford,NA,NA,academic,accepted,95,final_family_map,entity-family match: oxford university → 'University Of Oxford',University Of Oxford,103
Bayer HealthCare AG,Bayer,Bayer,Bayer,industry,accepted,98,manual,alias match: 'bayer healthcare' → 'Bayer',Bayer,101
Karolinska University Hospital,Karolinska University Hospital,NA,NA,hospital,accepted,95,final_family_map,entity-family match: karolinska hospital → 'Karolinska University Hospital',Karolinska University Hospital,98
Odense University Hospital,Odense University Hospital,NA,NA,hospital,accepted,95,final_family_map,entity-family match: odense hospital → 'Odense University Hospital',Odense University Hospital,97
Institut de Recherches Internationales Servier,Servier,Servier,Servier,industry,accepted,99,manual,alias match: 'institut de recherches internationales servier' → 'Servier',Servier,97
Janssen-Cilag International N.V.,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,unknown,accepted,96,manual,alias match: 'janssen-cilag' → 'Janssen-Cilag International',Janssen-Cilag International,95
Erasmus Universitair Medisch Centrum Rotterdam (Erasmus MC),Erasmus MC,NA,NA,hospital,accepted,95,final_family_map,entity-family match: erasmus rotterdam hospital → 'Erasmus MC',Erasmus MC,92
SCS Boehringer Ingelheim Comm.V,Boehringer Ingelheim,Boehringer Ingelheim,Boehringer Ingelheim,industry,accepted,98,manual,alias match: 'scs boehringer ingelheim' → 'Boehringer Ingelheim',Boehringer Ingelheim,91
Imperial College London,Imperial College London,Imperial College London,Imperial College London,academic,accepted,99,manual,alias match: 'imperial college london' → 'Imperial College London',Imperial College London,89
Erasmus MC,Erasmus MC,Erasmus MC,Erasmus MC,hospital,accepted,99,manual,alias match: 'erasmus mc' → 'Erasmus MC',Erasmus MC,89
"Pfizer Inc., 235 East 42nd Street, New York, NY 10017",Pfizer,Pfizer,Pfizer,industry,accepted,96,manual,alias match: 'pfizer' → 'Pfizer',Pfizer,89
H. Lundbeck A/S,Lundbeck,Lundbeck,Lundbeck,industry,accepted,99,manual,alias match: 'h lundbeck a/s' → 'Lundbeck',Lundbeck,87
Celgene Corporation,Celgene,Bristol-Myers Squibb,BMS,industry,accepted,99,manual,alias match: 'celgene corporation' → 'Celgene',Celgene,87
Vertex Pharmaceuticals Incorporated,Vertex Pharmaceuticals,Vertex Pharmaceuticals,Vertex Pharmaceuticals,industry,accepted,99,manual,alias match: 'vertex pharmaceuticals incorporated' → 'Vertex Pharmaceuticals',Vertex Pharmaceuticals,84
Chiesi Farmaceutici S.p.A.,Chiesi Farmaceutici,Chiesi Farmaceutici,Chiesi Farmaceutici,industry,accepted,96,manual,alias match: 'chiesi farmaceutici' → 'Chiesi Farmaceutici',Chiesi Farmaceutici,84
sanofi-aventis recherche  dveloppement,Sanofi,Sanofi,Sanofi,industry,accepted,98,manual,alias match: 'sanofi-aventis' → 'Sanofi',Sanofi,84
Janssen Cilag International,Janssen-Cilag International,Johnson & Johnson,Janssen / Johnson & Johnson,unknown,accepted,98,manual,alias match: 'janssen cilag' → 'Janssen-Cilag International',Janssen-Cilag International,84
Bristol-Myers Squibb Services Unlimited Company,BMS,Bristol-Myers Squibb,BMS,industry,accepted,95,manual,alias match: 'bristol-myers squibb' → 'BMS',BMS,83
F. Hoffmann-La Roche Ltd.,Roche,Roche,Roche,industry,accepted,98,manual,alias match: 'f hoffmann-la roche' → 'Roche',Roche,82
University of Birmingham,University of Birmingham,University Of Birmingham,University Of Birmingham,academic,accepted,99,manual,alias match: 'university of birmingham' → 'University of Birmingham',University of Birmingham,82
Boehringer Ingelheim Pharma GmbH  Co. KG,Boehringer Ingelheim,Boehringer Ingelheim,Boehringer Ingelheim,industry,accepted,95,manual,alias match: 'boehringer ingelheim' → 'Boehringer Ingelheim',Boehringer Ingelheim,82
Aarhus University Hospital,Aarhus University Hospital,NA,NA,hospital,accepted,95,final_family_map,entity-family match: aarhus hospital → 'Aarhus University Hospital',Aarhus University Hospital,81
Biogen Idec Research Limited,Biogen,Biogen,Biogen,industry,accepted,99,manual,alias match: 'biogen idec research limited' → 'Biogen',Biogen,78
Glaxosmithkline Research & Development Limited,GSK,GSK,GSK,industry,accepted,99,manual,alias match: 'glaxosmithkline research and development limited' → 'GSK',GSK,78
University Medical Center Utrecht,University Medical Center Utrecht,NA,NA,hospital,accepted,95,final_family_map,entity-family match: utrecht hospital → 'University Medical Center Utrecht',University Medical Center Utrecht,76
Regeneron Pharmaceuticals Inc.,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,industry,accepted,99,manual,alias match: 'regeneron pharmaceuticals inc' → 'Regeneron Pharmaceuticals',Regeneron Pharmaceuticals,76
Medical University Of Vienna,Medical University Of Vienna,NA,NA,hospital,accepted,95,final_family_map,entity-family match: vienna university → 'Medical University Of Vienna',Medical University Of Vienna,75
Hospices Civils de Lyon,Hospices Civils de Lyon,Hospices Civils de Lyon,Hospices Civils de Lyon,hospital,accepted,99,manual,alias match: 'hospices civils de lyon' → 'Hospices Civils de Lyon',Hospices Civils de Lyon,74
Medical University of Vienna,Medical University Of Vienna,NA,NA,hospital,accepted,95,final_family_map,entity-family match: vienna university → 'Medical University Of Vienna',Medical University Of Vienna,72
Amsterdam UMC Stichting,Amsterdam UMC,NA,NA,hospital,accepted,95,final_family_map,entity-family match: amsterdam hospital → 'Amsterdam UMC',Amsterdam UMC,71
Universitair Medisch Centrum Groningen,University Medical Center Groningen,NA,NA,hospital,accepted,95,final_family_map,entity-family match: groningen hospital → 'University Medical Center Groningen',University Medical Center Groningen,70
Merck KGaA,Merck,Merck KGaA,Merck KGaA / EMD Serono,industry,accepted,99,manual,alias match: 'merck kgaa' → 'Merck',Merck,69
Incyte Corporation,Incyte,Incyte Corporation,Incyte Corporation,industry,accepted,99,manual,alias match: 'incyte corporation' → 'Incyte',Incyte,69
Bristol Myers Squibb International Corporation,BMS,Bristol-Myers Squibb,BMS,industry,accepted,97,manual,alias match: 'bristol myers squibb' → 'BMS',BMS,67
ISTITUTO EUROPEO DI ONCOLOGIA,Istituto Europeo di Oncologia,NA,NA,hospital,accepted,95,final_family_map,entity-family match: europeo oncologia institute → 'Istituto Europeo di Oncologia',Istituto Europeo di Oncologia,67
Gilead Sciences Inc.,Gilead Sciences,Gilead Sciences,Gilead Sciences,industry,accepted,99,manual,alias match: 'gilead sciences inc' → 'Gilead Sciences',Gilead Sciences,65
Ghent University Hospital,Ghent University,Ghent University,Ghent University,academic,accepted,96,manual,alias match: 'ghent university' → 'Ghent University',Ghent University,65
"Regeneron Pharmaceuticals, Inc.",Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,industry,accepted,99,manual,alias match: 'regeneron pharmaceuticals inc' → 'Regeneron Pharmaceuticals',Regeneron Pharmaceuticals,64
Takeda Development Center Americas Inc.,Takeda,Takeda,Takeda,industry,accepted,93,manual,alias match: 'takeda' → 'Takeda',Takeda,64
Academic Medical Center,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,accepted,99,manual,alias match: 'academic medical center' → 'Amsterdam UMC',Amsterdam UMC,63
University Hospital Ghent,Universitair Ziekenhuis Gent,University Hospital Ghent,University Hospital Ghent,hospital,accepted,99,manual,alias match: 'university hospital ghent' → 'Universitair Ziekenhuis Gent',Universitair Ziekenhuis Gent,62
University of Leeds,University Of Leeds,NA,NA,academic,accepted,95,final_family_map,entity-family match: leeds university → 'University Of Leeds',University Of Leeds,62
Karolinska Institutet,Karolinska Institutet,NA,NA,academic,accepted,95,final_family_map,entity-family match: karolinska institute → 'Karolinska Institutet',Karolinska Institutet,62
Oslo University Hospital HF,Oslo University Hospital,NA,NA,hospital,accepted,95,final_family_map,entity-family match: oslo hospital → 'Oslo University Hospital',Oslo University Hospital,62
LEO Pharma A/S,LEO Pharma,LEO Pharma,LEO Pharma,industry,accepted,98,manual,alias match: 'leo pharma' → 'LEO Pharma',LEO Pharma,60
Amsterdam UMC,Amsterdam UMC,NA,NA,hospital,accepted,95,final_family_map,entity-family match: amsterdam hospital → 'Amsterdam UMC',Amsterdam UMC,60
Eisai Limited,Eisai,Eisai,Eisai,industry,accepted,99,manual,alias match: 'eisai limited' → 'Eisai',Eisai,59
OSPEDALE S. RAFFAELE,Ospedale San Raffaele,Ospedale San Raffaele,Ospedale San Raffaele,hospital,accepted,99,manual,alias match: 'ospedale s raffaele' → 'Ospedale San Raffaele',Ospedale San Raffaele,59
GlaxoSmithKline Research and Development Ltd,GSK,GSK,GSK,industry,accepted,96,manual,alias match: 'glaxosmithkline' → 'GSK',GSK,57
VU University Medical Center,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,accepted,99,manual,alias match: 'vu university medical center' → 'Amsterdam UMC',Amsterdam UMC,57
Astrazeneca AB,AstraZeneca,AstraZeneca,AstraZeneca,industry,accepted,99,manual,alias match: 'astrazeneca ab' → 'AstraZeneca',AstraZeneca,57
Unicancer,Unicancer,Unicancer,Unicancer,cooperative_group,accepted,99,manual,alias match: 'unicancer' → 'Unicancer',Unicancer,57
"Merck  Co., Inc.",MSD,Merck & Co.,MSD / Merck & Co.,industry,accepted,99,manual,alias match: 'merck co inc' → 'MSD',MSD,56
Incyte Corp.,Incyte,Incyte Corporation,Incyte Corporation,industry,accepted,99,llm_reviewed,alias match: 'incyte corp' → 'Incyte',Incyte,55
Institut Gustave Roussy,Gustave Roussy,Gustave Roussy,Gustave Roussy,hospital,accepted,99,manual,alias match: 'institut gustave roussy' → 'Gustave Roussy',Gustave Roussy,54
Dr. Falk Pharma GmbH,Dr. Falk Pharma,Dr. Falk Pharma,Dr. Falk Pharma,industry,accepted,99,manual,alias match: 'dr falk pharma gmbh' → 'Dr. Falk Pharma',Dr. Falk Pharma,53
PIERRE FABRE MEDICAMENT,Pierre Fabre,Pierre Fabre,Pierre Fabre,industry,accepted,99,manual,alias match: 'pierre fabre medicament' → 'Pierre Fabre',Pierre Fabre,53
University of Cologne,NA,NA,NA,NA,review,92,final_family_map,ambiguous entity-family match: cologne university,University Of Cologne,53
"Pfizer Inc, 235 East 42nd Street, New York, NY 10017",Pfizer,Pfizer,Pfizer,industry,accepted,96,manual,alias match: 'pfizer' → 'Pfizer',Pfizer,53
Ferring Pharmaceuticals A/S,Ferring Pharmaceuticals,Ferring Pharmaceuticals,Ferring Pharmaceuticals,industry,accepted,98,manual,alias match: 'ferring pharmaceuticals' → 'Ferring Pharmaceuticals',Ferring Pharmaceuticals,52
UZ Brussel,UZ Brussel,UZ Brussel,UZ Brussel,hospital,accepted,99,manual,alias match: 'uz brussel' → 'UZ Brussel',UZ Brussel,52
Region Midtjylland,Region Midtjylland,Region Midtjylland,Region Midtjylland,hospital,accepted,99,manual,alias match: 'region midtjylland' → 'Region Midtjylland',Region Midtjylland,52
University of Nottingham,University of Nottingham,NA,NA,hospital,accepted,95,final_family_map,entity-family match: nottingham university → 'University of Nottingham',University of Nottingham,51
Radboud University Nijmegen Medical Centre,Radboudumc,NA,NA,hospital,accepted,95,final_family_map,entity-family match: radboud nijmegen hospital → 'Radboudumc',Radboudumc,50
Eli Lilly and Company Limited,Eli Lilly,Eli Lilly,Eli Lilly,industry,accepted,98,manual,alias match: 'eli lilly and company' → 'Eli Lilly',Eli Lilly,49
"Otsuka Pharmaceutical Development  Commercialization, Inc.",Otsuka Pharmaceutical,Otsuka Pharmaceutical,Otsuka Pharmaceutical,industry,accepted,95,manual,alias match: 'otsuka pharmaceutical' → 'Otsuka Pharmaceutical',Otsuka Pharmaceutical,49
Centre Hospitalier Universitaire De Nantes,CHU de Nantes,NA,NA,hospital,accepted,99,manual,alias match: 'centre hospitalier universitaire de nantes' → 'CHU de Nantes',CHU de Nantes,49
NV Organon,Organon,Organon,Organon,industry,accepted,99,manual,alias match: 'nv organon' → 'Organon',Organon,48
Daiichi Sankyo Inc.,Daiichi Sankyo,Daiichi Sankyo,Daiichi Sankyo,industry,accepted,99,manual,alias match: 'daiichi sankyo inc' → 'Daiichi Sankyo',Daiichi Sankyo,48
Genmab A/S,Genmab,Genmab,Genmab,industry,accepted,99,manual,alias match: 'genmab a/s' → 'Genmab',Genmab,47
University of Dundee,University Of Dundee,NA,NA,academic,accepted,95,final_family_map,entity-family match: dundee university → 'University Of Dundee',University Of Dundee,47
CHU de Bordeaux,CHU de Bordeaux,NA,NA,hospital,accepted,99,manual,alias match: 'chu de bordeaux' → 'CHU de Bordeaux',CHU de Bordeaux,47
Oslo University Hospital,Oslo University Hospital,NA,NA,hospital,accepted,95,final_family_map,entity-family match: oslo hospital → 'Oslo University Hospital',Oslo University Hospital,47
ROCHE,Roche,Roche,Roche,industry,accepted,99,manual,alias match: 'roche' → 'Roche',Roche,46
Charit - Universittsmedizin Berlin,Charité Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin,Charité Universitätsmedizin Berlin,hospital,accepted,99,manual,alias match: 'charit - universittsmedizin berlin' → 'Charité Universitätsmedizin Berlin',Charité Universitätsmedizin Berlin,46
Genentech Inc.,Genentech,Roche,Roche,industry,accepted,99,manual,alias match: 'genentech inc' → 'Genentech',Genentech,46
University Hospitals Leuven,UZ Leuven,UZ Leuven,UZ Leuven,hospital,accepted,99,manual,alias match: 'university hospitals leuven' → 'UZ Leuven',UZ Leuven,45
Celgene Corp.,Celgene,Bristol-Myers Squibb,BMS,industry,accepted,98,manual,alias match: 'celgene' → 'Celgene',Celgene,45
ISTITUTO NAZIONALE PER LA CURA TUMORI,IRCCS Istituto Nazionale dei Tumori,NA,NA,foundation,accepted,99,llm_reviewed,alias match: 'istituto nazionale per la cura tumori' → 'IRCCS Istituto Nazionale dei Tumori',IRCCS Istituto Nazionale dei Tumori,44
Sheffield Teaching Hospitals NHS Foundation Trust,Sheffield Teaching Hospitals NHS Foundation Trust,Sheffield Teaching Hospitals NHS Foundation Trust,Sheffield Teaching Hospitals NHS Foundation Trust,hospital,accepted,99,manual,alias match: 'sheffield teaching hospitals nhs foundation trust' → 'Sheffield Teaching Hospitals NHS Foundation Trust',Sheffield Teaching Hospitals NHS Foundation Trust,44
Cardiff University,Cardiff University,NA,NA,academic,accepted,95,final_family_map,entity-family match: cardiff university → 'Cardiff University',Cardiff University,44
Het Nederlands Kanker Instituut-Antoni van Leeuwenhoek Ziekenhuis Stichting,Stichting Het Nederlands Kanker Instituut-Antoni Van Leeuwenhoek Ziekenhuis,NA,NA,hospital,accepted,94,ctis_businesskey,alias match: 'het nederlands kanker instituut-antoni van leeuwenhoek ziekenhuis stichting' → 'Stichting Het Nederlands Kanker Instituut-Antoni Van Leeuwenhoek Ziekenhuis',Stichting Het Nederlands Kanker Instituut-Antoni Van Leeuwenhoek Ziekenhuis,44
AZIENDA SANITARIA OSPEDALIERA S. GIOVANNI BATTISTA DI TORINO,Azienda Sanitaria Ospedaliera S. Giovanni Battista di Torino,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'azienda sanitaria ospedaliera s giovanni battista di torino' → 'Azienda Sanitaria Ospedaliera S. Giovanni Battista di Torino',Azienda Sanitaria Ospedaliera S. Giovanni Battista di Torino,43
OSPEDALE POLICLINICO S. MATTEO,Fondazione IRCCS Policlinico San Matteo,NA,NA,hospital,accepted,99,llm_reviewed,alias match: 'ospedale policlinico s matteo' → 'Fondazione IRCCS Policlinico San Matteo',Fondazione IRCCS Policlinico San Matteo,43
Boehringer Ingelheim RCV GmbH  Co KG,Boehringer Ingelheim,Boehringer Ingelheim,Boehringer Ingelheim,industry,accepted,95,manual,alias match: 'boehringer ingelheim' → 'Boehringer Ingelheim',Boehringer Ingelheim,43
AIO-Studien-gGmbH,AIO-Studien-gGmbH,NA,NA,NA,accepted,94,ctis_businesskey,alias match: 'aio-studien-ggmbh' → 'AIO-Studien-gGmbH',AIO-Studien-gGmbH,43
Actelion Pharmaceuticals Ltd.,Actelion Pharmaceuticals,Actelion Pharmaceuticals,Actelion Pharmaceuticals,industry,accepted,99,manual,alias match: 'actelion pharmaceuticals ltd' → 'Actelion Pharmaceuticals',Actelion Pharmaceuticals,42
Allergan Limited,Allergan,AbbVie,AbbVie,industry,accepted,99,manual,alias match: 'allergan limited' → 'Allergan',Allergan,42
Abbott GmbH  Co. KG,Abbott,Abbott,Abbott,industry,accepted,96,manual,alias match: 'abbott gmbh' → 'Abbott',Abbott,42
Novartis Vaccines and Diagnostics S.r.l.,Novartis,Novartis,Novartis,industry,accepted,96,manual,alias match: 'novartis' → 'Novartis',Novartis,42
Astellas Pharma Europe B.V.,Astellas Pharma,Astellas Pharma,Astellas Pharma,industry,accepted,95,manual,alias match: 'astellas pharma' → 'Astellas Pharma',Astellas Pharma,42
"Teva Branded Pharmaceutical Products RD, Inc.",Teva,Teva,Teva,industry,accepted,99,manual,alias match: 'teva branded pharmaceutical products rd inc' → 'Teva',Teva,42
Radboudumc,Radboudumc,Radboudumc,Radboudumc,hospital,accepted,99,manual,alias match: 'radboudumc' → 'Radboudumc',Radboudumc,42
Sun Pharmaceutical Industries Limited,Sun Pharmaceutical,Sun Pharmaceutical,Sun Pharmaceutical,industry,accepted,99,manual,alias match: 'sun pharmaceutical industries limited' → 'Sun Pharmaceutical',Sun Pharmaceutical,42
NOVARTIS FARMA,Novartis,Novartis,Novartis,industry,accepted,98,manual,alias match: 'novartis' → 'Novartis',Novartis,41
Turku University Hospital,Turku University Hospital,NA,NA,hospital,accepted,95,final_family_map,entity-family match: turku hospital → 'Turku University Hospital',Turku University Hospital,41
Grnenthal GmbH,Grünenthal,Grünenthal,Grünenthal,industry,accepted,99,manual,alias match: 'grnenthal gmbh' → 'Grünenthal',Grünenthal,41
Fundaci Clnic per a la Recerca Biomdica,Fundació Clínic per a la Recerca Biomèdica,NA,NA,academic,accepted,99,manual,alias match: 'fundaci clnic per a la recerca biomdica' → 'Fundació Clínic per a la Recerca Biomèdica',Fundació Clínic per a la Recerca Biomèdica,41
GlaxoSmithKline Research and Development Limited,GSK,GSK,GSK,industry,accepted,99,manual,alias match: 'glaxosmithkline research and development limited' → 'GSK',GSK,40
Merz Pharmaceuticals GmbH,Merz Pharmaceuticals,Merz Pharmaceuticals,Merz Pharmaceuticals,industry,accepted,99,manual,alias match: 'merz pharmaceuticals gmbh' → 'Merz Pharmaceuticals',Merz Pharmaceuticals,40
"Genentech, Inc.",Genentech,Roche,Roche,industry,accepted,99,manual,alias match: 'genentech inc' → 'Genentech',Genentech,40
Genzyme Corporation,Genzyme,Sanofi,Sanofi,industry,accepted,99,manual,alias match: 'genzyme corporation' → 'Genzyme',Genzyme,39
Sanofi-Aventis Recherche  Dveloppement,Sanofi,Sanofi,Sanofi,industry,accepted,98,manual,alias match: 'sanofi-aventis' → 'Sanofi',Sanofi,39
Universitair Medisch Centrum Utrecht,University Medical Center Utrecht,NA,NA,hospital,accepted,95,final_family_map,entity-family match: utrecht hospital → 'University Medical Center Utrecht',University Medical Center Utrecht,39
Merck Healthcare KGaA,Merck,Merck KGaA,Merck KGaA / EMD Serono,industry,accepted,99,manual,alias match: 'merck healthcare kgaa' → 'Merck',Merck,39
HOVON Foundation,HOVON,HOVON,HOVON,cooperative_group,accepted,99,manual,alias match: 'hovon foundation' → 'HOVON',HOVON,38
Baxter Innovations GmbH,Baxter,Baxter,Baxter,industry,accepted,99,review_queue,alias match: 'baxter innovations gmbh' → 'Baxter',Baxter,38
Alexion Pharmaceuticals Inc.,Alexion,AstraZeneca,AstraZeneca,industry,accepted,98,manual,alias match: 'alexion pharmaceuticals' → 'Alexion',Alexion,38
Hospices Civils De Lyon,Hospices Civils de Lyon,Hospices Civils de Lyon,Hospices Civils de Lyon,hospital,accepted,99,manual,alias match: 'hospices civils de lyon' → 'Hospices Civils de Lyon',Hospices Civils de Lyon,38
Boehringer Ingelheim International GmbH / Boehringer Ingelheim Espana S.A.,Boehringer Ingelheim,Boehringer Ingelheim,Boehringer Ingelheim,industry,accepted,95,manual,alias match: 'boehringer ingelheim' → 'Boehringer Ingelheim',Boehringer Ingelheim,38
European Organisation for Research and Treatment of Cancer,EORTC,EORTC,EORTC,cooperative_group,accepted,99,manual,alias match: 'european organisation for research and treatment of cancer' → 'EORTC',EORTC,37
AZIENDA OSPEDALIERA POLICLINICO DI MODENA,AZIENDA OSPEDALIERO-UNIVERSITARIA DI MODENA,NA,NA,unknown,accepted,95,final_family_map,entity-family match: azienda ospedaliera modena hospital → 'AZIENDA OSPEDALIERO-UNIVERSITARIA DI MODENA',AZIENDA OSPEDALIERO-UNIVERSITARIA DI MODENA,37
UNICANCER,Unicancer,Unicancer,Unicancer,cooperative_group,accepted,99,manual,alias match: 'unicancer' → 'Unicancer',Unicancer,37
University Medical Center Hamburg-Eppendorf,University Medical Center Hamburg-Eppendorf,NA,NA,hospital,accepted,95,final_family_map,entity-family match: hamburg eppendorf hospital → 'University Medical Center Hamburg-Eppendorf',University Medical Center Hamburg-Eppendorf,36
CHU de Clermont-Ferrand,CHU de Clermont-Ferrand,NA,NA,hospital,accepted,95,final_family_map,entity-family match: clermont ferrand hospital → 'CHU de Clermont-Ferrand',CHU de Clermont-Ferrand,36
SCS Boehringer Ingelheim Comm. V,Boehringer Ingelheim,Boehringer Ingelheim,Boehringer Ingelheim,industry,accepted,98,manual,alias match: 'scs boehringer ingelheim' → 'Boehringer Ingelheim',Boehringer Ingelheim,36
FONDAZIONE POLICLINICO UNIVERSITARIO AGOSTINO GEMELLI IRCCS UNIVERSITA CATTOLICA DEL SACRO CUORE,Policlinico Universitario Agostino Gemelli,NA,NA,hospital,accepted,95,final_family_map,entity-family match: agostino gemelli irccs cattolica sacro cuore hospital → 'Policlinico Universitario Agostino Gemelli',Policlinico Universitario Agostino Gemelli,36
Region Hovedstaden,Region Hovedstaden,NA,NA,hospital,accepted,99,llm_reviewed,alias match: 'region hovedstaden' → 'Region Hovedstaden',Region Hovedstaden,36
