raw_sponsor,sponsor_clean,sponsor_parent,sponsor_group,sponsor_type,match_status,match_score,match_source,match_reason,suggested_clean,n_trials
Suzhou Connect Biopharmaceuticals Ltd.,Suzhou Connect Biopharmaceuticals,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'suzhou connect biopharmaceuticals ltd' → 'Suzhou Connect Biopharmaceuticals',Suzhou Connect Biopharmaceuticals,2
University Hospitals Leuven UZ Leuven,UZ Leuven,UZ Leuven,UZ Leuven,hospital,accepted,98,manual,alias match: 'university hospitals leuven' → 'UZ Leuven',UZ Leuven,2
Sttn zdravotn stav,Státní zdravotní ústav,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'sttn zdravotn stav' → 'Státní zdravotní ústav',Státní zdravotní ústav,2
"Kronos Bio, Inc.",Kronos Bio,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'kronos bio inc' → 'Kronos Bio',Kronos Bio,2
Amsterdam UMC VUmc,Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,accepted,97,manual,alias match: 'amsterdam umc' → 'Amsterdam UMC',Amsterdam UMC,2
Unicyte AG,Unicyte,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'unicyte ag' → 'Unicyte',Unicyte,2
Eupraxia Pharmaceuticals Inc.,Eupraxia Pharmaceuticals,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'eupraxia pharmaceuticals inc' → 'Eupraxia Pharmaceuticals',Eupraxia Pharmaceuticals,2
Luye Pharma Switzerland AG,Luye Pharma,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'luye pharma switzerland ag' → 'Luye Pharma',Luye Pharma,2
RECOVAC consortium,RECOVAC consortium,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'recovac consortium' → 'RECOVAC consortium',RECOVAC consortium,2
Vifor Fresenius Medical Care Renal Pharma Ltd.,Vifor Fresenius Medical Care Renal Pharma,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'vifor fresenius medical care renal pharma ltd' → 'Vifor Fresenius Medical Care Renal Pharma',Vifor Fresenius Medical Care Renal Pharma,2
Region Stockholm,Region Stockholm,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'region stockholm' → 'Region Stockholm',Region Stockholm,2
Fundacin para la Investigacin e Innovacin Biomdica FIIB del Hospital Universitario Infanta Leonor y Hospital Unive,Fundacin para la Investigacin e Innovacin Biomdica FIIB del Hospital Universitario Infanta Leonor y Hospital Unive,NA,NA,hospital,accepted,99,llm_reviewed,alias match: 'fundacin para la investigacin e innovacin biomdica fiib del hospital universitario infanta leonor y hospital unive' → 'Fundacin para la Investigacin e Innovacin Biomdica FIIB del Hospital Universitario Infanta Leonor y Hospital Unive',Fundacin para la Investigacin e Innovacin Biomdica FIIB del Hospital Universitario Infanta Leonor y Hospital Unive,2
Veru Inc.,Veru,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'veru inc' → 'Veru',Veru,2
"AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS, M.P. CSIC",CSIC,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'agencia estatal consejo superior de investigaciones cientificas m p csic' → 'CSIC',CSIC,2
EVELO Biosciences Inc,Evelo Biosciences,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'evelo biosciences inc' → 'Evelo Biosciences',Evelo Biosciences,2
National Institute for Public Health and the Environment,National Institute for Public Health and the Environment,NA,NA,public_body,accepted,99,llm_reviewed,alias match: 'national institute for public health and the environment' → 'National Institute for Public Health and the Environment',National Institute for Public Health and the Environment,2
"Medizinische Universitt Innsbruck, Institut fr Virologie",Medical University Of Innsbruck,Medical University Of Innsbruck,Medical University Of Innsbruck,hospital,accepted,99,manual,alias match: 'medizinische universitt innsbruck institut fr virologie' → 'Medical University Of Innsbruck',Medical University Of Innsbruck,2
GERMAN ONCOLOGY CENTER,German Oncology Center,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'german oncology center' → 'German Oncology Center',German Oncology Center,2
Fabentech,Fabentech,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'fabentech' → 'Fabentech',Fabentech,2
"Medical University of Vienna, Department for Internal Medicine III, Division of Rheumatology",Medical University Of Vienna,Medical University Of Vienna,Medical University Of Vienna,hospital,accepted,99,manual,alias match: 'medical university of vienna department for internal medicine iii division of rheumatology' → 'Medical University Of Vienna',Medical University Of Vienna,2
Rhythm Pharmaceuticals Inc.,Rhythm Pharmaceuticals,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'rhythm pharmaceuticals inc' → 'Rhythm Pharmaceuticals',Rhythm Pharmaceuticals,2
"Aclaris Therapeutics, Inc.",Aclaris Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'aclaris therapeutics inc' → 'Aclaris Therapeutics',Aclaris Therapeutics,2
"Almirall, S.A.",Almirall,Almirall S.A.,Almirall S.A.,industry,accepted,99,llm_reviewed,alias match: 'almirall s a' → 'Almirall',Almirall,2
Treeway TW001AD B.V.,Treeway TW001AD,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'treeway tw001ad b v' → 'Treeway TW001AD',Treeway TW001AD,2
Alterity Therapeutics Limited,Alterity Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'alterity therapeutics limited' → 'Alterity Therapeutics',Alterity Therapeutics,2
Nimes University Hospital,CHU de Nîmes,NA,NA,hospital,accepted,99,manual,alias match: 'nimes university hospital' → 'CHU de Nîmes',CHU de Nîmes,2
Xinnate AB,Xinnate,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'xinnate ab' → 'Xinnate',Xinnate,2
Ketabon GmbH,Ketabon,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'ketabon gmbh' → 'Ketabon',Ketabon,2
"AMC, Cardiovascular Sciences",Amsterdam UMC,Amsterdam UMC,Amsterdam UMC,hospital,accepted,99,llm_reviewed,alias match: 'amc cardiovascular sciences' → 'Amsterdam UMC',Amsterdam UMC,2
Horizon Therapeutics Ireland DAC,Horizon Therapeutics Ireland DAC,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'horizon therapeutics ireland dac' → 'Horizon Therapeutics Ireland DAC',Horizon Therapeutics Ireland DAC,2
"Ventyx Biosciences, Inc.",Ventyx Biosciences,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'ventyx biosciences inc' → 'Ventyx Biosciences',Ventyx Biosciences,2
Cell2Cure ApS,Cell2cure,NA,NA,NA,accepted,94,ctis_businesskey,alias match: 'cell2cure aps' → 'Cell2cure',Cell2cure,2
Monash University,Monash University,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'monash university' → 'Monash University',Monash University,2
Mc2 Therapeutics Limited,MC2 Therapeutics,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'mc2 therapeutics limited' → 'MC2 Therapeutics',MC2 Therapeutics,2
Otsuka Pharmaceutical Development And Commercialization Inc.,Otsuka Pharmaceutical,Otsuka Pharmaceutical,Otsuka Pharmaceutical,industry,accepted,99,manual,alias match: 'otsuka pharmaceutical development and commercialization inc' → 'Otsuka Pharmaceutical',Otsuka Pharmaceutical,2
Tiohundra AB,Tiohundra,NA,NA,unknown,accepted,99,llm_reviewed,alias match: 'tiohundra ab' → 'Tiohundra',Tiohundra,2
Centre Hospitalier Universitaire Dijon Bourgogne,CHU Dijon Bourgogne,NA,NA,hospital,accepted,94,ctis_businesskey,alias match: 'centre hospitalier universitaire dijon bourgogne' → 'CHU Dijon Bourgogne',CHU Dijon Bourgogne,2
