"register","raw","normalised","n_trials","changed"
"CTIS","100000004852 / 100000004857 / 100000004859","Nervous system disorders / Renal and urinary disorders / Musculoskeletal and connective tissue disorders",1,TRUE
"CTIS","100000004852 / 100000004864","Nervous system disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",1,TRUE
"CTIS","100000004852 / 100000004865 / 10042613 - Surgical and medical procedures","Nervous system disorders / Surgical and medical procedures",1,TRUE
"CTIS","100000004852 / 100000004873","Nervous system disorders / Psychiatric disorders",1,TRUE
"CTIS","100000004852 / 10022117 - Injury, poisoning and procedural complications","Nervous system disorders / Injury, poisoning and procedural complications",1,TRUE
"CTIS","100000004853 / 10015919 - Eye disorders","Eye disorders",1,TRUE
"CTIS","100000004854","Ear and labyrinth disorders",1,TRUE
"CTIS","100000004855 / 100000004863 / 100000004866","Respiratory, thoracic and mediastinal disorders / Injury, poisoning and procedural complications / Vascular disorders",1,TRUE
"CTIS","100000004856 / 100000004858","Gastrointestinal disorders / Skin and subcutaneous tissue disorders",1,TRUE
"CTIS","100000004856 / 100000004859","Gastrointestinal disorders / Musculoskeletal and connective tissue disorders",1,TRUE
"CTIS","100000004856 / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps / 10042613 - Surgical and medical procedures","Gastrointestinal disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Surgical and medical procedures",1,TRUE
"CTIS","100000004857 / 100000004861","Renal and urinary disorders / Metabolism and nutrition disorders",1,TRUE
"CTIS","100000004857 / 100000004861 / 100000004867","Renal and urinary disorders / Metabolism and nutrition disorders / General disorders and administration site conditions",1,TRUE
"CTIS","100000004857 / 100000004866","Renal and urinary disorders / Vascular disorders",1,TRUE
"CTIS","100000004857 / 100000004873","Renal and urinary disorders / Psychiatric disorders",1,TRUE
"CTIS","100000004858 / 100000004864 / 10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Skin and subcutaneous tissue disorders / Neoplasms benign, malignant and unspecified (incl cysts and polyps)",1,TRUE
"CTIS","100000004861 / 10027433 - Metabolism and nutrition disorders","Metabolism and nutrition disorders",1,TRUE
"CTIS","100000004862 / 100000004866","Infections and infestations / Vascular disorders",1,TRUE
"CTIS","100000004862 / 100000004871","Infections and infestations / Hepatobiliary disorders",1,TRUE
"CTIS","100000004862 / 10021881 - Infections and infestations","Infections and infestations",1,TRUE
"CTIS","100000004863 / 100000004865","Injury, poisoning and procedural complications / Surgical and medical procedures",1,TRUE
"CTIS","100000004864 / 100000004865","Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Surgical and medical procedures",1,TRUE
"CTIS","100000004864 / 100000004870","Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Immune system disorders",1,TRUE
"CTIS","100000004864 / 100000004873","Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Psychiatric disorders",1,TRUE
"CTIS","100000004864 / 10005329 - Blood and lymphatic system disorders","Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Blood and lymphatic system disorders",1,TRUE
"CTIS","100000004864 / 10022891 - Investigations","Neoplasms benign, malignant and unspecified (incl cysts and polyps) / Investigations",1,TRUE
"CTIS","100000004865 / 100000004866","Surgical and medical procedures / Vascular disorders",1,TRUE
"CTIS","100000004866 / 10047065 - Vascular disorders","Vascular disorders",1,TRUE
"CTIS","100000004867","General disorders and administration site conditions",1,TRUE
"CTIS","100000004873 / 10037175 - Psychiatric disorders","Psychiatric disorders",1,TRUE
"CTIS","10007541 - Cardiac disorders","Cardiac disorders",1,TRUE
"CTIS","10015919 - Eye disorders / 10021881 - Infections and infestations","Eye disorders / Infections and infestations",1,TRUE
"CTIS","10017947 - Gastrointestinal disorders","Gastrointestinal disorders",1,TRUE
"CTIS","10019805 - Hepatobiliary disorders","Hepatobiliary disorders",1,TRUE
"CTIS","10021881 - Infections and infestations / 10029205 - Nervous system disorders","Infections and infestations / Nervous system disorders",1,TRUE
"CTIS","10028395 - Musculoskeletal and connective tissue disorders","Musculoskeletal and connective tissue disorders",1,TRUE
"CTIS","10029205 - Nervous system disorders","Nervous system disorders",1,TRUE
"CTIS","10038738 - Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders",1,TRUE
"CTIS","10040785 - Skin and subcutaneous tissue disorders","Skin and subcutaneous tissue disorders",1,TRUE
"EUCTR",NA,NA,5787,FALSE
"EUCTR","10029104 - Neoplasms benign, malignant and unspecified incl cysts and polyps","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",1439,TRUE
"EUCTR","100000004864","Neoplasms benign, malignant and unspecified (incl cysts and polyps)",786,TRUE
"EUCTR","10029205 - Nervous system disorders","Nervous system disorders",470,TRUE
"EUCTR","10021881 - Infections and infestations","Infections and infestations",378,TRUE
"EUCTR","10010331 - Congenital, familial and genetic disorders","Congenital, familial and genetic disorders",345,TRUE
"EUCTR","10028395 - Musculoskeletal and connective tissue disorders","Musculoskeletal and connective tissue disorders",315,TRUE
"EUCTR","10038738 - Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders",303,TRUE
"EUCTR","100000004862","Infections and infestations",235,TRUE
"EUCTR","10027433 - Metabolism and nutrition disorders","Metabolism and nutrition disorders",207,TRUE
"EUCTR","100000004850","Congenital, familial and genetic disorders",195,TRUE
"EUCTR","100000004858","Skin and subcutaneous tissue disorders",189,TRUE
"EUCTR","10017947 - Gastrointestinal disorders","Gastrointestinal disorders",168,TRUE
"EUCTR","100000004852","Nervous system disorders",158,TRUE
"EUCTR","100000004859","Musculoskeletal and connective tissue disorders",154,TRUE
"EUCTR","100000004856","Gastrointestinal disorders",153,TRUE
"EUCTR","10037175 - Psychiatric disorders","Psychiatric disorders",137,TRUE
"EUCTR","10040785 - Skin and subcutaneous tissue disorders","Skin and subcutaneous tissue disorders",128,TRUE
"EUCTR","100000004855","Respiratory, thoracic and mediastinal disorders",123,TRUE
"EUCTR","100000004861","Metabolism and nutrition disorders",114,TRUE
"EUCTR","10015919 - Eye disorders","Eye disorders",112,TRUE
"EUCTR","10042613 - Surgical and medical procedures","Surgical and medical procedures",112,TRUE
"EUCTR","10007541 - Cardiac disorders","Cardiac disorders",111,TRUE
"EUCTR","10038359 - Renal and urinary disorders","Renal and urinary disorders",111,TRUE
"EUCTR","100000004849","Cardiac disorders",100,TRUE
