raw_substance,n_trials,reason
ml solution for injection in vial,7,only dose/form/unit language remains after stripping
ml),7,only dose/form/unit language remains after stripping
"ml, injectievloeistof",7,only dose/form/unit language remains after stripping
"ml, solution for injection",7,only dose/form/unit language remains after stripping
"ml, solution injectable pour perfusion",7,only dose/form/unit language remains after stripping
0.5 ml solution for injection or infusion in pre-filled syringe,6,only dose/form/unit language remains after stripping
1 mL Solution for injection in pre-filled syringe,6,only dose/form/unit language remains after stripping
"10 mL, solution injectable",6,only dose/form/unit language remains after stripping
10 mg film-coated tablets,6,only dose/form/unit language remains after stripping
100 ml solution for infusion,6,only dose/form/unit language remains after stripping
2,6,shorter than 3 characters
254,6,only dose/form/unit language remains after stripping
50 mg,6,only dose/form/unit language remains after stripping
Unknown,6,"placeholder text, not a substance"
g Gel,6,only dose/form/unit language remains after stripping
g cream,6,only dose/form/unit language remains after stripping
"ml injektioneste, liuos",6,only dose/form/unit language remains after stripping
ml oplossing voor infusie,6,only dose/form/unit language remains after stripping
ml powder for solution for injection,6,only dose/form/unit language remains after stripping
"ml, poudre pour solution pour perfusion",6,only dose/form/unit language remains after stripping
vial,6,only dose/form/unit language remains after stripping
0.4,5,only dose/form/unit language remains after stripping
0.5 mL solution for injection in pre-filled syringe,5,only dose/form/unit language remains after stripping
0.5 mg hard capsules,5,only dose/form/unit language remains after stripping
02,5,shorter than 3 characters
03,5,shorter than 3 characters
10,5,shorter than 3 characters
100 mg film-coated tablets,5,only dose/form/unit language remains after stripping
103 mg film-coated tablets,5,only dose/form/unit language remains after stripping
16,5,shorter than 3 characters
"20 ml, solution à diluer pour perfusion",5,only dose/form/unit language remains after stripping
26 mg film-coated tablets,5,only dose/form/unit language remains after stripping
3 mL concentrate for solution for infusion,5,only dose/form/unit language remains after stripping
4 ml Konzentrat zur Herstellung einer Infusionslösung,5,only dose/form/unit language remains after stripping
51 mg film-coated tablets,5,only dose/form/unit language remains after stripping
80 mg concentrate for solution for infusion,5,only dose/form/unit language remains after stripping
Not known,5,"placeholder text, not a substance"
mL oral suspension,5,only dose/form/unit language remains after stripping
mL powder for oral solution,5,only dose/form/unit language remains after stripping
ml Injection.,5,only dose/form/unit language remains after stripping
ml Pulver zur Herstellung einer Infusionslösung,5,only dose/form/unit language remains after stripping
0.36 mL solution for injection,4,only dose/form/unit language remains after stripping
0.5 g powder for concentrate for solution for infusion,4,only dose/form/unit language remains after stripping
0.5 mL concentrate for solution for infusion,4,only dose/form/unit language remains after stripping
0.72 mL solution for injection,4,only dose/form/unit language remains after stripping
0.8 ml solution for injection,4,only dose/form/unit language remains after stripping
1),4,shorter than 3 characters
1.5 mL solution for injection in pre-filled syringe,4,only dose/form/unit language remains after stripping
10 mg,4,only dose/form/unit language remains after stripping
11 mL concentrate for solution for infusion,4,only dose/form/unit language remains after stripping
11.8 mg hard capsules,4,only dose/form/unit language remains after stripping
2007,4,only dose/form/unit language remains after stripping
210,4,only dose/form/unit language remains after stripping
300 mg,4,only dose/form/unit language remains after stripping
4.35 mg,4,only dose/form/unit language remains after stripping
5 micrograms,4,only dose/form/unit language remains after stripping
5 ml powder for oral suspension,4,only dose/form/unit language remains after stripping
50 mg film-coated tablets,4,only dose/form/unit language remains after stripping
5ml,4,only dose/form/unit language remains after stripping
ML,4,shorter than 3 characters
To be determined,4,"placeholder text, not a substance"
m,4,shorter than 3 characters
ml  Injektionslösung,4,only dose/form/unit language remains after stripping
ml + 5 mg,4,only dose/form/unit language remains after stripping
ml oral suspension,4,only dose/form/unit language remains after stripping
ml solution for subcutaneous injection,4,only dose/form/unit language remains after stripping
ml solution à diluer pour injection ou perfusion,4,only dose/form/unit language remains after stripping
ml solution à diluer pour perfusion.,4,only dose/form/unit language remains after stripping
"ml), émulsion injectable ou pour perfusion",4,only dose/form/unit language remains after stripping
"ml, solution à diluer pour perfusion.",4,only dose/form/unit language remains after stripping
0.4 mL solution for injection in pre-filled syringe,3,only dose/form/unit language remains after stripping
1.08 mL solution for injection,3,only dose/form/unit language remains after stripping
10 Solution,3,only dose/form/unit language remains after stripping
1ml Solution injectable,3,only dose/form/unit language remains after stripping
2 mL Solution for injection in pre-filled syringe,3,only dose/form/unit language remains after stripping
"2 mL, solution à diluer pour perfusion",3,only dose/form/unit language remains after stripping
2 ml solution for injection,3,only dose/form/unit language remains after stripping
2 ml solution à diluer pour perfusion,3,only dose/form/unit language remains after stripping
"25 ml, solution injectable",3,only dose/form/unit language remains after stripping
2570,3,only dose/form/unit language remains after stripping
2ml,3,only dose/form/unit language remains after stripping
4,3,shorter than 3 characters
40 mg,3,only dose/form/unit language remains after stripping
4801,3,only dose/form/unit language remains after stripping
"5 mL, solution injectable",3,only dose/form/unit language remains after stripping
"5 ml, solution injectable en ampoule",3,only dose/form/unit language remains after stripping
5ml Oral Solution,3,only dose/form/unit language remains after stripping
600 mg,3,only dose/form/unit language remains after stripping
8 ml concentrate for solution for infusion,3,only dose/form/unit language remains after stripping
INN not available,3,"placeholder text, not a substance"
IV),3,only dose/form/unit language remains after stripping
"L, solution pour perfusion",3,only dose/form/unit language remains after stripping
ML + 4 MG,3,only dose/form/unit language remains after stripping
N.A,3,only dose/form/unit language remains after stripping
ND,3,shorter than 3 characters
Not established yet,3,"placeholder text, not a substance"
To be confirmed,3,"placeholder text, not a substance"
dose,3,"placeholder text, not a substance"
"dose, poudre pour inhalation",3,only dose/form/unit language remains after stripping
"g, gel",3,only dose/form/unit language remains after stripping
h transdermal patch,3,only dose/form/unit language remains after stripping
infusion.,3,only dose/form/unit language remains after stripping
kg,3,shorter than 3 characters
mL suspension for injection,3,only dose/form/unit language remains after stripping
ml Injection BP,3,only dose/form/unit language remains after stripping
ml Solution for Injection.,3,only dose/form/unit language remains after stripping
ml Solution à diluer pour perfusion,3,only dose/form/unit language remains after stripping
