raw_substance,n_trials,reason
"2.5ml, διάλυμα για εισπνοή μέσω εκνεφωτή",1,only dose/form/unit language remains after stripping
"20 mL, Solution for Injection",1,only dose/form/unit language remains after stripping
200,1,only dose/form/unit language remains after stripping
200 mg poeder voor oplossing voor infusie,1,only dose/form/unit language remains after stripping
200 mg poudre pour solution pour perfusion,1,only dose/form/unit language remains after stripping
200-555-0,1,only dose/form/unit language remains after stripping
2002,1,only dose/form/unit language remains after stripping
2003,1,only dose/form/unit language remains after stripping
2005,1,only dose/form/unit language remains after stripping
200mL,1,only dose/form/unit language remains after stripping
2013,1,only dose/form/unit language remains after stripping
2017,1,only dose/form/unit language remains after stripping
2021,1,only dose/form/unit language remains after stripping
20mg),1,only dose/form/unit language remains after stripping
20ml,1,only dose/form/unit language remains after stripping
20ml Injektionslsung,1,only dose/form/unit language remains after stripping
21 mcg,1,only dose/form/unit language remains after stripping
213mg,1,only dose/form/unit language remains after stripping
21mcg,1,only dose/form/unit language remains after stripping
"22,7 mg",1,only dose/form/unit language remains after stripping
22085,1,only dose/form/unit language remains after stripping
25 mcg,1,only dose/form/unit language remains after stripping
25 mg tabletter,1,only dose/form/unit language remains after stripping
"25 ml, solution injectable pour perfusion",1,only dose/form/unit language remains after stripping
"25 ml, solution à diluer pour perfusion",1,only dose/form/unit language remains after stripping
250 Mikrogramm,1,only dose/form/unit language remains after stripping
250 mg,1,only dose/form/unit language remains after stripping
250 microgram,1,only dose/form/unit language remains after stripping
250ml,1,only dose/form/unit language remains after stripping
26mg,1,only dose/form/unit language remains after stripping
274693-27-5,1,only dose/form/unit language remains after stripping
2933.79,1,only dose/form/unit language remains after stripping
2g,1,shorter than 3 characters
2mL Solution for injection in pre-filled syringe,1,only dose/form/unit language remains after stripping
2mL solution for injection in pre-filled syringe,1,only dose/form/unit language remains after stripping
"2ml, concentraat voor oplossing voor infusie",1,only dose/form/unit language remains after stripping
2w,1,shorter than 3 characters
3 Inhaler 5 mg,1,only dose/form/unit language remains after stripping
3 ml ενέσιμο διάλυμα,1,only dose/form/unit language remains after stripping
"3 ml, solution injectable",1,only dose/form/unit language remains after stripping
"3 ml, solution injectable en ampoule (IV)",1,only dose/form/unit language remains after stripping
3.33ml solution for infusion,1,only dose/form/unit language remains after stripping
30,1,shorter than 3 characters
"30 mg, comprimé",1,only dose/form/unit language remains after stripping
30 ml Injektionslösung,1,only dose/form/unit language remains after stripping
312-93-6,1,only dose/form/unit language remains after stripping
316,1,only dose/form/unit language remains after stripping
33,1,shorter than 3 characters
3400957825331,1,only dose/form/unit language remains after stripping
364622-82-2,1,only dose/form/unit language remains after stripping
"37,5mg",1,only dose/form/unit language remains after stripping
37.5 mg granules for oral solution,1,only dose/form/unit language remains after stripping
"38,6 mg",1,only dose/form/unit language remains after stripping
38396-39-3,1,only dose/form/unit language remains after stripping
3mL solution for injection.,1,only dose/form/unit language remains after stripping
4 mg film-coated tablets,1,only dose/form/unit language remains after stripping
4 ml Injektionslösung,1,only dose/form/unit language remains after stripping
"4 ml injeksjonsvæske, oppløsning",1,only dose/form/unit language remains after stripping
4 ml solution for injection for intramuscular use,1,only dose/form/unit language remains after stripping
4 ml – Ampulle,1,only dose/form/unit language remains after stripping
"4 ml, solution injectable",1,only dose/form/unit language remains after stripping
"4 ml, solution à diluer pour perfusion",1,only dose/form/unit language remains after stripping
4.000 IU,1,only dose/form/unit language remains after stripping
40 mg comprimidos,1,only dose/form/unit language remains after stripping
40 mg tablets,1,only dose/form/unit language remains after stripping
40.000 IU,1,only dose/form/unit language remains after stripping
400 mg comprimidos.,1,only dose/form/unit language remains after stripping
400mg Tablets,1,only dose/form/unit language remains after stripping
43 micrograms inhalation powder hard capsules,1,only dose/form/unit language remains after stripping
442,1,only dose/form/unit language remains after stripping
45 ml Infusionslösung,1,only dose/form/unit language remains after stripping
45 ml oplossing voor infusie,1,only dose/form/unit language remains after stripping
45 ml solution pour perfusion,1,only dose/form/unit language remains after stripping
450 mg δισκία,1,only dose/form/unit language remains after stripping
46 micrograms,1,only dose/form/unit language remains after stripping
5,1,shorter than 3 characters
5 mg επικαλυμμένα με λεπτό υμένιο δισκία,1,only dose/form/unit language remains after stripping
5 ml : solution injectable en ampoule,1,only dose/form/unit language remains after stripping
"5 ml I.V., solution injectable",1,only dose/form/unit language remains after stripping
5 ml Πόσιμο Διάλυμα,1,only dose/form/unit language remains after stripping
"5 ml, Konzentrat zur Herstellung einer Infusionslösung",1,only dose/form/unit language remains after stripping
"5 ml, solution injectable (I.V.)",1,only dose/form/unit language remains after stripping
"5 ml, solution injectable I.V. en ampoule",1,only dose/form/unit language remains after stripping
"5 ml, solution injectable pour perfusion",1,only dose/form/unit language remains after stripping
5-Флуороурацил Ебеве 50 mg,1,only dose/form/unit language remains after stripping
50 ml Injektionslösung,1,only dose/form/unit language remains after stripping
"50 ml, Infusionslösung",1,only dose/form/unit language remains after stripping
500,1,only dose/form/unit language remains after stripping
500 Mikrogramm,1,only dose/form/unit language remains after stripping
500 mg film-coated tablets,1,only dose/form/unit language remains after stripping
"500 mg, poudre pour solution pour perfusion.",1,only dose/form/unit language remains after stripping
500ml,1,only dose/form/unit language remains after stripping
50mcg inhalation powder,1,only dose/form/unit language remains after stripping
50mg,1,only dose/form/unit language remains after stripping
51-43-4,1,only dose/form/unit language remains after stripping
51mg,1,only dose/form/unit language remains after stripping
52-26-6,1,only dose/form/unit language remains after stripping
54143-56-5,1,only dose/form/unit language remains after stripping
55 micrograms,1,only dose/form/unit language remains after stripping
5561,1,only dose/form/unit language remains after stripping
559,1,only dose/form/unit language remains after stripping
5mL oral suspension,1,only dose/form/unit language remains after stripping
5ml Oral solution,1,only dose/form/unit language remains after stripping
5ml solution for injection,1,only dose/form/unit language remains after stripping
6 mg film-coated tablets,1,only dose/form/unit language remains after stripping
6 micrograms,1,only dose/form/unit language remains after stripping
600,1,only dose/form/unit language remains after stripping
60452.00.00,1,only dose/form/unit language remains after stripping
6096046.00.00,1,only dose/form/unit language remains after stripping
60ml oral solution,1,only dose/form/unit language remains after stripping
64678.00.00,1,only dose/form/unit language remains after stripping
65000 IU,1,only dose/form/unit language remains after stripping
682487,1,only dose/form/unit language remains after stripping
68510,1,only dose/form/unit language remains after stripping
70,1,shorter than 3 characters
70 Mg,1,only dose/form/unit language remains after stripping
71,1,shorter than 3 characters
71597,1,only dose/form/unit language remains after stripping
760981-83-7,1,only dose/form/unit language remains after stripping
7643,1,only dose/form/unit language remains after stripping
788,1,only dose/form/unit language remains after stripping
8 ml concentrate for solution for infusion.,1,only dose/form/unit language remains after stripping
80 mg,1,only dose/form/unit language remains after stripping
80 mg Tabletten,1,only dose/form/unit language remains after stripping
80 mg tabletter,1,only dose/form/unit language remains after stripping
800 mg Tablets,1,only dose/form/unit language remains after stripping
800 mg tabletten,1,only dose/form/unit language remains after stripping
800 mg tabletter,1,only dose/form/unit language remains after stripping
80mg,1,only dose/form/unit language remains after stripping
81030-75-3,1,only dose/form/unit language remains after stripping
8204,1,only dose/form/unit language remains after stripping
850 mg film-coated tablets,1,only dose/form/unit language remains after stripping
868540-17-4 L,1,only dose/form/unit language remains after stripping
8764,1,only dose/form/unit language remains after stripping
90 mg,1,only dose/form/unit language remains after stripping
9078,1,only dose/form/unit language remains after stripping
"96,4%",1,only dose/form/unit language remains after stripping
9623,1,only dose/form/unit language remains after stripping
9715293,1,only dose/form/unit language remains after stripping
99 A,1,only dose/form/unit language remains after stripping
9ml,1,only dose/form/unit language remains after stripping
A-831,1,only dose/form/unit language remains after stripping
A.A.S. 100 mg comprimidos.,1,only dose/form/unit language remains after stripping
Al,1,shorter than 3 characters
BP,1,shorter than 3 characters
C,1,shorter than 3 characters
CD,1,shorter than 3 characters
Capsule coated tablets,1,only dose/form/unit language remains after stripping
Capsules,1,only dose/form/unit language remains after stripping
Concentrate for solution for infusion,1,only dose/form/unit language remains after stripping
E,1,shorter than 3 characters
EU,1,shorter than 3 characters
F,1,shorter than 3 characters
FP,1,shorter than 3 characters
Film-coated tablet Oral Use,1,only dose/form/unit language remains after stripping
Granules for oral suspension,1,only dose/form/unit language remains after stripping
Hard capsules,1,only dose/form/unit language remains after stripping
I.V. 1000 mg,1,only dose/form/unit language remains after stripping
IM,1,shorter than 3 characters
INN Name Not yet assigned,1,"placeholder text, not a substance"
INN name not assigned yet,1,"placeholder text, not a substance"
INN name not yet established,1,"placeholder text, not a substance"
INN not yet assigned - LY2216684,1,"placeholder text, not a substance"
INN not yet assigned-LY2216684,1,"placeholder text, not a substance"
Ig IV,1,only dose/form/unit language remains after stripping
Inhalation solution,1,only dose/form/unit language remains after stripping
Intravenous,1,only dose/form/unit language remains after stripping
JP,1,shorter than 3 characters
KY,1,shorter than 3 characters
Kонвулекс хроно 500 mg таблетки с удължено освобождаване,1,only dose/form/unit language remains after stripping
L,1,shorter than 3 characters
ML CONCENTRATE FOR SOLUTION FOR INFUSION,1,only dose/form/unit language remains after stripping
"ML,",1,only dose/form/unit language remains after stripping
NF,1,shorter than 3 characters
NONE,1,"placeholder text, not a substance"
NOT APPLICABLE,1,"placeholder text, not a substance"
NOT ASSIGNED,1,"placeholder text, not a substance"
Na,1,shorter than 3 characters
Nil,1,"placeholder text, not a substance"
No,1,shorter than 3 characters
Not Applicable N,1,"placeholder text, not a substance"
Not Assigned yet,1,"placeholder text, not a substance"
Not Known,1,"placeholder text, not a substance"
Not Yet Available,1,"placeholder text, not a substance"
Not applicable yet,1,"placeholder text, not a substance"
Not assigned by WHO since the active substance is a specific crystal form inorganic compound,1,"placeholder text, not a substance"
Not available see D.3.9.3,1,"placeholder text, not a substance"
Not known yet,1,"placeholder text, not a substance"
Not yet available.,1,"placeholder text, not a substance"
PE,1,shorter than 3 characters
Powder for concentrate for solution for infusion,1,only dose/form/unit language remains after stripping
Powder for solution for infusion,1,only dose/form/unit language remains after stripping
Proposed INN to be confirmed in May 2017,1,"placeholder text, not a substance"
S2,1,shorter than 3 characters
S3,1,shorter than 3 characters
"Solution for Injection, subcutaneous Use",1,only dose/form/unit language remains after stripping
Solution for injection,1,only dose/form/unit language remains after stripping
Solution for injection in pre-filled syringe,1,only dose/form/unit language remains after stripping
Suspension,1,only dose/form/unit language remains after stripping
THE-630,1,only dose/form/unit language remains after stripping
TP,1,shorter than 3 characters
Tablets for oral use,1,only dose/form/unit language remains after stripping
UNKNOWN,1,"placeholder text, not a substance"
V),1,shorter than 3 characters
batch released by Creapharm (MIA No. 2025 001 1 2 4 10). One hard capsule contains only 350 mg Macrogol 6000. No active substance. EU MP number: not applicable. Marketing Authorisation: not applicable.,1,"placeholder text, not a substance"
capsules,1,only dose/form/unit language remains after stripping
da,1,shorter than 3 characters
"dose, solution à inhaler",1,only dose/form/unit language remains after stripping
ds,1,shorter than 3 characters
film-coated tablets,1,only dose/form/unit language remains after stripping
g (0.025%) gel],1,only dose/form/unit language remains after stripping
"g + 0,25 mg",1,only dose/form/unit language remains after stripping
"g + 0,25mg",1,only dose/form/unit language remains after stripping
g + 10 mg,1,only dose/form/unit language remains after stripping
g + 200 mg,1,only dose/form/unit language remains after stripping
g + 25 mg,1,only dose/form/unit language remains after stripping
g + 250 mg,1,only dose/form/unit language remains after stripping
g gel,1,only dose/form/unit language remains after stripping
g transdermal gel.,1,only dose/form/unit language remains after stripping
g γέλη,1,only dose/form/unit language remains after stripping
g.,1,shorter than 3 characters
h,1,shorter than 3 characters
h Transdermal Patch,1,only dose/form/unit language remains after stripping
infusie.,1,only dose/form/unit language remains after stripping
infusion intravenous,1,only dose/form/unit language remains after stripping
inhalation solution,1,only dose/form/unit language remains after stripping
injection,1,only dose/form/unit language remains after stripping
j,1,shorter than 3 characters
l Infusionslösung,1,only dose/form/unit language remains after stripping
l Solution for Infusion,1,only dose/form/unit language remains after stripping
l),1,shorter than 3 characters
"l, solution for infusion.",1,only dose/form/unit language remains after stripping
mL + 5 mg,1,only dose/form/unit language remains after stripping
mL Concentrate for solution for infusion,1,only dose/form/unit language remains after stripping
mL Dose for IM Injection,1,only dose/form/unit language remains after stripping
mL Solution for Infusion,1,only dose/form/unit language remains after stripping
mL Solution for injection in Pre-filled Syringe,1,only dose/form/unit language remains after stripping
mL concentrate for dispersion for infusion,1,only dose/form/unit language remains after stripping
mL concentrate for solution for infusion 400 mg,1,only dose/form/unit language remains after stripping
mL dispersion for injection.,1,only dose/form/unit language remains after stripping
mL granules for oral suspension,1,only dose/form/unit language remains after stripping
mL injection,1,only dose/form/unit language remains after stripping
mL powder for oral suspension,1,only dose/form/unit language remains after stripping
mL solución inyectable,1,only dose/form/unit language remains after stripping
mL solution for infusion for subcutaneous use,1,only dose/form/unit language remains after stripping
mL solution for inhalation),1,only dose/form/unit language remains after stripping
mL solution for intravenous injection,1,only dose/form/unit language remains after stripping
mL solution for subcutaneous injection,1,only dose/form/unit language remains after stripping
mL),1,only dose/form/unit language remains after stripping
"mL), solution injectable",1,only dose/form/unit language remains after stripping
"mL), solution injectable en flacon",1,only dose/form/unit language remains after stripping
"mL, 0%)",1,only dose/form/unit language remains after stripping
"mL, 10 mL vial",1,only dose/form/unit language remains after stripping
"mL, nasal spray solution",1,only dose/form/unit language remains after stripping
"mL, oral solution",1,only dose/form/unit language remains after stripping
"mL, poudre pour suspension injectable",1,only dose/form/unit language remains after stripping
"mL, solution for injection",1,only dose/form/unit language remains after stripping
"mL, solution à diluer pour perfusion (IV)",1,only dose/form/unit language remains after stripping
ml  Concentrate for solution for infusion,1,only dose/form/unit language remains after stripping
ml (0.9%) - Solution for injection,1,only dose/form/unit language remains after stripping
ml (0.9%) solution for injection,1,only dose/form/unit language remains after stripping
"ml (10%), concentraat voor oplossing voor infusie",1,only dose/form/unit language remains after stripping
ml (2ml,1,only dose/form/unit language remains after stripping
ml (<> 270 mg I,1,only dose/form/unit language remains after stripping
ml (solution for injection),1,only dose/form/unit language remains after stripping
"ml + 0,005 mg",1,only dose/form/unit language remains after stripping
ml + 10 mg,1,only dose/form/unit language remains after stripping
ml + 20 mg,1,only dose/form/unit language remains after stripping
"ml + 3,1 mg",1,only dose/form/unit language remains after stripping
ml + 5 microgram,1,only dose/form/unit language remains after stripping
ml + 8 mg,1,only dose/form/unit language remains after stripping
"ml -injektioneste, liuos",1,only dose/form/unit language remains after stripping
ml Concentraat voor Oplossing voor Infusie,1,only dose/form/unit language remains after stripping
ml Concentrate for Solution for Injection,1,only dose/form/unit language remains after stripping
ml Concentrate for solution for infusion,1,only dose/form/unit language remains after stripping
ml Intravenous infusion,1,only dose/form/unit language remains after stripping
ml KONZENTRAT ZUR HERSTELLUNG EINER INFUSIONSLÖSUNG,1,only dose/form/unit language remains after stripping
ml Konzentrat zur Herstellung einer Infusionslösung.,1,only dose/form/unit language remains after stripping
ml Lösung,1,only dose/form/unit language remains after stripping
ml Pulver zur Herstellung einer Injektionslsung,1,only dose/form/unit language remains after stripping
ml Solution for injection,1,only dose/form/unit language remains after stripping
ml Suspension,1,only dose/form/unit language remains after stripping
ml Suspension for Injection.,1,only dose/form/unit language remains after stripping
ml dispersion for injection,1,only dose/form/unit language remains after stripping
ml emulsion for infusion,1,only dose/form/unit language remains after stripping
ml emulsion for injection or infusion,1,only dose/form/unit language remains after stripping
ml infusion concentrate for solution,1,only dose/form/unit language remains after stripping
ml injeksjonsvæske,1,only dose/form/unit language remains after stripping
ml injektionsvätska lösning,1,only dose/form/unit language remains after stripping
ml liuos,1,only dose/form/unit language remains after stripping
ml oplossing voor injectie en infusie,1,only dose/form/unit language remains after stripping
"ml oral drops, solution.",1,only dose/form/unit language remains after stripping
ml oral lösning,1,only dose/form/unit language remains after stripping
ml oral lösning.,1,only dose/form/unit language remains after stripping
ml poeder voor oplossing voor infusie.,1,only dose/form/unit language remains after stripping
ml poeder voor oplossing voor injectie,1,only dose/form/unit language remains after stripping
ml poudre pour solution injectable,1,only dose/form/unit language remains after stripping
ml poudre pour solution pour perfusion,1,only dose/form/unit language remains after stripping
ml powder for solution for infusion,1,only dose/form/unit language remains after stripping
ml solución inyectable en vial,1,only dose/form/unit language remains after stripping
ml solution for Injection,1,only dose/form/unit language remains after stripping
ml solution for infusion and oral solution,1,only dose/form/unit language remains after stripping
ml solution for injection in a vial,1,only dose/form/unit language remains after stripping
"ml solution for injection, pre-filled syringe",1,only dose/form/unit language remains after stripping
ml solution for injection.,1,only dose/form/unit language remains after stripping
"ml solution injectable, 1 mg",1,only dose/form/unit language remains after stripping
"ml solution injectable, 2 mg",1,only dose/form/unit language remains after stripping
ml suspension for injection,1,only dose/form/unit language remains after stripping
ml suspension for injection in vial.,1,only dose/form/unit language remains after stripping
ml suspensión inyectable.,1,only dose/form/unit language remains after stripping
"ml ögondroppar, suspension",1,only dose/form/unit language remains after stripping
ml διάλυμα για ένεση,1,only dose/form/unit language remains after stripping
ml διάλυμα για ένεση ή έγχυση,1,only dose/form/unit language remains after stripping
ml πόσιμο διάλυμα,1,only dose/form/unit language remains after stripping
ml инжекционен разтвор,1,only dose/form/unit language remains after stripping
ml концентрат за инжекционен и инфузионен разтвор.,1,only dose/form/unit language remains after stripping
ml концентрат за инфузионен разтвор,1,only dose/form/unit language remains after stripping
"ml), solution injectable",1,only dose/form/unit language remains after stripping
"ml), solution injectable (I.V.) en ampoule",1,only dose/form/unit language remains after stripping
"ml), solution à diluer pour perfusion",1,only dose/form/unit language remains after stripping
"ml,",1,only dose/form/unit language remains after stripping
"ml,  oplossing voor injectie",1,only dose/form/unit language remains after stripping
"ml, 0.6ml per vial",1,only dose/form/unit language remains after stripping
"ml, 1 ml per vial",1,only dose/form/unit language remains after stripping
"ml, Injektionslösung, Infusionslösung",1,only dose/form/unit language remains after stripping
"ml, Powder For Oral Suspension",1,only dose/form/unit language remains after stripping
"ml, Solution for infusion",1,only dose/form/unit language remains after stripping
"ml, Suspension for Injection, 5 ml",1,only dose/form/unit language remains after stripping
"ml, concentraat voor oplossing voor infusie.",1,only dose/form/unit language remains after stripping
"ml, concentraat voor oplossing voor injectie",1,only dose/form/unit language remains after stripping
"ml, flacon de 100 ml",1,only dose/form/unit language remains after stripping
"ml, injeksjonsvæske",1,only dose/form/unit language remains after stripping
"ml, injektionsvätska, suspension",1,only dose/form/unit language remains after stripping
"ml, oplossing voor injectie.",1,only dose/form/unit language remains after stripping
"ml, poeder voor oplossing voor infusie",1,only dose/form/unit language remains after stripping
"ml, poeder voor orale suspensie",1,only dose/form/unit language remains after stripping
"ml, poudre pour solution à diluer pour perfusion",1,only dose/form/unit language remains after stripping
"ml, solución inyectable",1,only dose/form/unit language remains after stripping
"ml, solution injectable (IM",1,only dose/form/unit language remains after stripping
"ml, solution injectable (IV)",1,only dose/form/unit language remains after stripping
"ml, solution injectable en ampoule.",1,only dose/form/unit language remains after stripping
"ml, solution injectable ou pour perfusion",1,only dose/form/unit language remains after stripping
"ml, solution pour injection ou perfusion",1,only dose/form/unit language remains after stripping
"ml, solution pour perfusion.",1,only dose/form/unit language remains after stripping
"ml, solution à diluer pour injectable ou perfusion",1,only dose/form/unit language remains after stripping
"ml, suspensie voor injectie",1,only dose/form/unit language remains after stripping
"ml, suspension for injection",1,only dose/form/unit language remains after stripping
"ml, émulsion injectable ou pour perfusion",1,only dose/form/unit language remains after stripping
nd,1,shorter than 3 characters
no,1,shorter than 3 characters
not applicable at this stage,1,"placeholder text, not a substance"
not known,1,"placeholder text, not a substance"
"pour
perfusion",1,only dose/form/unit language remains after stripping
pour perfusion (IM,1,only dose/form/unit language remains after stripping
solution pour perfusion,1,only dose/form/unit language remains after stripping
spray nasal spray suspension,1,only dose/form/unit language remains after stripping
"spray transdermal spray, oppløsning",1,only dose/form/unit language remains after stripping
st,1,shorter than 3 characters
tablet.,1,only dose/form/unit language remains after stripping
tablets,1,only dose/form/unit language remains after stripping
tablets 100mg,1,only dose/form/unit language remains after stripping
v Intravenous Infusion BP,1,only dose/form/unit language remains after stripping
v Intravenous Infusion BP Solution for Infusion.,1,only dose/form/unit language remains after stripping
v Solution for Infusion.,1,only dose/form/unit language remains after stripping
v Solution for Injection,1,only dose/form/unit language remains after stripping
v for injection,1,only dose/form/unit language remains after stripping
"v), BP",1,only dose/form/unit language remains after stripping
"v, oplossing voor infusie",1,only dose/form/unit language remains after stripping
"v, διάλυμα για έγχυση",1,only dose/form/unit language remains after stripping
v.,1,shorter than 3 characters
v. Solution for injection,1,only dose/form/unit language remains after stripping
vial + 240mg,1,only dose/form/unit language remains after stripping
vial Κόνις για πυκνό σκεύασμα για παρασκευή διαλύματος προς έγχυση,1,only dose/form/unit language remains after stripping
vial),1,only dose/form/unit language remains after stripping
"vial, Powder for solution for injection",1,only dose/form/unit language remains after stripping
w Cream,1,only dose/form/unit language remains after stripping
ΔΕΞΤΡΟΖΗ ΕΝΕΣΙΜΟ ΔΙΑΛΥΜΑ,1,only dose/form/unit language remains after stripping
ΥΔΩΡ ΕΝΕΣΙΜΟ,1,only dose/form/unit language remains after stripping
έγχυση,1,only dose/form/unit language remains after stripping
Конвулекс 100 mg,1,only dose/form/unit language remains after stripping
МИГ-400 400 mg филмирани таблетки,1,only dose/form/unit language remains after stripping
НАТРИЕВ ХЛОРИД СОФАРМА 9 mg,1,only dose/form/unit language remains after stripping
Паклитаксел Ебеве 6 mg,1,only dose/form/unit language remains after stripping
ТРИТИКО 150 mg таблетки с удължено освобождаване,1,only dose/form/unit language remains after stripping
ТРИТИКО 75 mg таблетки с удължено освобождаване,1,only dose/form/unit language remains after stripping
инфузионен разтвор,1,only dose/form/unit language remains after stripping
∆1313,1,only dose/form/unit language remains after stripping
Beta-blockers,,"ATC drug class, not a substance"
Antiplatelet,,"ATC drug class, not a substance"
ANTIVIRALS FOR SYSTEMIC USE,,"ATC drug class, not a substance"
UROLOGICALS,,"ATC drug class, not a substance"
Emollients and protectives,,"ATC drug class, not a substance"
A complex,,not a substance name
"Microcrystalline cellulose, Lactose Monohydrate, Magnesium Stearate (non-bovine)",,excipient list; the model judged the lowercase spelling of this same string -1
