raw_sponsor,block_id,n_trials,block_size
Het Nederlands Kanker Instituut-Antoni van Leeuwenhoek Ziekenhuis Stichting,blk_00072,44,24
ISTITUTO NAZIONALE PER LA CURA TUMORI,blk_00073,44,32
Sheffield Teaching Hospitals NHS Foundation Trust,blk_00074,44,13
AIO-Studien-gGmbH,blk_00075,43,6
AZIENDA SANITARIA OSPEDALIERA S. GIOVANNI BATTISTA DI TORINO,blk_00076,43,5
Boehringer Ingelheim RCV GmbH  Co KG,blk_00018,43,40
OSPEDALE POLICLINICO S. MATTEO,blk_00077,43,4
Abbott GmbH  Co. KG,blk_00078,42,19
Actelion Pharmaceuticals Ltd.,blk_00079,42,13
Allergan Limited,blk_00080,42,13
Astellas Pharma Europe B.V.,blk_00081,42,28
Novartis Vaccines and Diagnostics S.r.l.,blk_00001,42,40
Radboudumc,blk_00082,42,6
"Teva Branded Pharmaceutical Products RD, Inc.",blk_00083,42,14
Fundaci Clnic per a la Recerca Biomdica,blk_00084,41,32
Grnenthal GmbH,blk_00085,41,4
NOVARTIS FARMA,blk_00001,41,40
Turku University Hospital,blk_00086,41,13
"Genentech, Inc.",blk_00070,40,9
GlaxoSmithKline Research and Development Limited,blk_00007,40,40
Merz Pharmaceuticals GmbH,blk_00087,40,4
Genzyme Corporation,blk_00088,39,10
Merck Healthcare KGaA,blk_00005,39,40
Sanofi-Aventis Recherche  Dveloppement,blk_00033,39,40
Sun Pharmaceutical Industries Limited,blk_00089,39,23
Universitair Medisch Centrum Utrecht,blk_00029,39,40
Alexion Pharmaceuticals Inc.,blk_00090,38,12
Baxter Innovations GmbH,blk_00091,38,14
HOVON Foundation,blk_00092,38,7
Hospices Civils De Lyon,blk_00039,38,8
AZIENDA OSPEDALIERA POLICLINICO DI MODENA,blk_00020,37,8
European Organisation for Research and Treatment of Cancer,blk_00093,37,29
UNICANCER,blk_00052,37,4
CHU de Clermont-Ferrand,blk_00094,36,12
FONDAZIONE POLICLINICO UNIVERSITARIO AGOSTINO GEMELLI IRCCS UNIVERSITA CATTOLICA DEL SACRO CUORE,blk_00017,36,9
SCS Boehringer Ingelheim Comm. V,blk_00018,36,40
University Medical Center Hamburg-Eppendorf,blk_00095,36,13
Centre for Human Drug Research,blk_00096,35,20
LYSARC,blk_00097,35,2
Maastricht University,blk_00098,35,18
BioMarin Pharmaceutical Inc.,blk_00099,34,6
CSL Behring GmbH,blk_00100,34,4
ISTITUTO GIANNINA GASLINI,blk_00101,34,5
Actelion Pharmaceuticals Ltd,blk_00079,33,13
Argenx,blk_00102,33,4
BioNTech SE,blk_00103,33,3
Boehringer Ingelheim International GmbH / Boehringer Ingelheim Espana S.A.,blk_00018,33,40
Centre Hospitalier Universitaire De Toulouse,blk_00104,33,11
FONDAZIONE CENTRO S. RAFFAELE DEL MONTE TABOR,blk_00051,33,19
Institut Jules Bordet,blk_00105,33,8
UCB Biopharma,blk_00106,33,40
Wyeth Research Division of Wyeth Pharmaceuticals Inc.,blk_00107,33,40
Abbvie Deutschland GmbH & Co. KG,blk_00012,32,18
Leids Universitair Medisch Centrum (LUMC),blk_00108,32,18
Radboud University Medical Center,blk_00061,32,31
Region Hovedstaden,blk_00109,32,5
Vaestra Goetalandsregionen,blk_00110,32,5
CHU de Nantes,blk_00062,31,10
Charit Universittsmedizin Berlin,blk_00068,31,40
ISTITUTI FISIOTERAPICI OSPITALIERI,blk_00111,31,7
Lilly S.A.,blk_00009,31,38
Medical University of Graz,blk_00112,31,40
Medizinische Universitt Wien,blk_00113,31,40
AZIENDA UNIVERSITARIA POLICLINICO UMBERTO I DI ROMA,blk_00114,30,9
IST. DI RICERCHE FARMACOLOG. M. NEGRI,blk_00115,30,7
Pfizer Pharma GmbH,blk_00010,30,40
Seagen Inc.,blk_00116,30,2
UCB Biopharma SRL,blk_00106,30,40
UMC Utrecht,blk_00038,30,30
BeOne Medicines AG,blk_00117,29,6
Centre Hospitalier Universitaire De Nice,blk_00118,29,11
Helsinki University Central Hospital,blk_00119,29,34
"Novartis Farmacutica, S.A.",blk_00001,29,40
OSPEDALE SAN RAFFAELE,blk_00051,29,19
Region Skane,blk_00120,29,5
AZIENDA OSPEDALIERA PISANA,blk_00121,28,4
Bispebjerg Hospital,blk_00122,28,28
Cambridge University Hospitals NHS Foundation Trust,blk_00123,28,28
Centre Hospitalier Regional Universitaire De Tours,blk_00124,28,11
Dr. Willmar Schwabe GmbH  Co. KG,blk_00125,28,4
F. Hoffman-La Roche Ltd.,blk_00126,28,8
Galapagos NV,blk_00127,28,5
Institut De Recherches Internationales Servier IRIS,blk_00027,28,25
Octapharma AG,blk_00128,28,7
Ospedale San Raffaele S.r.l.,blk_00051,28,19
University College Dublin,blk_00129,28,10
Antwerp University Hospital,blk_00130,27,14
GlaxoSmithKline,blk_00007,27,40
Philogen S.p.A.,blk_00131,27,4
Sanofi Pasteur SA,blk_00132,27,17
University Hospitals of Leicester NHS Trust,blk_00133,27,21
ALTANA Pharma AG,blk_00134,26,5
Allergan Ltd.,blk_00080,26,13
Bayer Healthcare AG,blk_00015,26,40
CSL Behring LLC,blk_00100,26,4
Fundacio De Recerca Clinic Barcelona-Institut D’Investigacions Biomediques August Pi I Sunyer,blk_00135,26,11
Ipsen Pharma,blk_00136,26,37
NKI-AVL,blk_00137,26,3
UMCG,blk_00138,26,3
UZLeuven,blk_00022,26,39
Universitaetsklinikum Tuebingen AöR,blk_00139,26,26
Charite Universitaetsmedizin Berlin KöR,blk_00140,25,17
FONDAZIONE ITALIANA LINFOMI ONLUS,blk_00141,25,11
Frankfurter Institut Fuer Klinische Krebsforschung IKF GmbH,blk_00142,25,19
Fundaci Lluita contra la SIDA,blk_00143,25,16
Helse Bergen HF,blk_00047,25,36
IRCCS Istituto Nazionale Tumori Fondazione Pascale,blk_00073,25,32
Imperial College,blk_00144,25,18
Kings College Hospital NHS Foundation Trust,blk_00145,25,20
LUMC,blk_00108,25,18
Laboratorios Normon S.A.,blk_00146,25,2
Merck Sharp  Dohme LLC,blk_00005,25,40
"Millennium Pharmaceuticals, Inc.",blk_00147,25,10
Queen Mary University of London,blk_00148,25,25
Ultragenyx Pharmaceutical Inc.,blk_00149,25,6
University of Edinburgh / NHS Lothian,blk_00150,25,27
AZIENDA OSPEDALIERA SPEDALI CIVILI DI BRESCIA,blk_00151,24,6
Centre Hospitalier Universitaire Amiens Picardie,blk_00152,24,6
Centre Hospitalier Universitaire De Bordeaux,blk_00065,24,9
Centre Leon Berard,blk_00153,24,4
FONDAZIONE IRCCS ISTITUTO NAZIONALE DEI TUMORI,blk_00073,24,32
Fondazione Policlinico Universitario Agostino Gemelli IRCCS,blk_00017,24,9
GBG Forschungs GmbH,blk_00154,24,8
ISTITUTO NAZIONALE PER LO STUDIO E LA CURA DEI TUMORI - FONDAZIONE G. PASCALE,blk_00073,24,32
Pfizer Inc,blk_00010,24,40
Stichting Radboud universitair medisch centrum,blk_00029,24,40
UNIVERSITA CAMPUS BIOMEDICO,blk_00155,24,5
Universittsklinikum Erlangen,blk_00156,24,25
University of Leicester,blk_00133,24,21
AZIENDA OSPEDALIERA SENESE,blk_00157,23,3
AZIENDA OSPEDALIERO-UNIVERSITARIA PISANA,blk_00121,23,4
"Alcon Research, Ltd.",blk_00158,23,16
"Alnylam Pharmaceuticals, Inc.",blk_00159,23,5
Fundacin PETHEMA,blk_00160,23,11
HUS-Yhtymae,blk_00161,23,4
Hpitaux Universitaires de Strasbourg,blk_00162,23,6
Ionis Pharmaceuticals Inc.,blk_00163,23,4
Medizinische Universitt Graz,blk_00112,23,40
Radboud universitair medisch centrum Stichting,blk_00029,23,40
Sanofi-aventis recherche  dveloppement,blk_00033,23,40
Stichting Amsterdam UMC,blk_00042,23,36
Vertex Pharmaceuticals Inc.,blk_00032,23,5
Aalborg University Hospital,blk_00164,22,27
"Alexion Pharmaceuticals, Inc.",blk_00090,22,12
Almirall Hermal GmbH,blk_00165,22,18
Biotest AG,blk_00166,22,2
Centre Hospitalier Universitaire Rouen,blk_00167,22,13
Fondazione IRCCS Istituto Nazionale Dei Tumori,blk_00073,22,32
Genzyme Europe BV,blk_00088,22,10
Helsinn Healthcare SA,blk_00168,22,5
Medizinische Hochschule Hannover,blk_00169,22,11
Schering-Plough Research Institute,blk_00170,22,31
Steno Diabetes Center Copenhagen,blk_00171,22,14
Universitaetsklinikum Heidelberg AöR,blk_00139,22,26
University Hospitals Bristol NHS Foundation Trust,blk_00004,22,25
ViiV Healthcare UK Limited,blk_00172,22,9
Zealand Pharma A/S,blk_00173,22,17
Astellas Pharma Global Development Inc.,blk_00081,21,28
CHU Toulouse,blk_00104,21,11
Centre Hospitalier Universitaire De Dijon,blk_00174,21,9
Eisai Ltd,blk_00050,21,9
GlaxoSmithKline Research  Development,blk_00007,21,40
GlaxoSmithKline S.A.,blk_00007,21,40
"GlaxoSmithKline, S.A.",blk_00007,21,40
Hannover Medical School,blk_00169,21,11
Kings College London / Guys and St Thomas NHS Foundation Trust,blk_00019,21,40
Medica Scientia Innovation Research S.L.,blk_00175,21,11
Taiho Oncology Inc.,blk_00176,21,11
University Of Cologne,blk_00057,21,9
ALK-Abell A/S,blk_00177,20,8
AZIENDA OSPEDALIERA L. SACCO A.O. DI RILIEVO NAZIONALE,blk_00178,20,11
Academisch Ziekenhuis Leiden,blk_00023,20,20
