"register","raw","normalised","n_trials","changed"
"CTIS","Cystic fibrosis","Cystic fibrosis",11,FALSE
"CTIS","Juvenile idiopathic arthritis","Juvenile idiopathic arthritis",11,FALSE
"CTIS","Major depression","Major depression",11,FALSE
"CTIS","Malignant solid tumour","Malignant solid tumour",11,FALSE
"CTIS","Relapsing-remitting multiple sclerosis","Relapsing-remitting multiple sclerosis",11,FALSE
"CTIS","Triple negative breast cancer metastatic","Triple negative breast cancer",11,TRUE
"CTIS","Type 1 diabetes mellitus","Type 1 diabetes mellitus",11,FALSE
"CTIS","Acute lymphoblastic leukemia","Acute lymphoblastic leukaemia",10,TRUE
"CTIS","Atrial fibrillation","Atrial fibrillation",10,FALSE
"CTIS","Chronic rhinosinusitis with nasal polyps","Chronic rhinosinusitis with nasal polyps",10,FALSE
"CTIS","Congenital adrenal hyperplasia","Congenital adrenal hyperplasia",10,FALSE
"CTIS","Focal epilepsy","Focal epilepsy",10,FALSE
"CTIS","HER2 positive breast cancer","Her2 positive breast cancer",10,TRUE
"CTIS","HIV infection","HIV infection",10,FALSE
"CTIS","Heart failure","Heart failure",10,FALSE
"CTIS","Influenza","Influenza",10,FALSE
"CTIS","Kidney transplant rejection","Kidney transplant rejection",10,FALSE
"CTIS","Malignant mast cell tumors unspecified site extranodal and solid organ sites","Malignant mast cell tumour unspecified site extranodal and solid organ sites",10,TRUE
"CTIS","Neoplasms benign malignant and unspecified (incl cysts and polyps) / Neoplasms benign, malignant and unspecified incl cysts and polyps","Neoplasms benign malignant and unspecified (incl cysts and polyps) / Neoplasms benign, malignant and unspecified incl cysts and polyps",10,FALSE
"CTIS","Pancreatic adenocarcinoma metastatic","Pancreatic adenocarcinoma",10,TRUE
"CTIS","Atherosclerotic cardiovascular disease","Atherosclerotic cardiovascular disease",9,FALSE
"CTIS","CLL","CLL",9,FALSE
"CTIS","Classical Hodgkin lymphoma","Classical hodgkin lymphoma",9,TRUE
"CTIS","Eosinophilic asthma","Eosinophilic asthma",9,FALSE
"CTIS","Glioblastoma multiforme","Glioblastoma multiforme",9,FALSE
"CTIS","Head and neck cancer","Head and neck cancer",9,FALSE
"CTIS","Heart failure with reduced ejection fraction","Heart failure with reduced ejection fraction",9,FALSE
"CTIS","Hypercholesterolemia","Hypercholesterolemia",9,FALSE
"CTIS","Myelofibrosis","Myelofibrosis",9,FALSE
"CTIS","Neoplasm malignant","Neoplasm malignant",9,FALSE
"CTIS","Neovascular age-related macular degeneration","Neovascular age-related macular degeneration",9,FALSE
"CTIS","Rectal cancer","Rectal cancer",9,FALSE
"CTIS","Retinitis pigmentosa","Retinitis pigmentosa",9,FALSE
"CTIS","Systemic sclerosis","Systemic sclerosis",9,FALSE
"CTIS","Actinic keratosis","Actinic keratosis",8,FALSE
"CTIS","Acute myeloid leukemia / Myelodysplastic syndrome","Acute myeloid leukaemia / Myelodysplastic syndrome",8,TRUE
"CTIS","Acute pain / Chronic pain","Acute pain / Chronic pain",8,FALSE
"CTIS","Atherosclerosis","Atherosclerosis",8,FALSE
"CTIS","Axial spondyloarthritis","Axial spondyloarthritis",8,FALSE
"CTIS","Cancer","Cancer",8,FALSE
"CTIS","Coronary artery disease","Coronary artery disease",8,FALSE
"CTIS","Diabetic macular edema","Diabetic macular edema",8,FALSE
"CTIS","Giant cell arteritis","Giant cell arteritis",8,FALSE
"CTIS","Glioma","Glioma",8,FALSE
"CTIS","Heart failure with preserved ejection fraction","Heart failure with preserved ejection fraction",8,FALSE
"CTIS","Hepatic impairment","Hepatic impairment",8,FALSE
"CTIS","Hypertriglyceridemia","Hypertriglyceridemia",8,FALSE
"CTIS","Hypertrophic cardiomyopathy","Hypertrophic cardiomyopathy",8,FALSE
"CTIS","Immune system disorders","Immune system disorders",8,FALSE
"CTIS","Ischemic stroke","Ischemic stroke",8,FALSE
"CTIS","Lupus nephritis","Lupus nephritis",8,FALSE
"CTIS","Lymphomas non-Hodgkin's B-cell","Lymphomas non-hodgkin's b-cell",8,TRUE
"CTIS","Malignant melanoma","Malignant melanoma",8,FALSE
"CTIS","Malignant solid tumor / Solid tumor","Malignant solid tumour / Solid tumour",8,TRUE
"CTIS","Myelodysplastic syndromes","Myelodysplastic syndromes",8,FALSE
"CTIS","Myotonic dystrophy","Myotonic dystrophy",8,FALSE
"CTIS","Narcolepsy","Narcolepsy",8,FALSE
"CTIS","Pancreatic cancer metastatic","Pancreatic cancer",8,TRUE
"CTIS","Parkinson's disease / Parkinsons disease","Parkinson's disease / Parkinsons disease",8,FALSE
"CTIS","Primary immune thrombocytopenia","Primary immune thrombocytopenia",8,FALSE
"CTIS","Primary sclerosing cholangitis","Primary sclerosing cholangitis",8,FALSE
"CTIS","Prurigo nodularis","Prurigo nodularis",8,FALSE
"CTIS","Renal and urinary disorders","Renal and urinary disorders",8,FALSE
"CTIS","Sepsis","Sepsis",8,FALSE
"CTIS","Short-bowel syndrome","Short-bowel syndrome",8,FALSE
"CTIS","Uveal melanoma","Uveal melanoma",8,FALSE
"CTIS","Acromegaly","Acromegaly",7,FALSE
"CTIS","Acute coronary syndrome","Acute coronary syndrome",7,FALSE
"CTIS","Acute myeloid leukaemia / Myelodysplastic syndrome","Acute myeloid leukaemia / Myelodysplastic syndrome",7,FALSE
"CTIS","Acute myocardial infarction","Acute myocardial infarction",7,FALSE
"CTIS","Allergic rhinitis due to pollen / Allergic rhinoconjunctivitis","Allergic rhinitis due to pollen / Allergic rhinoconjunctivitis",7,FALSE
"CTIS","Alopecia areata","Alopecia areata",7,FALSE
"CTIS","Chronic inflammatory demyelinating polyneuropathy","Chronic inflammatory demyelinating polyneuropathy",7,FALSE
"CTIS","Colorectal cancer metastatic / Metastatic colorectal cancer","Colorectal cancer",7,TRUE
"CTIS","Disease Crohns","Disease crohns",7,TRUE
"CTIS","Facioscapulohumeral muscular dystrophy","Facioscapulohumeral muscular dystrophy",7,FALSE
"CTIS","Geographic atrophy","Geographic atrophy",7,FALSE
"CTIS","Hormone receptor positive HER2 negative breast cancer","Hormone receptor positive her2 negative breast cancer",7,TRUE
"CTIS","Invasive bladder cancer","Invasive bladder cancer",7,FALSE
"CTIS","Mantle cell lymphoma","Mantle cell lymphoma",7,FALSE
"CTIS","Multiple myeloma / Relapsed/refractory multiple myeloma","Multiple myeloma / Relapsed/refractory multiple myeloma",7,FALSE
"CTIS","Myelodysplastic syndrome","Myelodysplastic syndrome",7,FALSE
"CTIS","Neoplasms benign malignant and unspecified (incl cysts and polyps) / Non-small cell lung cancer","Neoplasms benign malignant and unspecified (incl cysts and polyps) / Non-small cell lung cancer",7,FALSE
"CTIS","Paroxysmal nocturnal hemoglobinuria","Paroxysmal nocturnal hemoglobinuria",7,FALSE
"CTIS","Primary biliary cholangitis","Primary biliary cholangitis",7,FALSE
"CTIS","Small cell lung cancer limited stage","Small cell lung cancer limited stage",7,FALSE
"CTIS","Soft tissue sarcoma","Soft tissue sarcoma",7,FALSE
"CTIS","Thromboembolic event","Thromboembolic event",7,FALSE
"CTIS","Urothelial carcinoma bladder","Urothelial carcinoma bladder",7,FALSE
"CTIS","Acute kidney injury","Acute kidney injury",6,FALSE
"CTIS","Acute lymphoblastic leukaemia","Acute lymphoblastic leukaemia",6,FALSE
"CTIS","Allergic asthma / Allergic rhinoconjunctivitis / House dust mite allergy / Perennial allergic rhinitis","Allergic asthma / Allergic rhinoconjunctivitis / House dust mite allergy / Perennial allergic rhinitis",6,FALSE
"CTIS","Amyloid cardiomyopathy","Amyloid cardiomyopathy",6,FALSE
"CTIS","Amyloidosis","Amyloidosis",6,FALSE
"CTIS","Arthritis rheumatoid","Arthritis rheumatoid",6,FALSE
"CTIS","Breast cancer female","Breast cancer female",6,FALSE
"CTIS","Cardiac disorders","Cardiac disorders",6,FALSE
"CTIS","Cervical cancer","Cervical cancer",6,FALSE
"CTIS","Chronic heart failure","Chronic heart failure",6,FALSE
"CTIS","Chronic migraine","Chronic migraine",6,FALSE
"CTIS","Community acquired pneumonia","Community acquired pneumonia",6,FALSE
"CTIS","Congenital familial and genetic disorders","Congenital familial and genetic disorders",6,FALSE
"CTIS","Dementia Alzheimer's type","Dementia alzheimer's type",6,TRUE
"CTIS","Depression","Depression",6,FALSE
"CTIS","Diffuse large B-cell lymphomas","Diffuse large b-cell lymphomas",6,TRUE
"CTIS","Duchenne muscular dystrophy / Duchenne muscular dystrophy gene carrier","Duchenne muscular dystrophy / Duchenne muscular dystrophy gene carrier",6,FALSE
"CTIS","Endocrine ophthalmopathy / Thyroid eye disease","Endocrine ophthalmopathy / Thyroid eye disease",6,FALSE
"CTIS","Frontotemporal dementia","Frontotemporal dementia",6,FALSE
"CTIS","Glioblastoma / Glioblastoma multiforme","Glioblastoma / Glioblastoma multiforme",6,FALSE
"CTIS","Hematological malignancy","Hematological malignancy",6,FALSE
"CTIS","Hemophilia A","Haemophilia a",6,TRUE
"CTIS","Heterozygous familial hypercholesterolemia","Heterozygous familial hypercholesterolemia",6,FALSE
"CTIS","Hormone-sensitive prostate cancer metastatic","Hormone-sensitive prostate cancer",6,TRUE
"CTIS","Huntington's disease / Huntingtons disease","Huntington's disease / Huntingtons disease",6,FALSE
"CTIS","Lung cancer non-small cell stage IV","Lung cancer non-small cell",6,TRUE
"CTIS","Malignant melanoma stage III / Malignant melanoma stage IV","Malignant melanoma",6,TRUE
"CTIS","Multiple sclerosis relapse","Multiple sclerosis",6,TRUE
"CTIS","Musculoskeletal and connective tissue disorders","Musculoskeletal and connective tissue disorders",6,FALSE
"CTIS","Nephrotic syndrome","Nephrotic syndrome",6,FALSE
"CTIS","Neurodevelopmental disorder","Neurodevelopmental disorder",6,FALSE
"CTIS","Osteogenesis imperfecta","Osteogenesis imperfecta",6,FALSE
"CTIS","Ovarian cancer recurrent","Ovarian cancer",6,TRUE
"CTIS","Pleural mesothelioma malignant","Pleural mesothelioma malignant",6,FALSE
"CTIS","Polymyalgia rheumatica","Polymyalgia rheumatica",6,FALSE
"CTIS","Progressive multiple sclerosis","Progressive multiple sclerosis",6,FALSE
"CTIS","Spinal muscular atrophy","Spinal muscular atrophy",6,FALSE
"CTIS","Acne vulgaris","Acne vulgaris",5,FALSE
"CTIS","Activated PI3 kinase delta syndrome","Activated pi3 kinase delta syndrome",5,TRUE
"CTIS","Acute respiratory distress syndrome","Acute respiratory distress syndrome",5,FALSE
"CTIS","Advanced breast cancer / Metastatic breast cancer","Breast cancer",5,TRUE
"CTIS","Allergic rhinoconjunctivitis","Allergic rhinoconjunctivitis",5,FALSE
"CTIS","Alpha-1 anti-trypsin deficiency","Alpha-1 anti-trypsin deficiency",5,FALSE
"CTIS","Alzheimer's disease / Alzheimers disease","Alzheimer's disease / Alzheimers disease",5,FALSE
"CTIS","Atypical hemolytic uremic syndrome","Atypical hemolytic uremic syndrome",5,FALSE
"CTIS","B-cell non-Hodgkin´s lymphoma / Chronic lymphocytic leukemia","B-cell non-hodgkin´s lymphoma / Chronic lymphocytic leukaemia",5,TRUE
"CTIS","Bacterial infection","Bacterial infection",5,FALSE
"CTIS","Bronchiectasis","Bronchiectasis",5,FALSE
"CTIS","Cardiac amyloidosis","Cardiac amyloidosis",5,FALSE
"CTIS","Cholangiocarcinoma","Cholangiocarcinoma",5,FALSE
"CTIS","Chronic myeloid leukemia","Chronic myeloid leukaemia",5,TRUE
"CTIS","Colon cancer","Colon cancer",5,FALSE
"CTIS","Colorectal adenocarcinoma","Colorectal adenocarcinoma",5,FALSE
"CTIS","Coronavirus infection","Coronavirus infection",5,FALSE
"CTIS","Diabetic foot ulcer","Diabetic foot ulcer",5,FALSE
"CTIS","Diabetic peripheral neuropathic pain","Diabetic peripheral neuropathic pain",5,FALSE
"CTIS","Disease Parkinson's","Disease parkinson's",5,TRUE
"CTIS","Dravet syndrome","Dravet syndrome",5,FALSE
"CTIS","Endometrial cancer","Endometrial cancer",5,FALSE
"CTIS","Eosinophilic esophagitis","Eosinophilic oesophagitis",5,TRUE
"CTIS","Epilepsy","Epilepsy",5,FALSE
"CTIS","Erythropoietic protoporphyria","Erythropoietic protoporphyria",5,FALSE
"CTIS","Estrogen receptor positive breast cancer","Estrogen receptor positive breast cancer",5,FALSE
"CTIS","Female infertility","Female infertility",5,FALSE
"CTIS","Fibrodysplasia ossificans progressiva","Fibrodysplasia ossificans progressiva",5,FALSE
"CTIS","Follicular lymphoma","Follicular lymphoma",5,FALSE
"CTIS","Fungal infection","Fungal infection",5,FALSE
"CTIS","Gastrooesophageal cancer","Gastrooesophageal cancer",5,FALSE
"CTIS","Haemophilia A","Haemophilia a",5,TRUE
"CTIS","Heart failures","Heart failures",5,FALSE
"CTIS","Hepatitis D","Hepatitis d",5,TRUE
"CTIS","Human papilloma virus infection","Human papilloma virus infection",5,FALSE
"CTIS","Hypochondroplasia","Hypochondroplasia",5,FALSE
"CTIS","Infections and infestations","Infections and infestations",5,FALSE
"CTIS","Interstitial lung disease","Interstitial lung disease",5,FALSE
"CTIS","Malignant melanoma stage III","Malignant melanoma",5,TRUE
"CTIS","Mantle cell lymphomas","Mantle cell lymphomas",5,FALSE
"CTIS","Medulloblastoma","Medulloblastoma",5,FALSE
"CTIS","Metachromatic leukodystrophy","Metachromatic leukodystrophy",5,FALSE
"CTIS","Metastatic gastric adenocarcinoma","Gastric adenocarcinoma",5,TRUE
"CTIS","Metastatic renal cell carcinoma","Renal cell carcinoma",5,TRUE
"CTIS","Narcolepsy / Narcolepsy with cataplexy","Narcolepsy / Narcolepsy with cataplexy",5,FALSE
"CTIS","Neuroblastoma","Neuroblastoma",5,FALSE
"CTIS","Neuropathic pain","Neuropathic pain",5,FALSE
"CTIS","Non-small cell lung cancer / Non-small cell lung cancer metastatic","Non-small cell lung cancer",5,TRUE
"CTIS","Plasma cell myeloma","Plasma cell myeloma",5,FALSE
"CTIS","Polycystic kidney autosomal dominant","Polycystic kidney autosomal dominant",5,FALSE
"CTIS","Post-traumatic stress disorder","Post-traumatic stress disorder",5,FALSE
"CTIS","Primary progressive multiple sclerosis","Primary progressive multiple sclerosis",5,FALSE
"CTIS","Prophylaxis against renal transplant rejection","Prophylaxis against renal transplant rejection",5,FALSE
"CTIS","Pulmonary hypertension","Pulmonary hypertension",5,FALSE
"CTIS","Renal cell carcinoma","Renal cell carcinoma",5,FALSE
"CTIS","Septic shock","Septic shock",5,FALSE
"CTIS","Thyroid eye disease","Thyroid eye disease",5,FALSE
"CTIS","Traumatic brain injury","Traumatic brain injury",5,FALSE
"CTIS","Triple negative breast cancer / Triple negative breast cancer metastatic","Triple negative breast cancer",5,TRUE
"CTIS","ARDS","ARDS",4,FALSE
"CTIS","Acute graft versus host disease","Acute graft versus host disease",4,FALSE
"CTIS","Acute myeloid leukemia / Myelodysplastic syndromes","Acute myeloid leukaemia / Myelodysplastic syndromes",4,TRUE
"CTIS","Allergic asthma","Allergic asthma",4,FALSE
"CTIS","Alport's syndrome","Alport's syndrome",4,FALSE
"CTIS","Analgesia","Analgesia",4,FALSE
"CTIS","Anemia / Myelodysplastic syndrome","Anemia / Myelodysplastic syndrome",4,FALSE
"CTIS","Ankle sprain / Ankle sprains and strains / Bruise / Muscle sprain / Muscle sprains / Muscular pain / Muscular pains","Ankle sprain / Ankle sprains and strains / Bruise / Muscle sprain / Muscle sprains / Muscular pain / Muscular pains",4,FALSE
"CTIS","B-cell lymphoma recurrent / B-cell lymphoma refractory","B-cell lymphoma",4,TRUE
"CTIS","Bipolar disorder","Bipolar disorder",4,FALSE
"CTIS","Blood and lymphatic system disorders","Blood and lymphatic system disorders",4,FALSE
"CTIS","Breast cancer metastatic","Breast cancer",4,TRUE
"CTIS","Bronchopulmonary dysplasia","Bronchopulmonary dysplasia",4,FALSE
"CTIS","Carcinoma hepatocellular","Carcinoma hepatocellular",4,FALSE
"CTIS","Carcinoma hepatocellular / Hepatocellular carcinoma","Carcinoma hepatocellular / Hepatocellular carcinoma",4,FALSE
"CTIS","Cardiac arrest","Cardiac arrest",4,FALSE
"CTIS","Cardiogenic shock","Cardiogenic shock",4,FALSE
"CTIS","Celiac disease","Celiac disease",4,FALSE
"CTIS","Chronic inflammatory demyelinating polyradiculoneuropathy","Chronic inflammatory demyelinating polyradiculoneuropathy",4,FALSE
"CTIS","Chronic lymphocytic leukemia / Small cell lymphocytic lymphoma","Chronic lymphocytic leukaemia / Small cell lymphocytic lymphoma",4,TRUE
"CTIS","Chronic myelogenous leukemia","Chronic myelogenous leukaemia",4,TRUE
"CTIS","Chronic pain","Chronic pain",4,FALSE
"CTIS","Clear cell renal cell carcinoma","Clear cell renal cell carcinoma",4,FALSE
"CTIS","Colitis ulcerative / Ulcerative colitis","Colitis ulcerative / Ulcerative colitis",4,FALSE
"CTIS","Colorectal cancer / Colorectal cancer metastatic / Metastatic colorectal cancer","Colorectal cancer",4,TRUE
"CTIS","Crohn´s disease","Crohn´s disease",4,FALSE
"CTIS","Dementia with Lewy bodies","Dementia with lewy bodies",4,TRUE
"CTIS","Dyslipidemia","Dyslipidemia",4,FALSE
"CTIS","Endometriosis","Endometriosis",4,FALSE
"CTIS","Eosinophilic oesophagitis","Eosinophilic oesophagitis",4,FALSE
"CTIS","Esophageal squamous cell carcinoma","Oesophageal squamous cell carcinoma",4,TRUE
"CTIS","Fabry´s disease","Fabry´s disease",4,FALSE
"CTIS","Fabry´s disease / Fabrys disease","Fabry´s disease / Fabrys disease",4,FALSE
"CTIS","Fragile X syndrome","Fragile x syndrome",4,TRUE
"CTIS","Gastroesophageal cancer","Gastrooesophageal cancer",4,TRUE
"CTIS","Gastrointestinal stromal tumour","Gastrointestinal stromal tumour",4,FALSE
"CTIS","HER2 negative breast cancer","Her2 negative breast cancer",4,TRUE
"CTIS","HIV disease","HIV disease",4,FALSE
"CTIS","HIV-1","HIV-1",4,FALSE
"CTIS","Hypereosinophilic syndrome","Hypereosinophilic syndrome",4,FALSE
"CTIS","Hypertension","Hypertension",4,FALSE
"CTIS","Insomnia disorder","Insomnia disorder",4,FALSE
"CTIS","Low back pain","Low back pain",4,FALSE
"CTIS","Lupus erythematosus systemic / Systemic lupus erythematosus","Lupus erythematosus systemic / Systemic lupus erythematosus",4,FALSE
"CTIS","Lymphomas non-Hodgkin's B-cell / Lymphomas non-Hodgkins B-cell","Lymphomas non-hodgkin's b-cell / Lymphomas non-hodgkins b-cell",4,TRUE
"CTIS","Malignant glioma","Malignant glioma",4,FALSE
"CTIS","Membranous nephropathy","Membranous nephropathy",4,FALSE
"CTIS","Multiple myeloma progression","Multiple myeloma progression",4,FALSE
"CTIS","Multiple myeloma progression / Multiple myelomas","Multiple myeloma progression / Multiple myelomas",4,FALSE
"CTIS","Multiple myelomas","Multiple myelomas",4,FALSE
"CTIS","Multiple system atrophy","Multiple system atrophy",4,FALSE
"CTIS","Myocardial infarction","Myocardial infarction",4,FALSE
"CTIS","Neoplasms benign, malignant and unspecified incl cysts and polyps","Neoplasms benign, malignant and unspecified incl cysts and polyps",4,FALSE
