alias_clean,substances_all,n_substances,sources
imcivree,setmelanotide|setmelanotide acetate,2,chembl|epar
imitrex,sumatriptan|sumatriptan succinate,2,chembl
immu-107,clivatuzumab tetraxetan|yttrium y 90 clivatuzumab tetraxetan,2,chembl
immunogam,hepatitis b immune globulin|human hepatitis b immunoglobulin,2,chembl|epar
imuran,azathioprine|azathioprine sodium,2,chembl
imvanex,"modified vaccinia ankara - bavarian nordic (mva-bn) virus|vaccinia virus, live modified",2,chembl|epar
indocin,indomethacin|indomethacin sodium,2,chembl
inno-206,aldoxorubicin|aldoxorubicin hydrochloride,2,chembl
inpremzia,insulin human|insulin human (rdna),2,chembl|epar
inrebic,fedratinib dihydrochloride monohydrate|fedratinib hydrochloride,2,chembl|epar
insulatard,"insulin human|insulin human, isophane",2,chembl|epar
insulin human winthrop,"insulin human|insulin, neutral",2,chembl|epar
insulin zinc injection,"insulin zinc, extended|insulin zinc, prompt",2,chembl
insulin zinc suspension,"insulin zinc, extended|insulin zinc, prompt",2,chembl
intuniv,guanfacine|guanfacine hydrochloride,2,chembl|epar
invirase,saquinavir|saquinavir mesylate,2,chembl|epar
ioa,nomegestrol acetate|nomegestrol acetate|estradiol,2,chembl|epar
ion-957943,fesomersen|fesomersen sodium,2,chembl
iopidine,apraclonidine|apraclonidine hydrochloride,2,chembl
ipi-504,retaspimycin|retaspimycin hydrochloride,2,chembl
ipp 201101,forigerimod|forigerimod acetate,2,chembl
ipreziv,azilsartan kamedoxomil|azilsartan medoxomil,2,chembl|epar
iron dextran,ferric oxyhydroxide|iron dextran,2,chembl
iscover,clopidogrel|clopidogrel bisulfate,2,chembl|epar
isemid,torasemide|torsemide,2,chembl|epar
isentress,raltegravir|raltegravir potassium,2,chembl|epar
isis 304801,volanesorsen|volanesorsen sodium,2,chembl
ivabradine anpharm,ivabradine|ivabradine hydrochloride,2,chembl|epar
ivemend,fosaprepitant|fosaprepitant dimeglumine,2,chembl|epar
ixchiq,"chikungunya virus, live attenuated|chikungunya virus, strain chikv lr2006-opy1, live attenuated",2,chembl|epar
ixiaro,"japanese encephalitis virus, inactivated|japanese-encephalitis virus, inactivated (attenuated strain sa14-14-2 grown in vero cells)",2,chembl|epar
jakafi,ruxolitinib|ruxolitinib phosphate,2,chembl|manual
jakavi,ruxolitinib|ruxolitinib phosphate,2,chembl|epar|manual
januvia,sitagliptin|sitagliptin phosphate,2,chembl|epar
javlor,vinflunine|vinflunine ditartrate,2,chembl|epar
jcovden (previously covid-19 vaccine janssen),adenovirus type 26 encoding sars-cov-2 spike glycoprotein|adenovirus type 26 encoding the sars-cov-2 spike glycoprotein (ad26.cov2-s),2,chembl|epar
jnj-38518168,toreforant|toreforant tartrate,2,chembl
jzp-458,asparaginase erwinia chrysanthemi|crisantaspase,2,chembl
kadcyla,ado-trastuzumab emtansine|trastuzumab|trastuzumab emtansine,3,chembl|epar|manual
kapruvia,difelikefalin|difelikefalin acetate,2,chembl|epar
karenitecin,cositecan|karenitecin,2,chembl
kc8857,tedisamil|tedisamil sesquifumarate,2,chembl
kenacort,triamcinolone|triamcinolone diacetate,2,chembl
kengrexal,cangrelor|cangrelor tetrasodium,2,chembl|epar
ketalar,ketamine|ketamine hydrochloride,2,chembl
kexxtone,monensin (as monensin sodium)|monensin sodium,2,chembl|epar
kinpeygo,"budesonide|budesonide, micronised",2,chembl|epar
kiovig,human immunoglobulin g|human normal immunoglobulin (ivig),2,chembl|epar
kisplyx,lenvatinib|lenvatinib mesilate|lenvatinib mesylate,3,chembl|epar
kisqali,ribociclib|ribociclib succinate,2,chembl|epar|manual
l 86 8275,alvocidib|alvocidib hydrochloride,2,chembl
l19il2,darleukin|l19il2,2,chembl
la-6023,metformin|metformin hydrochloride,2,chembl
laam,levomethadyl acetate|levomethadyl acetate hydrochloride,2,chembl
lamisil,terbinafine|terbinafine hydrochloride,2,chembl
lamisil at,terbinafine|terbinafine hydrochloride,2,chembl
latuda,lurasidone|lurasidone hydrochloride,2,chembl|epar
lazcluze,lazertinib mesilate monohydrate|lazertinib mesylate,2,chembl|epar
ledaga,chlormethine|mechlorethamine,2,chembl|epar
lenalidomide krka d.d.,lenalidomide hydrochloride hydrate|lenalidomide hydrochloride monohydrate,2,chembl|epar
lenomorelin,ghrelin|lenomorelin,2,chembl
lenvima,lenvatinib|lenvatinib mesilate|lenvatinib mesylate,3,chembl|epar|manual
leqvio,inclisiran|inclisiran sodium,2,chembl|epar
leritine,anileridine hydrochloride|anileridine phosphate,2,chembl
leucogen,leucogen|purified p45 felv-envelope antigen,2,chembl|epar
levitra,vardenafil|vardenafil hydrochloride,2,chembl|epar
lipitor,atorvastatin|atorvastatin calcium,2,chembl
litfulo,ritlecitinib tosilate|ritlecitinib tosylate,2,chembl|epar
lixiana,edoxaban tosilate|edoxaban tosylate,2,chembl|epar
lmwd,dextran|dextran 40,2,chembl
locametz,gallium ga 68 gozetotide|gozetotide,2,chembl|epar
lodipressin,amlodipine besilate|amlodipine besylate,2,chembl|epar
lojuxta,lomitapide|lomitapide mesylate,2,chembl|epar
lonsurf,tipiracil|trifluridine|trifluridine|tipiracil hydrochloride,2,epar|manual
lopressor,metoprolol fumarate|metoprolol tartrate,2,chembl
loteprednol,loteprednol|loteprednol etabonate,2,chembl
lu-30-029,gallopamil|methoxyverapamil,2,chembl
lumark,lutetium (177lu) chloride|lutetium chloride lu-177,2,chembl|epar
lupron,leuprolide acetate|leuprorelin,2,chembl|manual
lupuzor,forigerimod|forigerimod acetate,2,chembl
lutathera,lutetium (177lu) oxodotreotide|lutetium oxodotreotide lu-177,2,chembl|epar
lutetium (177lu) chloride billev (previously illuzyce),lutetium (177lu) chloride|lutetium chloride lu-177,2,chembl|epar
lyfnua,gefapixant|gefapixant citrate,2,chembl|epar
lymphoseek,technetium tc 99m tilmanocept|tilmanocept,2,chembl|epar
lytenava,bevacizumab|bevacizumab gamma,2,chembl|epar
m131ibg,iobenguane i 131|iobenguane sulfate i 131,2,chembl
macrilen,macimorelin|macimorelin acetate,2,chembl
macugen,pegaptanib|pegaptanib sodium,2,chembl|epar
masican,masitinib|masitinib mesylate,2,chembl|epar
masivet,masitinib mesilate|masitinib mesylate,2,chembl|epar
masiviera,masitinib|masitinib mesylate,2,chembl|epar
maxalt,rizatriptan|rizatriptan benzoate,2,chembl
maxidex,dexamethasone|dexamethasone sodium phosphate,2,chembl
mayzent,siponimod|siponimod fumaric acid,2,chembl|epar
mdl-107826a,alvocidib|alvocidib hydrochloride,2,chembl
mdx-066,actoxumab|mk-3415,2,chembl
mecobalamin,mecobalamin|methylcobalamin,2,chembl
medi-564,bta-9881|medi-564,2,chembl
medium-chain triglycerides,"medium-chain triglycerides|triglycerides, medium-chain",2,chembl
mekinist,trametinib|trametinib dimethyl sulfoxide,2,chembl|epar
melflufen,melphalan flufenamide|melphalan flufenamide hydrochloride,2,chembl
menquadfi,neisseria meningitidis group c polysaccharide conjugated to tetanus toxoid|neisseria meningitidis group a polysaccharide conjugated to tetanus toxoid|neisseria meningitidis group y polysaccharide conjugated to tetanus toxoid|neisseria meningitidis group w-135 polysaccharide conjugated to tetanus toxoid|neisseria meningitidis polysaccharide conjugated to tetanus toxoid,2,chembl|epar
menthyl anthranilate,mequinol|meradimate,2,chembl
menveo,"meningococcal group a, c, w-135 and y conjugate vaccine|neisseria meningitidis oligosaccharide conjugated to corynebacterium diphtheriae crm197",2,chembl|epar
metafolin,levomefolate calcium|levomefolic acid,2,chembl
methylthioninium chloride proveblue,methylene blue anhydrous|methylthioninium chloride,2,chembl|epar
mirapexin,pramipexole dihydrochloride|pramipexole dihydrochloride monohydrate,2,chembl|epar
mk-4827,niraparib|niraparib tosylate monohydrate,2,chembl
monistat,miconazole|miconazole nitrate,2,chembl
monotard,insulin human|insulin human zinc,2,chembl|epar
moventig,naloxegol|naloxegol oxalate,2,chembl|epar
moxivig,moxifloxacin hydrochloride|moxisylyte,2,chembl
mresvia,respiratory syncytial virus pre-fusion glycoprotein f mrna|single-stranded 5' capped mrna encoding the respiratory syncytial virus glycoprotein f stabilised in the prefusion conformation,2,chembl|epar
msc-1936369b,pimasertib|pimasertib hydrochloride,2,chembl
mt-4129,lorundrostat|lorundrostat hydrobromide,2,chembl
mtp 131,elamipretide|elamipretide hydrochloride,2,chembl
multaq,dronedarone|dronedarone hydrochloride,2,chembl|epar
mvabea,"recombinant modified vaccinia ankara bavarian nordic virus encoding the: ebola virus zaire (zebov) mayinga strain glycoprotein (gp)|ebola virus sudan gulu strain gp|ebola virus taï forest strain nucleoprotein and the marburg virus musoke strain gp|vaccinia virus, modified encoding ebola virus glycoprotein and nucleoprotein",2,chembl|epar
mycamine,micafungin|micafungin sodium,2,chembl|epar
mycograb,efungumab|recombinant human monoclonal antibody to hsp,2,chembl|epar
myocet,doxorubicin|doxorubicin hydrochloride,2,chembl|manual
mysildecard,sildenafil|sildenafil citrate,2,chembl|epar
mysimba,bupropion hydrochloride|bupropion hydrochloride|naltrexone hydrochloride,2,chembl|epar
n-803,inbakicept|nogapendekin alfa,2,chembl
nandrolone,nandrolone|nandrolone cyclotate,2,chembl
navane,thiothixene|thiothixene hydrochloride,2,chembl
navelbine,vinorelbine|vinorelbine tartrate,2,chembl|manual
nbi-98854,valbenazine|valbenazine tosylate,2,chembl
nebcin,tobramycin|tobramycin sulfate,2,chembl
nembutal,pentobarbital|pentobarbital sodium,2,chembl
nemdatine,memantine|memantine hydrochloride,2,chembl|epar
neoatricon,dopamine hydrochloride|dopamine hydrochloride|dopamine,2,chembl|epar
neofordex,dexamethasone|dexamethasone acetate,2,chembl|epar
nerlynx,neratinib|neratinib maleate,2,chembl|epar
nestorone,segesterone|segesterone acetate,2,chembl
neuraceq,florbetaben (18f)|florbetaben f18,2,chembl|epar
neurobloc,botulinum toxin type b|rimabotulinumtoxinb,2,chembl|epar
nexavar,sorafenib|sorafenib tosylate,2,chembl|epar|manual
nexium control,esomeprazole|esomeprazole magnesium,2,chembl|epar
nexobrid,proteolytic enzymes enriched in bromelain|stem bromelain,2,chembl|epar
nih-11008,dexmecamylamine|dexmecamylamine hydrochloride,2,chembl
nimbex,cisatracurium|cisatracurium besylate,2,chembl
nimenrix,neisseria meningitidis group a polysaccharide conjugated to tetanus toxoid|neisseria meningitidis group c polysaccharide conjugated to tetanus toxoid|neisseria meningitidis group w-135 polysaccharide conjugated to tetanus toxoid|neisseria meningitidis group y polysaccharide conjugated to tetanus toxoid|neisseria meningitidis polysaccharide conjugated to tetanus toxoid,2,chembl|epar
nimvastid,rivastigmine|rivastigmine tartrate,2,chembl|epar
ninlaro,ixazomib|ixazomib citrate,2,chembl|epar|manual
nintedanib accord,nintedanib|nintedanib esylate,2,chembl|epar
nodetrip (previously xeristar),duloxetine|duloxetine hydrochloride,2,chembl|epar
nonafact,coagulation factor ix human|human coagulation factor ix,2,chembl|epar
norvasc,amlodipine|amlodipine besylate,2,chembl
nsc-751452,dextromethorphan|dextromethorphan polistirex,2,chembl
nsc-758421,paromomycin sulfate|penicillamine,2,chembl
nuedexta,dextromethorphan hydrobromide|dextromethorphan|quinidine,2,chembl|epar
nulibry,fosdenopterin hydrobromide|fosdenopterin hydrobromide dihydrate,2,chembl|epar
nutrifolin,levomefolate calcium|levomefolic acid,2,chembl
nuvaxovid,sars cov-2 (original) recombinant spike protein|sars-cov-2 (omicron xbb.1.5) recombinant spike protein|sars-cov-2 virus spike protein,2,chembl|epar
nx-1207,fexapotide|fexapotide triflutate,2,chembl
nxl-104,avibactam|avibactam sodium,2,chembl
nyxthracis (previously obiltoxaximab sfl),nyxthracis|obiltoxaximab,2,chembl|epar
oblimersen,oblimersen|oblimersen sodium,2,chembl
odomzo,sonidegib|sonidegib diphosphate|sonidegib phosphate,3,chembl|epar|manual
ofev,nintedanib|nintedanib esylate,2,chembl|epar
olysio,simeprevir|simeprevir sodium,2,chembl|epar
omontys,peginesatide|peginesatide acetate,2,chembl|epar
oncovin,vincristine|vincristine sulfate,2,chembl|manual
oneness,centella asiatica extract|plectranthus amboinicus extract,2,chembl
onglyza,saxagliptin|saxagliptin hydrochloride,2,chembl|epar
opatanol,olopatadine|olopatadine hydrochloride,2,chembl|epar
oprymea,pramipexole dihydrochloride|pramipexole dihydrochloride monohydrate,2,chembl|epar
orlaam,levacetylmethadol|levomethadyl acetate|levomethadyl acetate hydrochloride,3,chembl|epar
orladeyo,berotralstat dihydrochloride|berotralstat hydrochloride,2,chembl|epar
orserdu,elacestrant|elacestrant hydrochloride,2,chembl|epar
oxervate,cenegermin|recombinant human nerve growth factor,2,chembl|epar
ozawade,pitolisant|pitolisant hydrochloride,2,chembl|epar
palonosetron accord,palonosetron|palonosetron hydrochloride,2,chembl|epar
pandemic influenza vaccine h5n1 astrazeneca (previously pandemic influenza vaccine h5n1 medimmune),"influenza a virus, live attenuated|reassortant influenza virus (live attenuated) of the following strain: a|vietnam|1203|2004 (h5n1) strain",2,chembl|epar
pandemic influenza vaccine h5n1 baxter ag,"influenza a virus, inactivated whole virion|influenza vaccine (whole virion, inactivated) containing antigen of: a|vietnam|1203|2004 (h5n1)",2,chembl|epar
pandemrix,"influenza a virus, split virion|split influenza virus inactivated, containing antigen equivalent to a|california|07|2009 (h1n1)-derived strain used nymc x-179a",2,chembl|epar
panmycin,tetracycline|tetracycline hydrochloride,2,chembl
pantecta control,pantoprazole|pantoprazole sodium,2,chembl|epar
pantoloc control,pantoprazole|pantoprazole sodium,2,chembl|epar
pantozol control,pantoprazole|pantoprazole sodium,2,chembl|epar
parareg,cinacalcet|cinacalcet hydrochloride,2,chembl|epar
parlodel,bromocriptine|bromocriptine mesylate,2,chembl
patrex,sildenafil|sildenafil citrate,2,chembl|epar
pazzul,eslicarbazepine|eslicarbazepine acetate,2,chembl
pecfent,fentanyl|fentanyl citrate,2,chembl|epar
pemetrexed baxter,pemetrexed disodium|pemetrexed disodium heptahydrate,2,chembl|epar
pemetrexed fresenius kabi,pemetrexed|pemetrexed monohydrate,2,chembl|epar
pemetrexed krka,pemetrexed disodium|pemetrexed disodium hemipentahydrate,2,chembl|epar
pemetrexed lilly,pemetrexed|pemetrexed disodium,2,chembl|epar
pemetrexed medac,pemetrexed|pemetrexed disodium hemipentahydrate,2,chembl|epar
pemetrexed pfizer (previously pemetrexed hospira),pemetrexed disodium hemipentahydrate|pemetrexed disodium|pemetrexed disodium hemipentahydrate,2,chembl|epar
pemetrexed sandoz,pemetrexed disodium|pemetrexed disodium hemipentahydrate,2,chembl|epar
pentacarinat,pentamidine|pentamidine isethionate,2,chembl
percorten,desoxycorticosterone acetate|desoxycorticosterone pivalate,2,chembl
persicabtagen lemgedleucel,peluntamig|persicabtagene lemgedleucel,2,chembl
pf-3512676,agatolimod|agatolimod sodium,2,chembl
phospholipids egg,lecithin|phosphatidylcholine,2,chembl
plavix,clopidogrel bisulfate|clopidogrel hydrogen sulfate,2,chembl|epar
pluvicto,lutetium (177lu) vipivotide tetraxetan|lutetium lu-177 vipivotide tetraxetan,2,chembl|epar
pmx30063,brilacidin|brilacidin tetrahydrochloride,2,chembl
posiphen,buntanetap|buntanetap tartrate,2,chembl
posluma,flotufolastat f 18|flotufolastat f-18 gallium,2,chembl
potactasol,topotecan|topotecan hydrochloride,2,chembl|epar
pradaxa,dabigatran etexilate|dabigatran etexilate mesilate|dabigatran etexilate mesylate,3,chembl|epar
pramipexole accord,pramipexole dihydrochloride|pramipexole dihydrochloride monohydrate,2,chembl|epar
pramipexole teva,pramipexole dihydrochloride|pramipexole dihydrochloride monohydrate,2,chembl|epar
prasugrel viatris (previously prasugrel mylan),prasugrel besilate|prasugrel besylate,2,chembl|epar
pregnenolone,pregnenolone|pregnenolone succinate,2,chembl
prehevbri,hepatitis b surface antigen|hepatitis b virus hbsag surface protein antigen,2,chembl|epar
preotact,parathyroid hormone|parathyroid hormone (rdna),2,chembl|epar
"prepandemic influenza vaccine (h5n1) (split virion, inactivated, adjuvanted) glaxosmithkline biologicals","influenza a virus, split virion|split influenza virus, inactivated, containing antigen: a|vietnam|1194|2004 (h5n1) like strain used (nibrg-14)",2,chembl|epar
prepandrix,"a|indonesia|05|2005 (h5n1) like strain used (pr8-ibcdc-rg2)|influenza a virus, split virion",2,chembl|epar
prevenar,pneumococcal oligosaccharide serotype 18c|pneumococcal polysaccharide serotype 19f|pneumococcal polysaccharide serotype 23f|pneumococcal polysaccharide serotype 4|pneumococcal polysaccharide serotype 6b|pneumococcal polysaccharide serotype 9v|pneumococcal polysaccharide serotype 14|streptococcus pneumoniae polysaccharide conjugated to corynebacterium diphtheriae crm197,2,chembl|epar
prevenar 13,pneumococcal polysaccharide serotype 1|pneumococcal polysaccharide serotype 3|pneumococcal polysaccharide serotype 4|pneumococcal polysaccharide serotype 5|pneumococcal polysaccharide serotype 6a|pneumococcal polysaccharide serotype 6b|pneumococcal polysaccharide serotype 7f|pneumococcal polysaccharide serotype 9v|pneumococcal polysaccharide serotype 14|pneumococcal polysaccharide serotype 18c|pneumococcal polysaccharide serotype 19a|pneumococcal polysaccharide serotype 19f|pneumococcal polysaccharide serotype 23f|streptococcus pneumoniae polysaccharide conjugated to corynebacterium diphtheriae crm197,2,chembl|epar
prevenar 20 (previously apexxnar),pneumococcal polysaccharide serotype 1|pneumococcal polysaccharide serotype 3|pneumococcal polysaccharide serotype 4|pneumococcal polysaccharide serotype 5|pneumococcal polysaccharide serotype 6a|pneumococcal polysaccharide serotype 6b|pneumococcal polysaccharide serotype 7f|pneumococcal polysaccharide serotype 8|pneumococcal polysaccharide serotype 9v|pneumococcal polysaccharide serotype 10a|pneumococcal polysaccharide serotype 11a|pneumococcal polysaccharide serotype 12f|pneumococcal polysaccharide serotype 14|pneumococcal polysaccharide serotype 15b|pneumococcal polysaccharide serotype 18c|pneumococcal polysaccharide serotype 19a|pneumococcal polysaccharide serotype 19f|pneumococcal polysaccharide serotype 22f|pneumococcal polysaccharide serotype 23f|pneumococcal polysaccharide serotype 33f|streptococcus pneumoniae polysaccharide conjugated to corynebacterium diphtheriae crm197,2,chembl|epar
prezista,darunavir|darunavir ethanolate,2,chembl|epar
prialt,ziconotide|ziconotide acetate,2,chembl|epar
prilosec,omeprazole|omeprazole magnesium,2,chembl
privigen,human immunoglobulin g|human normal immunoglobulin (ivig),2,chembl|epar
procomvax,hepatitis b virus hbsag surface protein antigen|polyribosylribitol phosphate from haemophilus influenzae type b as prp-ompc|outer membrane protein complex of neisseria meningitidis (outer membrane protein complex of the b11 strain of neisseria meningitidis subgroup b)|adsorbed hepatitis b surface antigen produced in recombinant yeast cells (saccharomyces cerevisiae),2,chembl|epar
procysbi,cysteamine bitartrate|mercaptamine bitartrate,2,chembl|epar
prometax,rivastigmine|rivastigmine tartrate,2,chembl|epar
protaphane,"insulin human|insulin human, isophane",2,chembl|epar
proventil,albuterol|albuterol sulfate,2,chembl
proxinium,h11 scfv|oportuzumab monatox,2,chembl
prozinc,"insulin human|insulin, protamine zinc",2,chembl|epar
pt-100,talabostat|talabostat mesylate,2,chembl
pt-141,bremelanotide|bremelanotide acetate,2,chembl
pti-6d2,pti-6d2|pti-6d2 188re,2,chembl
ptk 0796,omadacycline|omadacycline tosylate,2,chembl
pumarix,"influenza a virus, split virion|pandemic influenza vaccine (h5n1) (split virion, inactivated, adjuvanted)",2,chembl|epar
pylclari,piflufolastat (18f)|piflufolastat f18,2,chembl|epar
pylobactell,urea (13c)|urea c 13,2,chembl|epar
pylori-chek,urea (13c)|urea c 13,2,chembl|epar
qdenga,"dengue virus, live attenuated|dengue virus, serotype 2, expressing dengue virus, serotype 1, surface proteins, live, attenuated|dengue virus, serotype 2, expressing dengue virus, serotype 3, surface proteins, live, attenuated|dengue virus, serotype 2, expressing dengue virus, serotype 4, surface proteins, live, attenuated|dengue virus, serotype 2, live, attenuated",2,chembl|epar
qsiva,phentermine|phentermine|topiramate,2,chembl|epar
quadramet,samarium (153sm) lexidronam pentasodium|samarium sm 153 lexidronam pentasodium,2,chembl|epar
raplixa,"fibrinogen, human|human fibrinogen|human thrombin",2,chembl|epar
rasagiline ratiopharm,rasagiline|rasagiline mesylate,2,chembl|epar
rasilez,aliskiren|aliskiren fumarate,2,chembl|epar
reagila,cariprazine|cariprazine hydrochloride,2,chembl|epar
rebif,interferon beta|interferon beta-1a,2,chembl|epar
reboxetine,esreboxetine|reboxetine,2,chembl
recentin,cediranib|cediranib maleate,2,chembl
reconcile,fluoxetine|fluoxetine hydrochloride,2,chembl|epar
relpax,eletriptan|eletriptan hydrobromide,2,chembl
relvar ellipta,fluticasone furoate|fluticasone furoate|vilanterol,2,chembl|epar
renagel,sevelamer|sevelamer hydrochloride,2,chembl|epar
resolor,prucalopride|prucalopride succinate,2,chembl|epar
respreeza,.alpha.1-proteinase inhibitor human|human alpha1-proteinase inhibitor,2,chembl|epar
revatio,sildenafil|sildenafil citrate,2,chembl|epar
revolade,eltrombopag|eltrombopag olamine,2,chembl|epar
reyataz,atazanavir|atazanavir (as sulfate)|atazanavir sulfate,3,chembl|epar
rezolsta,darunavir ethanolate|darunavir|cobicistat,2,chembl|epar
rezurock,belumosudil mesilate|belumosudil mesylate,2,chembl|epar
rezzayo,rezafungin|rezafungin acetate,2,chembl|epar
rg-7594,mint-1526a|rg-7594,2,chembl
rhokiinsa,netarsudil|netarsudil dimesylate,2,chembl|epar
rhucin,conestat alfa|recombinant human c1-inhibitor,2,chembl|epar
rifamycin,rifamycin|rifamycin sodium,2,chembl
rinvoq,upadacitinib|upadacitinib hemihydrate,2,chembl|epar
riprazo,aliskiren|aliskiren fumarate,2,chembl|epar
ristaben,sitagliptin|sitagliptin phosphate,2,chembl|epar
rivastigmine 1 a pharma,rivastigmine|rivastigmine tartrate,2,chembl|epar
rivastigmine actavis,rivastigmine hydrogen tartrate|rivastigmine tartrate,2,chembl|epar
rivastigmine hexal,rivastigmine|rivastigmine tartrate,2,chembl|epar
rivastigmine sandoz,rivastigmine|rivastigmine tartrate,2,chembl|epar
rivastigmine teva,rivastigmine|rivastigmine tartrate,2,chembl|epar
rixubis,coagulation factor ix recombinant human|nonacog gamma,2,chembl|epar
rizmoic,naldemedine tosilate|naldemedine tosylate,2,chembl|epar
rotarix,"human rotavirus, live attenuated|rotavirus, live attenuated",2,chembl|epar
rotashield,"rotavirus serotype 1 reassortant, rotavirus serotype 2 reassortant, rotavirus serotype 3 rhesus, rotavirus serotype 4 reassortant|rotavirus, live attenuated",2,chembl|epar
rotateq,"rotavirus serotype g1|rotavirus serotype g2|rotavirus serotype g3|rotavirus serotype g4|rotavirus serotype p1|rotavirus, live",2,chembl|epar
roteas,edoxaban tosilate|edoxaban tosylate,2,chembl|epar
rti-150,abobotulinumtoxina|botulinum toxin type a|daxibotulinumtoxina|incobotulinumtoxina|onabotulinumtoxina,5,chembl
rti150,abobotulinumtoxina|botulinum toxin type a|daxibotulinumtoxina|incobotulinumtoxina|onabotulinumtoxina,5,chembl
rubraca,rucaparib|rucaparib camsylate,2,chembl|epar|manual
ruconest,conestat alfa|recombinant human c1-inhibitor,2,chembl|epar
rukobia,fostemsavir trometamol|fostemsavir tromethamine,2,chembl|epar
rx 31,elamipretide|elamipretide hydrochloride,2,chembl
rx-3341,delafloxacin|delafloxacin meglumine,2,chembl
rytelo,imetelstat|imetelstat sodium,2,chembl|epar
sanfetrinem,sanfetrinem|sanfetrinem cilexetil,2,chembl
satumomab,indium in 111 satumomab pendetide|satumomab,2,chembl
scemblix,asciminib|asciminib hydrochloride,2,chembl|epar|manual
scenesse,afamelanotide|afamelanotide acetate,2,chembl|epar
selincro,nalmefene|nalmefene hydrochloride dihydrate,2,chembl|epar
seroquel,quetiapine|quetiapine fumarate,2,chembl
shingrix,recombinant varicella zoster virus glycoprotein e|varicella zoster virus envelope glycoprotein e,2,chembl|epar
sifrol,pramipexole dihydrochloride|pramipexole dihydrochloride monohydrate,2,chembl|epar
signifor,pasireotide|pasireotide diaspartate,2,chembl|epar
siklos,hydroxycarbamide|hydroxyurea,2,chembl|epar
sildenafil actavis,sildenafil|sildenafil citrate,2,chembl|epar
sildenafil ratiopharm,sildenafil|sildenafil citrate,2,chembl|epar
sildenafil teva,sildenafil|sildenafil citrate,2,chembl|epar
silgard,"human papillomavirus type 6 l1 protein|human papillomavirus type 11 l1 protein|human papillomavirus type 16 l1 protein|human papillomavirus type 18 l1 protein|human papillomavirus, l1 protein virus like particles",2,chembl|epar
sinequan,doxepin|doxepin hydrochloride,2,chembl
singulair,montelukast|montelukast sodium,2,chembl
sitagliptin accord,sitagliptin hydrochloride|sitagliptin hydrochloride monohydrate,2,chembl|epar
sivextro,tedizolid|tedizolid phosphate,2,chembl|epar
skelid,tiludronate disodium|tiludronic acid,2,chembl
solriamfetol,solriamfetol|solriamfetol hydrochloride,2,chembl
somac control,pantoprazole|pantoprazole sodium,2,chembl|epar
somakit toc,edotreotide|edotreotide gallium ga-68,2,chembl|epar
sonovue,sulfur hexafluoride|sulphur hexafluoride,2,chembl|epar
sorafenib accord,sorafenib tosilate|sorafenib tosylate,2,chembl|epar
sp-304,pirnabine|plecanatide,2,chembl
spebrutinib,spebrutinib|spebrutinib besylate,2,chembl
spikevax (previously covid-19 vaccine moderna),"elasomeran|single-stranded, 5'-capped messenger rna (mrna) produced using a cell-free in vitro transcription from the corresponding dna templates, encoding the viral spike (s) protein of sars-cov-2",2,chembl|epar
spl 7013,astodrimer|astodrimer sodium,2,chembl
spl-7013,astodrimer|astodrimer sodium,2,chembl
spl7013,astodrimer|astodrimer sodium,2,chembl
spp100,aliskiren|aliskiren fumarate,2,chembl
sprimeo,aliskiren|aliskiren fumarate,2,chembl|epar
ss 31,elamipretide|elamipretide hydrochloride,2,chembl
stayveer,bosentan|bosentan (as monohydrate),2,chembl|epar
stedesa,eslicarbazepine|eslicarbazepine acetate,2,chembl
steglatro,ertugliflozin l-pyroglutamic acid|ertugliflozin pidolate,2,chembl|epar
stelazine,trifluoperazine|trifluoperazine hydrochloride,2,chembl
sterane,prednisolone|prednisolone acetate,2,chembl
striascan,ioflupane (123l)|ioflupane i 123,2,chembl|epar
strimvelis,autologous cd34+ enriched cell fraction that contains cd34+ cells transduced with retroviral vector that encodes for the human ada cdna sequence|autologous cd34+ enriched cell fraction that contains cd34+ cells transduced with retroviral vector that encodes for the human adenosine deaminase (ada) cdna sequence from human haematopoietic stem|progenitor (cd34+) cells,2,chembl|epar
striverdi respimat,olodaterol|olodaterol hydrochloride,2,chembl
suboxone,buprenorphine|buprenorphine|naloxone,2,chembl|epar
sulfamylon,mafenide|mafenide acetate,2,chembl
surfaxin,lucinactant|sinapultide|dipalmitoylphosphatidylcholine|palmitoyl-oleoyl phosphatidylglycerol|palmitic acid,2,chembl|epar
sutent,sunitinib|sunitinib malate,2,chembl|epar|manual
sycrest,asenapine|asenapine maleate,2,chembl|epar
syr-472,trelagliptin|trelagliptin succinate,2,chembl
t2g1s,biciromab|biciromab brallobarbital,2,chembl
tabrecta,capmatinib dihydrochloride monohydrate|capmatinib hydrochloride,2,chembl|epar
tacaryl,methdilazine|methdilazine hydrochloride,2,chembl
tacforius,tacrolimus|tacrolimus monohydrate,2,chembl|epar
tafinlar,dabrafenib|dabrafenib mesilate|dabrafenib mesylate,3,chembl|epar
tagamet,cimetidine|cimetidine hydrochloride,2,chembl
tagrisso,osimertinib|osimertinib mesilate|osimertinib mesylate,3,chembl|epar|manual
tak-438,vonoprazan|vonoprazan fumarate,2,chembl
tak-491,azilsartan kamedoxomil|azilsartan medoxomil,2,chembl
tak-652,cenicriviroc|cenicriviroc mesylate,2,chembl
talzenna,talazoparib|talazoparib tosylate,2,chembl|epar|manual
tamiflu,oseltamivir|oseltamivir phosphate,2,chembl|epar
