brand_name_clean,substance_clean
diclazuril,diclazuril
diclofenac,diclofenac
diclofenac etalhyaluronate,diclofenac etalhyaluronate
diclofenac potassium,diclofenac potassium
diclofenac sodium,diclofenac sodium
diclofenac sodium component of arthrotec,diclofenac sodium
dicloflex,diclofenac sodium
dicloflex ret,diclofenac sodium
dicloflex sr,diclofenac sodium
diclomax ret,diclofenac sodium
diclomax sr,diclofenac sodium
dicloralurea,dicloralurea
diclotard 100 mr,diclofenac sodium
diclotard 75 mr,diclofenac sodium
diclovol,diclofenac sodium
diclovol ret,diclofenac sodium
diclovol sr,diclofenac sodium
dicloxacillin,dicloxacillin
dicloxacillin sodium,dicloxacillin sodium
diclozip 25,diclofenac sodium
diclozip 50,diclofenac sodium
dicodid,hydrocodone bitartrate
dicumarol,dicumarol
dicural,difloxacin
dicyclomine hydrochloride,dicyclomine hydrochloride
dicyclomine hydrochloride (preservative free),dicyclomine hydrochloride
dicyclomine hydrochloride (preservative-free),dicyclomine hydrochloride
dicynene,ethamsylate
dicynene 1000,ethamsylate
dicynone,ethamsylate
didanosine,didanosine
didrex,benzphetamine hydrochloride
didronel,etidronate disodium
didronel iv,etidronate disodium
didronel pmo,etidronate disodium
dienestrol,dienestrol
dienogest,dienogest
dienogest component of natazia,dienogest
diergo,dihydroergotamine mesylate
dietade dietary foods,fructose
diethazine,diethazine
diethylpropion hydrochloride,diethylpropion hydrochloride
diethylstilbestrol,diethylstilbestrol
difamilast,difamilast
difelikefalin,difelikefalin
difenidol,diphenidol
difenor xl,diclofenac sodium
difenoxin,difenoxin
difenoxin hydrochloride component of motofen,difenoxin hydrochloride
differin,adapalene
difflam,benzydamine hydrochloride
difflam-p,benzydamine hydrochloride
diffu-k,potassium chloride
diffundox,tamsulosin hydrochloride
diffusin,hyaluronidase (ovine)
dificid,fidaxomicin
dificlir,fidaxomicin
difil,diethylcarbamazine citrate
diflorasone,diflorasone diacetate
diflorasone diacetate,diflorasone diacetate
diflucan,fluconazole
diflucan one,fluconazole
diflucortolone,diflucortolone
diflumidone,diflumidone
diflunisal,diflunisal
difluprednate,difluprednate
diftalone,diftalone
digamex,digoxin
digenac xl 100,diclofenac sodium
digifortis,digitalis
digiglusin,digitalis
digimerck,digitoxin
digoxin,digoxin
digoxin pediatric,digoxin
dihydergot,dihydroergotamine mesylate
dihydral,dihydrotachysterol
dihydralazine,dihydralazine
dihydrocholesterol,cholecalciferol
dihydrocodeine bitartrate component of dhc plus,dihydrocodeine bitartrate
dihydrocodeine bitartrate component of synalgos-dc,dihydrocodeine bitartrate
dihydrocodeine bitartrate component of synalgos-dc-a,dihydrocodeine bitartrate
dihydrocodeine bitartrate component of trezix,dihydrocodeine bitartrate
dihydroergotamine,dihydroergotamine
dihydroergotamine mesylate,dihydroergotamine mesylate
dihydroergotamine mesylate component of embolex,dihydroergotamine mesylate
dihydroxyvitamin d 3,calcitriol
diiodohydroxyquinoline,iodoquinol
dilabid,phenytoin
dilabil,dehydrocholic acid
dilacor,diltiazem hydrochloride
dilacor xr,diltiazem hydrochloride
dilacort,prednisolone
dilantin,phenytoin
dilantin-125,phenytoin
dilantin-30,phenytoin
dilanubicel,dilanubicel
dilatrate,isosorbide dinitrate
dilatrate-sr,isosorbide dinitrate
dilaudid,hydromorphone hydrochloride
dilaudid-hp,hydromorphone hydrochloride
dilcardia sr,diltiazem hydrochloride
dilcardia xl,diltiazem hydrochloride
dilevalol,dilevalol
dilevalol hydrochloride,dilevalol hydrochloride
dilmapimod,dilmapimod
dilor,dyphylline
dilor-400,dyphylline
dilpacimab,dilpacimab
dilt-cd,diltiazem hydrochloride
diltiazem,diltiazem
diltiazem hydrochloride,diltiazem hydrochloride
diltiazem hydrochloride in dextrose 5%,diltiazem hydrochloride
diltiazem malate,diltiazem malate
diltiazem malate component of teczem,diltiazem malate
diltzac,diltiazem hydrochloride
dilzem sr 120,diltiazem hydrochloride
dilzem sr 60,diltiazem hydrochloride
dilzem sr 90,diltiazem hydrochloride
dilzem xl 120,diltiazem hydrochloride
dilzem xl 180,diltiazem hydrochloride
dilzem xl 240,diltiazem hydrochloride
dimefadane,dimefadane
dimefline,dimefline
dimegan,brompheniramine maleate
dimelor,acetohexamide
dimenhydrinate,dimenhydrinate
dimetane,brompheniramine maleate
dimetane-ten,brompheniramine maleate
dimethadione,dimethadione
dimethicone,dimethicone
dimethicone component of simethicone,dimethicone
dimethindene maleate,dimethindene maleate
dimethisterone,dimethisterone
dimethoxanate,dimethoxanate
dimethyl fumarate,dimethyl fumarate
dimethyl fumarate accord,dimethyl fumarate
dimethyl fumarate mylan,dimethyl fumarate
dimethyl fumarate neuraxpharm,dimethyl fumarate
dimethyl fumarate polpharma,dimethyl fumarate
dimethyl fumarate teva,dimethyl fumarate
dimethyl sulfoxide,dimethyl sulfoxide
dimeticone,dimethicone
dimetindene,dimethindene
dimetotiazine,fonazine
dimetriose,gestrinone
dimherity,dimethyl fumarate
dimotane,brompheniramine maleate
dimotane l.a.,brompheniramine maleate
dimotane plus,pseudoephedrine hydrochloride
dimotane plus l.a.,pseudoephedrine hydrochloride
dimotapp,phenylpropanolamine hydrochloride
dimotapp l.a.,phenylpropanolamine hydrochloride
dimyril,isoaminile
dimyristoyl lecithin component of imagent,dimyristoyl lecithin
dinaciclib,dinaciclib
dindevan,phenindione
dinnefords,choline salicylate
dinoprost,dinoprost
dinoprost trometamol,dinoprost tromethamine
dinoprost tromethamine,dinoprost tromethamine
dinoprostone,dinoprostone
dinsed,dinsed
dinutuximab,dinutuximab
diocalm,loperamide hydrochloride
diocaps,loperamide hydrochloride
dioctyl,docusate sodium
dioderm,hydrocortisone
dionosil aqueous,propyliodone
dionosil oily,propyliodone
dioraleze,loperamide hydrochloride
diosmol,mannitol
diosvein,hesperidin
diovan,valsartan
diovenor,diosmin
dioxybenzone,dioxybenzone
dipentum,olsalazine sodium
diphen,diphenhydramine hydrochloride
diphenhydramine hydrochloride,diphenhydramine hydrochloride
diphenhydramine hydrochloride component of benylin,diphenhydramine hydrochloride
diphenhydramine hydrochloride preservative free,diphenhydramine hydrochloride
diphenidol,diphenidol
diphenidol hydrochloride,diphenidol hydrochloride
diphenoxylate hydrochloride component of colonaid,diphenoxylate hydrochloride
diphenoxylate hydrochloride component of di-atro,diphenoxylate hydrochloride
diphenoxylate hydrochloride component of lo-trol,diphenoxylate hydrochloride
diphenoxylate hydrochloride component of logen,diphenoxylate hydrochloride
diphenoxylate hydrochloride component of lomanate,diphenoxylate hydrochloride
diphenoxylate hydrochloride component of lomotil,diphenoxylate hydrochloride
diphenoxylate hydrochloride component of lonox,diphenoxylate hydrochloride
diphenoxylate hydrochloride component of low-quel,diphenoxylate hydrochloride
diphenylan sodium,phenytoin sodium
diphtheria toxoid component of hexacima,diphtheria toxoid
diphtheria toxoid component of hexavac,diphtheria toxoid
diphtheria toxoid component of hexyon,diphtheria toxoid
diphtheria toxoid component of infanrix hepb,diphtheria toxoid
diphtheria toxoid component of infanrix hexa,diphtheria toxoid
diphtheria toxoid component of infanrix penta,diphtheria toxoid
diphtheria toxoid component of primavax,diphtheria toxoid
diphtheria toxoid component of quintanrix,diphtheria toxoid
diphtheria toxoid component of triacelluvax,diphtheria toxoid
diphtheria toxoid component of tritanrix hepb,diphtheria toxoid
diphtheria toxoid component of vaxelis,diphtheria toxoid
dipivefrin,dipivefrin
dipivefrin hydrochloride,dipivefrin hydrochloride
dipivefrine,dipivefrin
diprivan,propofol
diprofarn,dipyrone
diprolene,betamethasone dipropionate
diprolene af,betamethasone dipropionate
dipromal,magnesium valproate
diprosone,betamethasone dipropionate
dipyridamole,dipyridamole
dipyridamole component of aggrenox,dipyridamole
dipyrithione,dipyrithione
dipyrone,dipyrone
diquafosol tetrasodium,diquafosol tetrasodium
diractin,ketoprofen
diridavumab,diridavumab
dirithromycin,dirithromycin
dirloctocogene samoparvovec,dirloctocogene samoparvovec
dirlotapide,dirlotapide
dirocaftor,dirocaftor
dirocide,diethylcarbamazine citrate
diroximel fumarate,diroximel fumarate
dirucotide,dirucotide
dirythmin,disopyramide phosphate
dirythmin-sa,disopyramide phosphate
disalcid,salsalate
discase,chymopapain
disipal,orphenadrine hydrochloride
disitamab,disitamab
disitamab vedotin,disitamab vedotin
dismutec,pegorgotein
disobutamide,disobutamide
disofenin,disofenin
disogram sr,diltiazem hydrochloride
disomer,dexbrompheniramine maleate
disomotide,disomotide
disoprivan,propofol
disopyramide,disopyramide
disopyramide phosphate,disopyramide phosphate
disoxaril,disoxaril
dispermox,amoxicillin
dispray 1,chlorhexidine gluconate
dispray 2,chlorhexidine gluconate
disprin cv,aspirin
disprin direct,aspirin
disprol,acetaminophen
disprol infant,acetaminophen
disprol jnr,acetaminophen
disprol paed,acetaminophen
distaclor,cefaclor
distaclor mr,cefaclor
distamine,penicillamine
distilbene,diethylstilbestrol
disufenton sodium,disufenton sodium
disulfiram,disulfiram
ditekiren,ditekiren
ditelos,strontium ranelate;colecalciferol
dithiazanine,dithiazanine
dithrocream,anthralin
dithrocream fte,anthralin
dithrocream hp,anthralin
ditropan,oxybutynin chloride
ditropan xl,oxybutynin chloride
diucardin,hydroflumethiazide
diulo,metolazone
diuresal,furosemide
diurexan,xipamide
diuril,chlorothiazide
divalproex sodium,divalproex sodium
divarasib,divarasib
divarasib adipate,divarasib adipate
divence ibr marker live,"infectious bovine rhinotracheitis virus, strain ceddel, ge- tk- double-gene deleted, live"
divence penta,"bovine parainfluenza virus 3, strain sf-4 reisinger, inactivated;live attenuated bovine respiratory syncytial virus (brsv), strain lym-56;bovine viral diarrhoea virus 1, e2 recombinant protein;bovine viral diarrhoea virus 2, e2 recombinant protein;infectious bovine rhinotracheitis virus, strain ceddel, ge- tk- double-gene deleted, live"
divence tetra,bovine viral diarrhoea virus type 1 and type 2 (subunit recombinant);bovine parainfluenza 3 virus (inactivated) and bovine respiratory syncytial virus vaccine
divigel,estradiol
dixarit,clonidine hydrochloride
dizac,diazepam
dnai,rosomidnar
do-do,ephedrine hydrochloride
dobren,sulpiride
dobutamine,dobutamine
dobutamine hydrochloride,dobutamine hydrochloride
dobutrex,dobutamine hydrochloride
doca,desoxycorticosterone acetate
docebenone,docebenone
docefrez,docetaxel
docetaxel,docetaxel
docetaxel accord,docetaxel
docetaxel kabi,docetaxel
docetaxel mylan,docetaxel
docetaxel teva,docetaxel
docetaxel teva pharma,docetaxel
docetaxel winthrop,docetaxel anhydrous
docetaxel zentiva (previously docetaxel winthrop),docetaxel
dociparstat sodium,dociparstat sodium
dociton,propranolol hydrochloride
docivyx,docetaxel
doconazole,doconazole
docosanol,docosanol
docusate sodium,docusate sodium
docusol,docusate sodium
docusol 100,docusate sodium
dodex,cyanocobalamin
dofetilide,dofetilide
dogmatil,sulpiride
dogmatyl,sulpiride
dogstem,equine umbilical cord-derived mesenchymal stem cells
dojolvi,triheptanoin
dolasetron,dolasetron
dolasetron mesylate,dolasetron mesylate
dolcanatide,dolcanatide
dolene,propoxyphene hydrochloride
dolenio,glucosamine sulfate
dolinac,felbinac
dolmatil,sulpiride
dolobid,diflunisal
dolobid 500,diflunisal
dolocodon pr,oxycodone hydrochloride
dolophine hydrochloride,methadone hydrochloride
doloxene,propoxyphene hydrochloride
dolpin,haloperidol
dolutegravir,dolutegravir
dolutegravir sodium,dolutegravir sodium
dolutegravir sodium component of dovato,dolutegravir sodium
dolutegravir sodium component of juluca,dolutegravir sodium
dolutegravir sodium component of triumeq,dolutegravir sodium
domagrozumab,domagrozumab
dome-acne,sulfur
dome-cort,hydrocortisone
domeboro,aluminum acetate
domical,amitriptyline hydrochloride
domilium,domperidone
dominion pharma hayfever,cromolyn sodium
domiodol,domiodol
domiphen bromide,domiphen bromide
domitor,medetomidine
domperidone,domperidone
domvanalimab,domvanalimab
dona,glucosamine sulfate
donanemab,donanemab
donaperminogene seltoplasmid,donaperminogene seltoplasmid
donepezil,donepezil
donepezil hydrochloride,donepezil hydrochloride
donepezil hydrochloride component of namzaric,donepezil hydrochloride
donetidine,donetidine
donidalorsen,donidalorsen
donidalorsen sodium,donidalorsen sodium
donislecel,donislecel
dopamantine,dopamantine
dopamet,methyldopa
dopamin-natterman,dopamine hydrochloride
dopamine,dopamine
dopamine hydrochloride,dopamine hydrochloride
dopar,levodopa
dopascan,iometopane i 123
dopegyt,methyldopa
dopexamine,dopexamine
dopmin,dopamine hydrochloride
dopram,doxapram hydrochloride
doptelet,avatrombopag maleate
doral,quazepam
doralese tiltab,indoramin
doramapimod,doramapimod
doramectin,doramectin
doravirine,doravirine
doravirine component of delstrigo,doravirine
dorbane,danthron
dordaviprone,dordaviprone
dordaviprone hydrochloride,dordaviprone hydrochloride
doretinel,doretinel
dorgenmeltucel-l,dorgenmeltucel-l
doribax,doripenem
doriden,glutethimide
doripenem,doripenem
dorisin xl,fluvastatin sodium
dormate,mebutamate
dornase alfa,dornase alfa
doruxapapogene ralaplasmid,doruxapapogene ralaplasmid
doruxapapogene ralaplasmid component of pgx-3024 of ino-3107,doruxapapogene ralaplasmid
doryl,carbachol
doryx,doxycycline hyclate
doryx mpc,doxycycline hyclate
dorzagliatin,dorzagliatin
dorzant,dorzolamide
dorzolamide,dorzolamide
dorzolamide hydrochloride,dorzolamide hydrochloride
dorzolamide hydrochloride component of cosopt,dorzolamide hydrochloride
dostarlimab,dostarlimab
dostinex,cabergoline
dotarem,gadoterate meglumine
dothiepin,dothiepin
double check,nonoxynol 9
doublebase,mineral oil
dovato,dolutegravir sodium;lamivudine
dovitinib lactate,dovitinib lactate
dovobet,calcipotriene
dovonex,calcipotriene
dovprela (previously pretomanid fgk),pretomanid
dow-isoniazid,isoniazid
doxacurium chloride,doxacurium chloride
doxadura,doxazosin mesylate
doxapram,doxapram
doxapram hydrochloride,doxapram hydrochloride
doxaprost,doxaprost
doxatet,doxycycline hyclate
doxazosin,doxazosin
doxazosin mesylate,doxazosin mesylate
doxecitine,doxecitine
doxecitine component of mt-1621 2'-deoxycytidine,doxecitine
doxepin,doxepin
doxepin hydrochloride,doxepin hydrochloride
doxercalciferol,doxercalciferol
doxil,doxorubicin hydrochloride
doxil (liposomal),doxorubicin hydrochloride
doxinate,docusate sodium
doxirobe,doxycycline
doxium,calcium dobesilate
doxium 500,calcium dobesilate
doxofylline,doxofylline
doxolipad,doxorubicin hydrochloride
doxorubicin,doxorubicin
doxorubicin hydrochloride,doxorubicin hydrochloride
doxorubicin hydrochloride (liposomal),doxorubicin hydrochloride
doxorubicin hydrochloride component of imx-110,doxorubicin hydrochloride
doxorubicin hydrochloride tillomed,doxorubicin hydrochloride
doxorubicin sun,doxorubicin hydrochloride
doxribtimine,doxribtimine
doxribtimine component of mt-1621 2'-deoxythymidine,doxribtimine
doxy,doxycycline hyclate
doxy 100,doxycycline hyclate
doxy 200,doxycycline hyclate
doxy-lemmon,doxycycline hyclate
doxy-sleep-aid,doxylamine succinate
doxychel,doxycycline
doxychel hyclate,doxycycline hyclate
doxycycline,doxycycline
doxycycline fosfatex,doxycycline fosfatex
doxycycline hyclate,doxycycline hyclate
doxylamine succinate,doxylamine succinate
doxylamine succinate component of bendectin,doxylamine succinate
doxylamine succinate component of bonjesta,doxylamine succinate
doxylamine succinate component of diclectin,doxylamine succinate
doxylamine succinate component of diclegis,doxylamine succinate
doxylar,doxycycline hyclate
doxzogen xl,doxazosin mesylate
dozic,haloperidol
dp-1919,rebastinib
dr. scholl's callus removers,salicylic acid
dr.elsoms,zinc oxide
draflazine,draflazine
dralzine,hydralazine hydrochloride
dramamine,dimenhydrinate
drapolene,benzalkonium chloride
drax exametazime,technetium tc 99m exametazime
draximage dtpa,technetium tc 99m pentetate
draximage mdp-10,technetium tc 99m medronate
draximage mdp-25,technetium tc 99m medronate
draxxin,tulathromycin
drazifon,metronidazole
dreemon,diphenhydramine hydrochloride
dribendazole,dribendazole
driclor,aluminum chloride
dricort,hydrocortisone acetate
dridol,droperidol
drinidene,drinidene
drisapersen,drisapersen
drisdol,ergocalciferol
dristan inhaler,propylhexedrine
drithocreme,anthralin
drithoscalp,anthralin
drizalma sprinkle,duloxetine hydrochloride
drobuline,drobuline
drocinonide,drocinonide
drogenil,flutamide
drolban,dromostanolone propionate
droleptan,droperidol
droloxifene,droloxifene
dromadol sr,tramadol hydrochloride
dromadol xl,tramadol hydrochloride
drometrizole,drometrizole
dromoran,levorphanol tartrate
dromostanolone propionate,dromostanolone propionate
dronabinol,dronabinol
dronabinol component of ad-313,dronabinol
dronabinol component of ad313,dronabinol
dronabinol component of sci-110,dronabinol
dronedarone hydrochloride,dronedarone hydrochloride
dropcys,mercaptamine
droperidol,droperidol
droperidol component of innovar,droperidol
dropodex,dexamethasone
droprenilamine,droprenilamine
drospirenone,drospirenone
drospirenone component of angeliq,drospirenone
drospirenone component of beyaz,drospirenone
drospirenone component of nextstellis,drospirenone
drospirenone component of safyral,drospirenone
drospirenone component of yasmin,drospirenone
drospirenone component of yaz,drospirenone
drotrecogin alfa (activated),drotrecogin alfa (activated)
drovelis,drospirenone;estetrol monohydrate
droxia,hydroxyurea
droxidopa,droxidopa
drozitumab,drozitumab
dry clear,benzoyl peroxide
dryptal,furosemide
dsuvia,sufentanil citrate
dtic-dome,dacarbazine
dtpa,technetium tc 99m pentetate
duaklir genuair,aclidinium bromide;formoterol fumarate dihydrate
dualtis,omega-3-acid ethyl esters
duavive,oestrogens conjugated;bazedoxifene
duazomycin,duazomycin
dubam,methyl salicylate
dubermatinib,dubermatinib
dubermatinib tartrate,dubermatinib tartrate
duciltia,duloxetine hydrochloride
dukoral,recombinant cholera toxin b subunit;vibrio cholerae 01
dulaglutide,dulaglutide
dulaglutide component of trulicity,dulaglutide
dulanermin,dulanermin
dulcobalance,polyethylene glycol 4000
dulcodos,bisacodyl
dulcoease,docusate sodium
dulcolax,bisacodyl
dulcolax pico,sodium picosulfate
duligotuzumab,duligotuzumab
duloxetine,duloxetine
duloxetine boehringer ingelheim,duloxetine
duloxetine hydrochloride,duloxetine hydrochloride
duloxetine lilly,duloxetine
duloxetine mylan,duloxetine hydrochloride
duloxetine sandoz,duloxetine
duloxetine viatris (previously duloxetine mylan),duloxetine
duloxetine zentiva,duloxetine
dumicoat,miconazole
dumoran,ranitidine hydrochloride
dundee,titanium dioxide
duocarmazine,duocarmazine
duocover,clopidogrel;acetylsalicylic acid
duofilm,salicylic acid
duolip,theofibrate
duolite ap143 resin,cholestyramine
duoplavin,clopidogrel;acetylsalicylic acid
duoresp spiromax,budesonide;formoterol fumarate dihydrate
duotic,betamethasone acetate;terbinafine
duotrav,travoprost;timolol
duovent,fenoterol
duphalac,lactulose
duphalac dry,lactulose
duphaston,dydrogesterone
duphaston-hrt,dydrogesterone
dupilumab,dupilumab
dupixent,dupilumab
dupromex,propranolol hydrochloride
durabolin,nandrolone phenpropionate
duracillin a.s.,penicillin g procaine
duraclon,clonidine hydrochloride
duradermal,bufexamac
duraflex,flumetramide
duragel,nonoxynol 9
duragesic,fentanyl
duragesic-100,fentanyl
duragesic-12,fentanyl
duragesic-25,fentanyl
duragesic-37,fentanyl
duragesic-50,fentanyl
duragesic-75,fentanyl
duramorph,morphine sulfate
duramorph pf,morphine sulfate
duranest,etidocaine hydrochloride
durapatite,"calcium phosphate, tribasic"
duraphat,sodium fluoride
duraphyl,theophylline
duraplus,biguanide
duraquin,quinidine gluconate
duratocin,carbetocin
duratocin long acting,carbetocin
durezol,difluprednate
duricef,cefadroxil
durlaza,aspirin
durlobactam,durlobactam
durlobactam sodium,durlobactam sodium
durlobactam sodium component of xacduro,durlobactam sodium
duro-k,potassium chloride
durogesic,fentanyl
durogesic dtrans,fentanyl
duromine,phentermine
duromorph,morphine sulfate
durrax,hydroxyzine hydrochloride
durvalumab,durvalumab
durveqtix,fidanacogene elaparvovec
durysta,bimatoprost
dusigitumab,dusigitumab
dusquetide,dusquetide
dutasteride,dutasteride
dutasteride component of jalyn,dutasteride
dutogliptin,dutogliptin
dutogliptin tartrate,dutogliptin tartrate
dutonin,nefazodone hydrochloride
dutrebis,lamivudine;raltegravir potassium
duvadilan,isoxsuprine hydrochloride
duvadilan ret,isoxsuprine hydrochloride
duvakitug,duvakitug
duvelisib,duvelisib
duvimex,acyclovir
duvoglustat,duvoglustat
duvoglustat hydrochloride,duvoglustat hydrochloride
duvoid,bethanechol chloride
duvortuxizumab,duvortuxizumab
duvyzat,givinostat hydrochloride monohydrate
duzallo,allopurinol;lesinurad
dyanavel xr,amphetamine
dycill,dicloxacillin sodium
dyclone,dyclonine hydrochloride
dydrogesterone,dydrogesterone
dygratyl,dihydrotachysterol
dyloject,diclofenac sodium
dymelor,acetohexamide
dyna-hex,chlorhexidine gluconate
dynabac,dirithromycin
dynacin,minocycline hydrochloride
dynacirc,isradipine
dynacirc cr,isradipine
dynamin,isosorbide mononitrate
dynamin xl 25,isosorbide mononitrate
dynamin xl 50,isosorbide mononitrate
dynamyxin,sulfomyxin
dynapen,dicloxacillin sodium
dynastat,parecoxib sodium
dynatra,dopamine hydrochloride
dynepo,epoetin delta
dyrenium,triamterene
dyrupeg,pegfilgrastim
dysman-250,mefenamic acid
dysman-500,mefenamic acid
dyspamet,cimetidine
dytac,triamterene
dytransin,ibufenac
dzuveo,sufentanil citrate
e-b2,riboflavin
e-base,erythromycin
e-caps,vitamin e
e-cypionate,estradiol
e-d3,cholecalciferol
e-glades,erythromycin
e-mycin,erythromycin
e-mycin e,erythromycin ethylsuccinate
e-pam,diazepam
e-solve 2,erythromycin
e-tabs,tocopherol acetate
e-vicotrat,tocopherol acetate
e-z prep,povidone-iodine
e-z prep 220,povidone-iodine
e-z scrub,hexachlorophene
e-z scrub 201,povidone-iodine
e-z scrub 241,povidone-iodine
e-z-cat dry,barium sulfate
e-z-hd,barium sulfate
e-z-paque,barium sulfate
e.e.s.,erythromycin ethylsuccinate
e.e.s. 200,erythromycin ethylsuccinate
e.e.s. 400,erythromycin ethylsuccinate
e45 sun,titanium dioxide
e75 peptide,nelipepimut-s
earcalm,acetic acid
easotic,gentamicin sulfate;hydrocortisone aceponate;miconazole nitrate
ebanga,ansuvimab
ebaresdax,ebaresdax
ebaresdax hydrochloride,ebaresdax hydrochloride
ebastine,ebastine
ebesque xl,quetiapine
ebetrex,methotrexate
ebglyss,lebrikizumab
ebilfumin,oseltamivir
ebixa,memantine hydrochloride
ebretin,etodolac
ebufac,ibuprofen
ebvaciclib,ebvaciclib
ebvallo,tabelecleucel
ebymect,dapagliflozin propanediol monohydrate;metformin hydrochloride
ec-naprosyn,naproxen
ecadotril,ecadotril
ecalcidene,ecalcidene
ecallantide,ecallantide
ecalta,anidulafungin
ecamsule,ecamsule
ecamsule component of anthelios sx,ecamsule
ecamsule component of capital soleil,ecamsule
ecansya (previously capecitabine krka),capecitabine
echogen,dodecafluoropentane
eciferol d2,ergocalciferol
eciskafusp alfa,eciskafusp alfa
eclazolast,eclazolast
eclitasertib,eclitasertib
ecnoglutide component of xw-004,ecnoglutide
ecnoglutide component of xw004 xw003,ecnoglutide
ecokinase,reteplase
econac,diclofenac sodium
econac sr,diclofenac sodium
econac xl,diclofenac sodium
econacort,hydrocortisone
econazole,econazole
econazole nitrate,econazole nitrate
econochlor,chloramphenicol
economycin,tetracycline
econopred,prednisolone acetate
econor,valnemulin
ecopace,captopril
ecopipam hydrochloride,ecopipam hydrochloride
ecopladib,ecopladib
ecoporc shiga,genetically modified recombinant shiga-toxin-2e antigen
ecosporina,cephradine
ecostatin,econazole nitrate
ecostatin twin pack,econazole nitrate
ecostatin-1,econazole nitrate
ecovaxxin ms,"mycoplasma synoviae, strain k588a, live"
ecoza,econazole nitrate
ecraprost,ecraprost
ecromeximab,ecromeximab
ectodyne,piperazine
eculizumab,eculizumab
eczmol,chlorhexidine gluconate
edaravone,edaravone
edarbi,azilsartan medoxomil
edasalonexent,edasalonexent
edatrexate,edatrexate
edecrin,ethacrynic acid
edetol,edetol
edex,alprostadil
edicil,gliclazide
edicotinib,edicotinib
edifoligide sodium,edifoligide sodium
edinburgh,salicylic acid
edistride,dapagliflozin propanediol monohydrate
edivoxetine,edivoxetine
edluar,zolpidem tartrate
ednyt,enalapril maleate
edobacomab,edobacomab
edodekin alfa,edodekin alfa
edonentan,edonentan
edotecarin,edotecarin
edotreotide,edotreotide
edoxaban,edoxaban
edoxaban tosylate,edoxaban tosylate
edoxudine,edoxudine
edralbrutinib,edralbrutinib
edratide,edratide
edrecolomab,edrecolomab
edronax,reboxetine
edrophonium chloride,edrophonium chloride
edrophonium chloride component of enlon-plus,edrophonium chloride
edrophonium chloride preservative free,edrophonium chloride
edurant,rilpivirine hydrochloride
edurant ped,rilpivirine hydrochloride
efalizumab,efalizumab
efamast 40,gamolenic acid
efamast 80,gamolenic acid
efaproxiral,efaproxiral
efavaleukin alfa,efavaleukin alfa
efavirenz,efavirenz
efavirenz component of atripla,efavirenz
efavirenz component of symfi,efavirenz
efavirenz component of telura,efavirenz
efavirenz teva,efavirenz
efavirenz/emtricitabine/tenofovir disoproxil krka,efavirenz;emtricitabine;tenofovir disoproxil succinate
efavirenz/emtricitabine/tenofovir disoproxil mylan,efavirenz;emtricitabine;tenofovir disoproxil maleate
efavirenz/emtricitabine/tenofovir disoproxil zentiva,efavirenz;emtricitabine;tenofovir disoproxil phosphate
efbemalenograstim alfa,efbemalenograstim alfa
efcortelan p,hydrocortisone
efcortesol,hydrocortisone sodium phosphate
efexor,venlafaxine
efexor xl,venlafaxine
effentora,fentanyl
effercitrate,potassium citrate
effexor,venlafaxine hydrochloride
effexor xr,venlafaxine hydrochloride
efficib,sitagliptin;metformin hydrochloride
effient,prasugrel hydrochloride
efflosomyl xl,tolterodine
effortil,etilefrine
effortil depot perlongetten,etilefrine
efgartigimod alfa,efgartigimod alfa
efgartigimod alfa component of vyvgart hytrulo,efgartigimod alfa
efgivanermin alfa,efgivanermin alfa
efgratin,pegfilgrastim
efidac 24 chlorpheniramine maleate,chlorpheniramine maleate
efient,prasugrel
efinaconazole,efinaconazole
efineptakin alfa,efineptakin alfa
efinopegdutide,efinopegdutide
efipladib,efipladib
efizonerimod,efizonerimod alfa
efizonerimod alfa,efizonerimod alfa
eflapegrastim,eflapegrastim
eflornithine,eflornithine
eflornithine hydrochloride,eflornithine hydrochloride
efmarodocokin alfa,efmarodocokin alfa
efmitermant alfa,efmitermant alfa
efmody,hydrocortisone
efpeglenatide,efpeglenatide
efrofilcon a,efrofilcon a
efrotomycin,efrotomycin
efruxifermin,efruxifermin
eftab,thymol
eftozanermin alfa,eftozanermin alfa
efudex,fluorouracil
efudix,fluorouracil
efungumab,efungumab
efzimfotase alfa,efzimfotase alfa
eganelisib,eganelisib
egaptivon pegol,egaptivon pegol
egaten,triclabendazole
egaten tm,triclabendazole
eglumetad,eglumetad
egrifta,tesamorelin
egtazic acid,egtazic acid
eiyzey,aflibercept
ekesivy,diclofenamide
eklira,aclidinium bromide
eklira genuair,aclidinium bromide
ekomine,methylatropine nitrate
eksunbi,ustekinumab
ektebin,protionamide
ekterly,sebetralstat
elacestrant,elacestrant
elacestrant hydrochloride,elacestrant hydrochloride
elacytarabine,elacytarabine
eladocagene exuparvovec,eladocagene exuparvovec
eladynos,abaloparatide
elafibranor,elafibranor
elagolix,elagolix
elagolix sodium,elagolix sodium
elagolix sodium component of oriahnn,elagolix sodium
elahere,mirvetuximab soravtansine
elamipretide,elamipretide
elamipretide hydrochloride,elamipretide hydrochloride
elantan 10,isosorbide mononitrate
elantan 20,isosorbide mononitrate
elantan 40,isosorbide mononitrate
elantan la 25,isosorbide mononitrate
elantan la 50,isosorbide mononitrate
elantrine,elantrine
elapegademase,elapegademase
elaprase,idursulfase
elarofiban,elarofiban
elavil,amitriptyline hydrochloride
elbasvir,elbasvir
