brand_name_clean,substance_clean
acidol pepsin,betaine hydrochloride
aciferol d3,cholecalciferol
acifran,acifran
acilac,lactulose
aciphex,rabeprazole sodium
aciphex sprinkle,rabeprazole sodium
acitak 200,cimetidine
acitak 400,cimetidine
acitak 800,cimetidine
acitretin,acitretin
acivicin,acivicin
aclarubicin,aclarubicin
aclasta,zoledronic acid
aclidinium bromide,aclidinium bromide
aclidinium bromide component of duaklir pressair,aclidinium bromide
aclovate,alclometasone dipropionate
acnamino,minocycline hydrochloride
acnaveen,sulfur
acnecide,benzoyl peroxide
acnecide 10,benzoyl peroxide
acnegel,benzoyl peroxide
acnegel fte,benzoyl peroxide
acnidazil,benzoyl peroxide
acnil,sulfur
acnisal,salicylic acid
acoflam,diclofenac sodium
acoflam ret,diclofenac sodium
acoflam sr,diclofenac sodium
acolbifene,acolbifene
acolbifene hydrochloride,acolbifene hydrochloride
acoltremon,acoltremon
acomplia,rimonabant
acorafloxacin,acorafloxacin
acorafloxacin hydrochloride,acorafloxacin hydrochloride
acoramidis,acoramidis
acoramidis hydrochloride,acoramidis hydrochloride
acorvio,miconazole nitrate
acotiamide hydrochloride,acotiamide hydrochloride
acova,argatroban
acrescent,memantine hydrochloride;donepezil hydrochloride
acriflex,chlorhexidine gluconate
acrisorcin,acrisorcin
acrivastine,acrivastine
acrivastine component of semprex-d,acrivastine
acronine,acronine
acrosoxacin,rosoxacin
actal,alexitol sodium
actaplanin,actaplanin
actavall,clotrimazole
actelsar hct,telmisartan;hydrochlorothiazide
actemra roactemra,tocilizumab
acth,corticotropin
acthar,corticotropin
acthar gel,corticotropin
acthar gel (autoinjector),corticotropin
acthrel,corticorelin ovine triflutate
acticam,meloxicam
actichlor,sodium hypochlorite
acticin,tretinoin
acticlate,doxycycline hyclate
acticlate cap,doxycycline hyclate
acticort,hydrocortisone
actidil,triprolidine hydrochloride
actifed,pseudoephedrine hydrochloride
actigall,ursodiol
actikerall,fluorouracil
actilyse,alteplase
actilyse cathflo,alteplase
actimmune,interferon gamma-1b
actin-n,nitrofurazone
actinex,masoprocol
actinium ac 225 dotatate,actinium ac 225 dotatate
actinomycin c,cactinomycin
actiq,fentanyl citrate
actisite,tetracycline hydrochloride
actisomide,actisomide
activase,alteplase
activyl,indoxacarb
activyl tick plus,indoxacarb;permethrin
actodigin,actodigin
actonel,risedronate sodium
actos,pioglitazone hydrochloride
actoxumab,actoxumab
actraphane,insulin human
actrapid,human insulin
actron,ketoprofen
acu-4429,emixustat
acu-4429 hcl,emixustat hydrochloride
acular,ketorolac tromethamine
acular ls,ketorolac tromethamine
acular preservative free,ketorolac tromethamine
acumor xl,galantamine
acupan,nefopam hydrochloride
acutect,technetium (99mtc) apcitide
acuvail,ketorolac tromethamine
acuvue,etafilcon a
acuvue theravision with ketotifen,ketotifen fumarate
acvybra,denosumab
acycloguanosine,acyclovir
acyclovir,acyclovir
acyclovir component of xerese,acyclovir
acyclovir sodium,acyclovir sodium
acylanid,acetyldigitoxin
aczone,dapsone
adafosbuvir,adafosbuvir
adagen,pegademase bovine
adagloxad simolenin,adagloxad simolenin
adagrasib,adagrasib
adakitug,adakitug
adakveo,crizanlizumab
adalat,nifedipine
adalat a.r.,nifedipine
adalat cc,nifedipine
adalat ic,nifedipine
adalat la 20,nifedipine
adalat la 30,nifedipine
adalat la 60,nifedipine
adalat ret,nifedipine
adalate lp,nifedipine
adalimumab,adalimumab
adalimumab fosimdesonide,adalimumab fosimdesonide
adalin,carbromal
adanif xl,nifedipine
adanon hydrochloride,methadone hydrochloride
adapalene,adapalene
adapalene component of cabtreo,adapalene
adapalene component of epiduo,adapalene
adapalene component of idp-126,adapalene
adartrel,ropinirole hydrochloride
adasuve,loxapine
adavosertib,adavosertib
adbry,tralokinumab
adcal,calcium carbonate
adcal-d3,cholecalciferol
adcetris,brentuximab vedotin
adcirca,tadalafil
adcirca (previously tadalafil lilly),tadalafil
adcortyl,triamcinolone acetonide
adcortyl in orabase,triamcinolone acetonide
addyi,flibanserin
adefovir,adefovir
adefovir dipivoxil,adefovir dipivoxil
ademol,flumethiazide
adempas,riociguat
adenocard,adenosine
adenocor,adenosine
adenoscan,adenosine
adenosine,adenosine
adenosine phosphate,adenosine phosphate
adenuric,febuxostat
adenyl,adenosine phosphate
adepend,naltrexone hydrochloride
aderamastat,aderamastat
aderbasib,aderbasib
adgyn estro,estradiol
adgyn medro,medroxyprogesterone acetate
adhansia xr,methylphenidate hydrochloride
adifax,dexfenfluramine hydrochloride
adimlecleucel,adimlecleucel
adinazolam,adinazolam
adintrevimab,adintrevimab
adipex-p,phentermine hydrochloride
adipine mr 10,nifedipine
adipine mr 20,nifedipine
adipine xl,nifedipine
adipiplon,adipiplon
adizem-60,diltiazem hydrochloride
adizem-sr,diltiazem hydrochloride
adizem-xl,diltiazem hydrochloride
"adjupanrix (previously pandemic influenza vaccine (h5n1) (split virion, inactivated, adjuvanted) glaxosmithkline biologicals)","split influenza virus, inactivated, containing antigen: a/vietnam/1194/2004 (h5n1) like strain used (nibrg-14)"
adlarity,donepezil hydrochloride
adlumiz,anamorelin hydrochloride
admilparant,admilparant
adomeglivant,adomeglivant
adoport,tacrolimus
adozelesin,adozelesin
adphen,phendimetrazine tartrate
adrabetadex,adrabetadex
adren co,epinephrine
adrenaclick,epinephrine
adrenalin,epinephrine
adrenalone,adrenalone
adrenocorticotropin,corticotropin
adrenomone,corticotropin
adreview,iobenguane sulfate i 123
adriamycin,doxorubicin hydrochloride
adriamycin pfs,doxorubicin hydrochloride
adriamycin rdf,doxorubicin hydrochloride
adriblastina,doxorubicin
adriforant,adriforant
adrovance,colecalciferol;alendronic acid (as sodium trihydrate)
adroyd,oxymetholone
adrucil,fluorouracil
adstiladrin,nadofaragene firadenovec
adtab (previously lotilaner elanco),lotilaner
adtralza,tralokinumab
aducanumab,aducanumab
aduhelm,aducanumab
advagraf,tacrolimus
advantan,methylprednisolone aceponate
advasure,e2 glycoprotein of classical swine fever virus
advate,octocog alfa
advexin,contusugene ladenovec
advil,ibuprofen
advil liqui-gels,ibuprofen
advil migraine liqui-gels,ibuprofen
advocate,imidacloprid;moxidectin
adynovi,rurioctocog alfa pegol
adzenys er,amphetamine
adzenys xr-odt,amphetamine
adzynma,radamts13
aec diethylhexyl sodium sulfosuccinate,docusate sodium
aemcolo,rifamycin sodium
aerinaze,desloratadine;pseudophedrine sulfate
aerius,desloratadine
aerivio spiromax,salmeterol xinafoate;fluticasone propionate
aerobec 100,beclomethasone dipropionate
aerobec 50,beclomethasone dipropionate
aerobec fte 250,beclomethasone dipropionate
aerobid,flunisolide
aerocide 1,chlorhexidine gluconate
aerocrom,cromolyn sodium
aerolate,theophylline
aerolate iii,theophylline
aerolate jr,theophylline
aerolate sr,theophylline
aerolin,albuterol
aerolin 400,albuterol
aerolin auto,albuterol
aerolone,isoproterenol hydrochloride
aeroseb-dex,dexamethasone
aeroseb-hc,hydrocortisone
aerospan,flunisolide
aerospan hfa,flunisolide
aerosporin,polymyxin b sulfate
aerrane,isoflurane
aethoxysklerol,polidocanol
aezodent,benzocaine
afamelanotide,afamelanotide
afamelanotide acetate,afamelanotide acetate
afamitresgene autoleucel,afamitresgene autoleucel
afasevikumab,afasevikumab
afatinib,afatinib
afatinib dimaleate,afatinib dimaleate
afaxin,vitamin a palmitate
afeditab cr,nifedipine
afegostat,afegostat
afegostat tartrate,afegostat tartrate
aficamten,aficamten
afimetoran,afimetoran
afimoxifene,afimoxifene
afinitor,everolimus
afinitor disperz,everolimus
afiveg,aflibercept
aflibercept,aflibercept
aflunov,influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: a/turkey/turkey/1/05 (h5n1)-like strain (nibrg-23)
afoxolaner,afoxolaner
afp-cide,yttrium y 90 tacatuzumab tetraxetan
afqlir,aflibercept
afrazine,oxymetazoline hydrochloride
afrezza,insulin human
afrin,oxymetazoline
afrin 4 hour nasal spray,phenylephrine hydrochloride
afrinol,pseudoephedrine sulfate
afstyla,lonoctocog alfa
aftobetin,aftobetin
aftovaxpur doe,"maximum three of the following purified, inactivated foot-and-mouth disease virus strains: o1 manisa ≥ 6 pd50*; o1 bfs ≥ 6 pd50*; o taiwan 3/97 ≥ 6 pd50*; a22 iraq ≥ 6 pd50*; a24 cruzeiro ≥ 6 pd50*; a turkey 14/98 ≥ 6 pd50*; asia 1 shamir ≥ 6 pd50*; sat2 saudi arabia ≥ 6 pd50*; * pd50 – 50% protective dose in cattle as described in ph. eur. monograph 0063."
afuresertib,afuresertib
agalsidase alfa,agalsidase alfa
agamree,vamorolone
aganepag,aganepag
aganepag isopropyl,aganepag isopropyl
agatolimod,agatolimod
agatolimod sodium,agatolimod sodium
agenerase,amprenavir
aggrastat,tirofiban hydrochloride
agilus,"dantrolene sodium, hemiheptahydrate"
agitane,trihexyphenidyl hydrochloride
aglatimagene besadenovec,aglatimagene besadenovec
agreal,veralipride
agrelin,anagrelide hydrochloride
agrylin,anagrelide hydrochloride
aguracingene cadoparvovec,aguracingene cadoparvovec
ahzantive,aflibercept
aiglonyl,sulpiride
aimovig,erenumab
aimpart xl,ropinirole hydrochloride
aindeem,finasteride
airbron,acetylcysteine
aircort,budesonide
airexar spiromax,salmeterol;fluticasone propionate
airflusal forspiro,fluticasone propionate
airomir,albuterol
airsalb,albuterol
aitan,rivoceranib mesylate
aivlosin,tylvalosin
aizea,desogestrel
ajovy,fremanezumab
ak-dex,dexamethasone sodium phosphate
ak-pentolate,cyclopentolate hydrochloride
akantior,polihexanide
akatinol,memantine hydrochloride
akbeta,levobunolol hydrochloride
akeega,abiraterone acetate;niraparib (tosilate monohydrate)
akfen,guanfacine hydrochloride
akineton,biperiden hydrochloride
akineton ret,biperiden hydrochloride
aklief,trifarotene
aklomide,aklomide
akne-mycin,erythromycin
aknemin,minocycline hydrochloride
aknemin 50,minocycline hydrochloride
aknemycin plus,erythromycin
akovaz,ephedrine sulfate
akpentolate,cyclopentolate hydrochloride
akpro,dipivefrin hydrochloride
akrinol,acrisorcin
akten,lidocaine hydrochloride
aktob,tobramycin
akynzeo,netupitant;palonosetron hydrochloride
ala-cort,hydrocortisone
ala-scalp,hydrocortisone
alacizumab pegol,alacizumab pegol
aladorian,aladorian
alagebrium chloride,alagebrium chloride
alamast,pemirolast potassium
alamon,hydroxyzine hydrochloride
alanine,alanine
alaproclate,alaproclate
alateris,glucosamine hydrochloride
alatrofloxacin mesylate,alatrofloxacin mesylate
alavert,loratadine
alaway,ketotifen fumarate
albac 50,bacitracin
albacar,calcium carbonate
albaconazole,albaconazole
albalon,naphazoline hydrochloride
albamycin,novobiocin sodium
albamycin t,novobiocin
albendazole,albendazole
albenza,albendazole
albiglutide,albiglutide
albinterferon alfa-2b,albinterferon alfa-2b
albrioza,sodium phenylbutyrate;ursodoxicoltaurine
albucid,sulfacetamide sodium
albuferon,albinterferon alfa-2b
albumin human component of abi-009,albumin human
"albumin, chromated cr 51 serum","albumin, chromated cr 51 serum"
"albumin, iodinated i 125 serum","albumin, iodinated i 125 serum"
"albumin, iodinated i 131 serum","albumin, iodinated i 131 serum"
albuminar-5,albumin human
albumotope i-125,"albumin, iodinated i 125 serum"
albuterol,albuterol
albuterol sulfate,albuterol sulfate
albuterol sulfate component of airsupra,albuterol sulfate
albuterol sulfate component of combivent,albuterol sulfate
albuterol sulfate component of duoneb,albuterol sulfate
albutoin,albutoin
alcaftadine,alcaftadine
alcaine,proparacaine hydrochloride
alclofenac,alclofenac
alclometasone,alclometasone dipropionate
alclometasone dipropionate,alclometasone dipropionate
alcobon,flucytosine
alcohol component of avagard,alcohol
alcohol component of hbn-1 ethanol,alcohol
alcopar,bephenium hydroxynaphthoate
alcort,hydrocortisone aceponate
alcuronium chloride,alcuronium chloride
aldactone,spironolactone
aldafermin,aldafermin
aldara,imiquimod
alderase,tolrestat
aldesleukin,aldesleukin
aldomet,methyldopa
aldoxorubicin,aldoxorubicin
aldoxorubicin hydrochloride,aldoxorubicin hydrochloride
aldumastat,aldumastat
aldurazyme,laronidase
alecensa,alectinib hydrochloride
alectinib,alectinib
alefacept,alefacept
aleglitazar,aleglitazar
alemcinal,alemcinal
alemtuzumab,alemtuzumab
alendronate sodium,alendronate sodium
alendronate sodium component of fosamax plus d,alendronate sodium
alendronic acid / colecalciferol mylan,alendronate sodium trihydrate;colecalciferol
aleplasinin,aleplasinin
alevaire,tyloxapol
aleve,naproxen sodium
alexan,cytarabine
alexan 100,cytarabine
alexidine,alexidine
alfa d,alfacalcidol
alfaprostol,alfaprostol
alfenta,alfentanil hydrochloride
alfentanil,alfentanil
alfentanil hydrochloride,alfentanil hydrochloride
alferminogene tadenovec,alferminogene tadenovec
alfimeprase,alfimeprase
alfutral sr,alfuzosin hydrochloride
alfuzosin,alfuzosin
alfuzosin hydrochloride,alfuzosin hydrochloride
algeldrate,algeldrate
algenpantucel-l,algenpantucel-l
algestone acetonide,algestone acetonide
alglucerase,alglucerase
alglucosidase alfa,alglucosidase alfa
alhemo,concizumab
aliflurane,aliflurane
alimix,cisapride monohydrate
alimta,pemetrexed
alinia,nitazoxanide
alipamide,alipamide
aliqopa,copanlisib dihydrochloride
alirocumab,alirocumab
alisade,fluticasone furoate
alisertib,alisertib
aliskiren,aliskiren
aliskiren fumarate,aliskiren fumarate
aliskiren fumarate component of amturnide aliskiren hemifumarate,aliskiren fumarate
aliskiren fumarate component of raprazo-hct aliskiren hemifumarate,aliskiren fumarate
aliskiren fumarate component of rasilamlo aliskiren hemifumarate,aliskiren fumarate
aliskiren fumarate component of rasilez-hct aliskiren hemifumarate,aliskiren fumarate
aliskiren fumarate component of rasitrio aliskiren hemifumarate,aliskiren fumarate
aliskiren fumarate component of sprimeo-hct aliskiren hemifumarate,aliskiren fumarate
aliskiren fumarate component of tekamlo aliskiren hemifumarate,aliskiren fumarate
aliskiren fumarate component of tekturna hct aliskiren hemifumarate,aliskiren fumarate
aliskiren fumarate component of valturna aliskiren hemifumarate,aliskiren fumarate
aliskiren hemifumarate component of amturnide,aliskiren fumarate
aliskiren hemifumarate component of tekamlo,aliskiren fumarate
aliskiren hemifumarate component of valturna,aliskiren fumarate
alisporivir,alisporivir
alitretinoin,alitretinoin
alival (antidepressant),nomifensine maleate
alka rapid,aspirin
alkeran,melphalan
alkergot,ergoloid mesylates
alkindi,hydrocortisone
alkindi sprinkle,hydrocortisone
allacan,cetirizine hydrochloride
allantoin,allantoin
allegra,fexofenadine hydrochloride
allegra allergy,fexofenadine hydrochloride
allegra hives,fexofenadine hydrochloride
allegron,nortriptyline
allercalm allergy relief,chlorpheniramine maleate
allercrom,cromolyn sodium
allergen scratch extract positive control 'torii' histamine dihydrochloride,histamine dihydrochloride
allerief,chlorpheniramine maleate
allernaze,triamcinolone acetonide
allertek,cetirizine hydrochloride
allex,desloratadine
alli,orlistat
alli (previously orlistat gsk),orlistat
allobarbital,allobarbital
alloferin,alcuronium chloride
allomune,allomune
allopurinol,allopurinol
allopurinol component of duzallo,allopurinol
allopurinol sodium,allopurinol sodium
allopydin,alclofenac
allyl isothiocyanate,allyl isothiocyanate
almagate,almagate
almitrine,almitrine
almotriptan,almotriptan
almotriptan malate,almotriptan malate
alnide,cyclopentolate hydrochloride
alniditan,alniditan
alnovin,fendosal
alocril,nedocromil sodium
alofisel,darvadstrocel
alogabat,alogabat
alogliptin benzoate,alogliptin benzoate
alogliptin benzoate component of kazano,alogliptin benzoate
alogliptin benzoate component of oseni,alogliptin benzoate
alomide,lodoxamide tromethamine
alomide allergy,lodoxamide tromethamine
alonimid,alonimid
alophen,phenolphthalein
aloprim,allopurinol sodium
alora,estradiol
aloral,allopurinol
alosetron,alosetron
alosetron hydrochloride,alosetron hydrochloride
alovudine,alovudine
aloxi,palonosetron hydrochloride
alpelisib,alpelisib
alpertine,alpertine
alpha chymar,chymotrypsin
