"priority","pattern","canonical","match_type","approved","notes"
260,"\b(Academic|Academical|Academisch|Acedemic)\s+(Medical|Medisch)\s+Cent(re|er|rum)(\s+Amsterdam|\s+AMC)?\b|\bAMC\s*,?\s*Amsterdam\b|\bAMC\s+Amsterdam\b|\bAMC\b|\bAMC\s*[- ]\s*UVA\b|\bAmsterdam\s+AMC\b","Amsterdam UMC","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
270,"\bKarolinska\s+Institutet\b|\bKarolinska\s+Institute\b","Karolinska Institutet","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
280,"\bPierre\s+Fabre\s+M[ée]?dicament\b|\bPierre\s+Fabre\s+Medicament\b","Pierre Fabre Medicament","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
290,"\bALK\s*[- ]?\s*Abell[óo]?\b|\bALK\s*[- ]?\s*Abell\b","ALK-Abello","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
300,"\bLaboratoires\s+Th[éea]a?\b","Laboratoires Thea","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
310,"\bInstitut\s+De\s+Recherches?\s+Internationales?\s+Servier(\s+I\.?R\.?I\.?S\.?)?\b|\bInstitut\s+De\s+Recherche\s+International\s+Servier\b","Institut De Recherches Internationales Servier IRIS","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
320,"\bEutherapie\s+Pour\s+Le\s+Compte\s+Du\s+Promoteur\s+Les\s+Laboratoires\s+Servier\b|\bLaboratorios\s+Servier\b","Servier","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
330,"\bHOVON\b|\bHovon\s+Foundation\b|\b(Stichting\s+)?Hemato\s*[- ]\s*Oncologie\s+Voor\s+Volwassenen(\s+Nederland)?\s*\(?Hovon\)?(\s+Stichting)?\b|\bDutch\s+Belgian\s+Cooperative\s+(Group\s+)?For\s+Hematology\s+Oncology\s*[- ]\s*Hovon\b","HOVON","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
340,"\bRegion\s+Sk[aå]?ne\b","Region Skane","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
350,"\bRegion\s+Oe?stergoe?tland\b","Region Ostergotland","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
360,"\bSankt\s+Antonius\s+Hospital\b|\bSt\.?\s+Antonius\s+Hospital\b|\bSint\s+Antonius\s+Ziekenhuis(\s+Stichting)?\b|\bSt\.?\s+Antonius\s+Ziekenhuis\b","St Antonius Hospital","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
370,"\bCliniques\s+Universitaires\s+Saint\s*[- ]\s*Luc\b","Cliniques Universitaires Saint-Luc","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
380,"\bGuys\s+(And\s+)?St\.?\s+Thomas'?\s+Nhs\s+Foundation\s+Trust\b|\bGuys\s+And\s+St\.?\s+Thomas\s+Nhs\s+Foundation\s+Trust\b","Guys And St Thomas NHS Foundation Trust","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
390,"\bInstitut\s+Paoli\s*[- ]\s*Calmettes\b","Institut Paoli-Calmettes","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
400,"\bIBSA\s*,?\s+Institut\s+Biochimique\b","IBSA Institut Biochimique","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
410,"\bSchering\s*[- ]\s*Plough\s+(Institute|Institution|Reserach\s+Institute)\b|\bSchering\s*[- ]\s*Plough\b","Schering-Plough","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
420,"\b(CHU|Centre\s+Hospitalier\s+Universitaire)\s+(De\s+)?Saint\s*[- ]\s*Etienne\b","CHU Saint-Etienne","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
430,"\bFundaci[oó]?\s+(Privada\s+)?(De\s+L)?Institut\s+De\s+Recerca.*Santa\s+Creu.*Sant\s+Pau\b|\bInstitut\s+De\s+Recerca.*Santa\s+Creu.*Sant\s+Pau\b|\bInstitut\s+De\s+Recerca\s+H\.?\s*(De\s+La\s+Santa\s+Creu\s+I\s+Sant\s+Pau)?\b|\bInstitut\s+De\s+Recerca\s+HSCSP\b","Institut De Recerca Sant Pau","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
440,"\bGE\s*\.?\s+And\s+Its\s+Affiliates\b","GE And Its Affiliates","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
450,"\bLaboratorios\s+Leti(\s*,?\s*\.?\s*Unipersonal|\s*,?\s*U)?\b","Laboratorios Leti","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
460,"\bZiekenhuis\s+Oost\s*[- ]\s*Limburg\b","Ziekenhuis Oost-Limburg","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
