"priority","pattern","canonical","match_type","approved","notes"
980,"\b(C\.?H\.?U\.?|Centre\s+Hospitalier.*)\s+(De\s+)?Dijon(\s+Bourgogne)?\b|\bCHU\s+Dijon\s+Bourgogne\b","CHU De Dijon","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
990,"\b(C\.?H\.?U\.?|Centre\s+Hospitalier.*|Rouen\s+University\s+Hospital)\s+(De\s+)?Rouen\b","CHU De Rouen","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1000,"\b(C\.?H\.?U\.?|C\.?H\.?R\.?U\.?|Centre\s+Hospitalier.*|University\s+Hospital|UH)\s+(De\s+|Of\s+)?Montpellier\b","CHU De Montpellier","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1010,"\b(C\.?H\.?U\.?|Centre\s+Hospitalier.*|University\s+Hospital)\s+(De\s+|Of\s+)?Grenoble(\s+Alpes)?\b|\bGrenoble\s+(Alps\s+)?University\s+Hospital\b|\bUniversityHospitalGrenoble\b","CHU De Grenoble","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1020,"\b(CHU|Centre\s+Hospitalier\s+Universitaire)\s+(De\s+|Of\s+)?Nantes\b|\bNantes\s+CHU\b","CHU De Nantes","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1030,"\b(CHU|Centre\s+Hospitalier\s+Universitaire|Nimes\s+University\s+Hospital)\s*(De\s+)?N[iî]?mes\b|\bCHU\s+De\s+Nmes\b","CHU De Nimes","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1040,"\b(CHU|Centre\s+Hospitalier\s+Universitaire)\s+(De\s+)?Bordeaux\b|\bBordeaux\s+CHU\b","CHU De Bordeaux","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1050,"\bCharit[eé]?\s*[-,]?\s*(Universit[aä]tsmedizin|Universitaetsmedizin|University\s+Medicine)?\s*(Berlin)?\b","Charite Universitaetsmedizin Berlin","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1060,"\b(Universit[aä]tsklinikum|Universitaetsklinikum|Uniklinikum|University\s+(Hospital|Clinic|Clinical\s+Center|Clinics))\s+(Of\s+)?T[uü]?bingen\b|\bUniversity\s+Of\s+T[uü]?bingen\b|\bUniversit[aä]t\s+T[uü]?bingen\b","Universitaetsklinikum Tuebingen","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1070,"\bOrganisation\s+For\s+(The\s+)?(And\s+)?Treatment\s+Of\s+Cancer(\s+EORTC)?\b|\bEORTC\s+Organisation\s+For\s+And\s+Treatment\s+Of\s+Cancer\b","EORTC","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1080,"\b(SAKK\s+)?Swiss\s+For\s+Clinical\s+Cancer(\s+SAKK|\s+Reaserch\s+SAKK)?\b","SAKK","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1090,"\bGroupe\s+Francophone\s+Des\s+Mye?lodysplasies(\s+GFM)?\b|\bGroupe\s+Fran[cç]ais\s+Des\s+Mye?lodysplasies\b","Groupe Francophone Des Myelodysplasies","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1100,"\bMedica\s+Scientia\s+Innovation(\s*[,.]?\s*Medsir(\s+Aro)?)?\b","Medica Scientia Innovation","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1110,"\bOspedale\s+Pediatrico\s+Bambino\s+Gesu'?((\s+Di\s+Roma)?)\b|\bBambino\s+Gesu\s+Childrens\s+Hospital\b","Ospedale Pediatrico Bambino Gesu","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1120,"\b(Universit[aä]tsklinikum|Universitaetsklinikum|University\s+Hospital)\s+Erlangen\b","Universitaetsklinikum Erlangen","regex",TRUE,"Migrated from app.R built-in sponsor_aliases"
1130,"KU Leuven","UZ Leuven","exact",TRUE,""
1140,"Leiden University","Leiden University Medical Center","exact",TRUE,""
1150,"Aarhus University","Aarhus University Hospital","exact",TRUE,""
1160,"Ghent University","University Hospital Ghent","exact",TRUE,""
1170,"Servier","Institut De Recherches Internationales Servier IRIS","exact",TRUE,""
1180,"Merck Serono","Merck","exact",TRUE,""
1190,"Laboratoires Merck Sharp Dohme - Chibret","Merck","exact",TRUE,""
1200,"Schering","Schering-Plough","exact",TRUE,""
1210,"Karolinska University Hospital, Huddinge","Karolinska University Hospital","exact",TRUE,""
1220,"Karolinska University Hospital Huddinge","Karolinska University Hospital","exact",TRUE,""
1230,"Department Of Neurology, Odense University Hospital","Odense University Hospital","exact",TRUE,""
1240,"Beaufour Ipsen","Ipsen","exact",TRUE,""
1250,"Eortc","EORTC","exact",TRUE,""
1260,"Maastricht University","Maastricht University Medical Center","exact",TRUE,""
1270,"Shire-Movetis","Shire","exact",TRUE,""
1280,"University Of Dundee NHS Tayside","University Of Dundee","exact",TRUE,""
1290,"Istituto Nazionale Tumori","Fondazione Irccs Istituto Nazionale Dei Tumori","exact",TRUE,""
1300,"The University Of Leeds","University Of Leeds","exact",TRUE,""
1310,"University Of Leicester","University Hospitals Of Leicester NHS Trust","exact",TRUE,""
1320,"Universiteit Maastricht","Maastricht University Medical Center","exact",TRUE,""
1330,"Serono","Merck Serono","exact",TRUE,""
1340,"Istituto Nazionale Tumori","Istituto Nazionale Per La Cura Tumori","exact",TRUE,""
1350,"Helsinki University Hospital","Helsinki University Central Hospital","exact",TRUE,""
1360,"Almirall Hermal","Almirall","exact",TRUE,""
1370,"Irccs Istituto Nazionale Tumori Fondazione Pascale","Istituto Nazionale Per Lo Studio E La Cura Dei Tumori - Fondazione G. Pascale","exact",TRUE,""
1380,"Universittsklinikum Erlangen","Universitaetsklinikum Erlangen","exact",TRUE,""
1390,"Argenx Bvba","Argenx","exact",TRUE,""
1400,"Fundacion Pethema","Fundacin Pethema","exact",TRUE,""
1410,"Universitaetsklinikum Tuebingen","Universitaetsklinikum Erlangen","exact",TRUE,""
1420,"Turku University Central Hospital","Turku University Hospital","exact",TRUE,""
1430,"Royal Marsden Hospital","The Royal Marsden NHS Foundation Trust","exact",TRUE,""
1440,"Laboratorios Almirall","Almirall","exact",TRUE,""
1450,"Almirall Prodesfarma","Almirall","exact",TRUE,""
1460,"FONDAZIONE I.R.C.C.S. POLICLINICO SAN MATTEO","Ospedale Policlinico S. Matteo","exact",TRUE,""
1470,"Bispebjerg University Hospital","Bispebjerg Hospital","exact",TRUE,""
1480,"Inserm-Anrs","Inserm","exact",TRUE,""
1490,"University Of Antwerp","Antwerp University Hospital","exact",TRUE,""
1500,"Tibotec Bvba","Tibotec","exact",TRUE,""
1510,"Les Hopitaux Universitaires De Strasbourg","Hpitaux Universitaires De Strasbourg","exact",TRUE,""
1520,"Department Of Dermatology D92, Bispebjerg Hospital","Bispebjerg Hospital","exact",TRUE,""
1530,"Zealand University Hospital","Zealand University Hospital","exact",TRUE,""
1540,"Umberto I","Azienda Universitaria Policlinico Umberto I Di Roma","exact",TRUE,""
1550,"Fundaci De Lluita Contra La Sida","Fundaci Lluita Contra La Sida","exact",TRUE,""
1560,"Steno Diabetes Center","Steno Diabetes Center Copenhagen","exact",TRUE,""
1570,"Verona","Azienda Ospedaliera Universitaria Integrata Verona","exact",TRUE,""
1580,"Consorci Mar Parc De Salut De Barcelona","Consorci Mar Parc De Salut De Barcelona Parc De Salut Mar","exact",TRUE,""
1590,"The University Of Liverpool","University Of Liverpool","exact",TRUE,""
1600,"A.O. UNIVERSITARIA INTEGRATA DI VERONA","Azienda Ospedaliera Universitaria Integrata Verona","exact",TRUE,""
1610,"Universitt Leipzig","University Of Leipzig","exact",TRUE,""
1620,"I.F.O. Istituti Fisioterapici Ospitalieri","Istituti Fisioterapici Ospitalieri","exact",TRUE,""
1630,"Bracco Altana","Altana","exact",TRUE,""
1640,"Orion Orion","Orion","exact",TRUE,""
1650,"Grifols","Instituto Grifols","exact",TRUE,""
1660,"Fondazione Irccs Ca Granda Ospedale Maggiore Policlinico Di Milano","Fondazione Irccs Ca Granda Ospedale Maggiore Policlinico","exact",TRUE,""
1670,"Universittsklinikum Heidelberg","Universitaetsklinikum Heidelberg Aör","exact",TRUE,""
1680,"The Institute of Cancer","The Institute of Caner","exact",TRUE,""
1690,"Fondazione Irccs Istituto Neurologico Carlo Besta","Istituto Neurologico Carlo Besta","exact",TRUE,""
1700,"Istituto Scientifico Romagnolo Per Lo Studio E La Cura Dei Tumori Irst . Irccs","Istituto Scientifico Romagnolo Per Lo Studio E La Cura Dei Tumori","exact",TRUE,""
1710,"Chru Nancy","Chru De Nancy","exact",TRUE,""
1720,"Technical University Dresden","Technische Universitt Dresden","exact",TRUE,""
1730,"Klinikum Der Universitaet Muenchen Aör","Klinikum Der Universitt Mnchen","exact",TRUE,""
1740,"Fresenius","Fresenius Kabi","exact",TRUE,""
1750,"Technische Universitat Dresden","Technische Universitt Dresden","exact",TRUE,""
1760,"Mech-Sense, Aalborg University Hospital","Aalborg University Hospital","exact",TRUE,""
1770,"Azienda Ospedaliera Universitaria Senese","Azienda Ospedaliera Senese","exact",TRUE,""
1780,"Bracco","Bracco Imaging","exact",TRUE,""
1790,"Moorfields Eye Hospital Nhs Foundation Trust","Moorfields Eye Hospital","exact",TRUE,""
1800,"Heidelberg","Universitaetsklinikum Heidelberg Aör","exact",TRUE,""
1810,"Centre Hospitalier Regional Universitaire","Centre Hospitalier Regional De Marseille","exact",TRUE,""
1820,"Gruppo Oncologico Italiano Di Ricerca","Gruppo Oncologico Italiano Di Ricerca Clinica Goirc","exact",TRUE,""
1830,"Herlev Gentofte Hospital","Herlev Hospital","exact",TRUE,""
1840,"Zambon Spa","Zambon","exact",TRUE,""
1850,"Department Of Surgery, Herlev Hospital","Herlev Hospital","exact",TRUE,""
1860,"Department Of , Herlev Gentofte Hospital","Herlev Hospital","exact",TRUE,""
1870,"Chu De Caen","Chu Caen","exact",TRUE,""
1880,"Fundaci Sant Joan De Du","Hospital Sant Joan De Du","exact",TRUE,""
1890,"Fundacin Pblica Andaluza Progreso Y Salud","Fundacin Progreso Y Salud","exact",TRUE,""
1900,"Manchester University Nhs Foundation Trust","Central Manchester University Hospitals Nhs Foundation Trust","exact",TRUE,""
1910,"Association Gercor","Gercor","exact",TRUE,""
1920,"Dompe' Farmaceutici","Domp Farmaceutici","exact",TRUE,""
1930,"Bial - Portela C","Bial - Portela Ca","exact",TRUE,""
1940,"Chu De Brest","Chru De Brest","exact",TRUE,""
1950,"Universitaetsklinikum Essen Aör","Universittsklinikum Essen","exact",TRUE,""
1960,"Herlev Gentofte Hospital","Gentofte Hospital","exact",TRUE,""
1970,"Erasme Hospital","Hopital Erasme","exact",TRUE,""
1980,"Herlev And Gentofte Hospital","Gentofte Hospital","exact",TRUE,""
1990,"Odense Universitetshospital","Odense University Hospital","exact",TRUE,""
2000,"Parc De Salut Mar","Consorci Mar Parc De Salut De Barcelona Parc De Salut Mar","exact",TRUE,""
2010,"Hpital Erasme","Hopital Erasme","exact",TRUE,""
2020,"Allergopharma","Allergopharma Joachim Ganzer","exact",TRUE,""
2030,"Fundacion Para La Investigacion Biomedica Del Hospital Universitario La Paz","Hospital Universitario La Paz","exact",TRUE,""
2040,"Chu Amiens-Picardie","Chu Amiens","exact",TRUE,""
2050,"Institut De Cancerologie De Louest","Institut De Cancerologie De L Ouest","exact",TRUE,""
2060,"Instituto De Investigacion Sanitaria La Fe","Instituto De Investigacin Sanitaria La Fe","exact",TRUE,""
2070,"Fdration Francophone De Cancrologie Digestive Ffcd","Fdration Francophone De Cancrologie Digestive","exact",TRUE,""
2080,"Hellenic Cooperative Hecog","Hellenic Cooperative","exact",TRUE,""
2090,"Nycomed Aps","Nycomed","exact",TRUE,""
2100,"University Hospital Of Heidelberg","University Hospital Heidelberg","exact",TRUE,""
2110,"The University Of Manchester","University Of Manchester","exact",TRUE,""
2120,"Mitsubishi Tanabe","Mitsubishi Tanabe Mtpc","exact",TRUE,""
2130,"Azienda Ospedaliera Arcispedale Santa Maria Nuova/Irccs Di Reggio Emilia","Azienda Ospedaliera Arcispedale S. Maria Nuova","exact",TRUE,""
2140,"Chiron Behring","Chiron","exact",TRUE,""
2150,"Martin-Luther-Universitaet Halle-Wittenberg","Martin-Luther-Universitt Halle-Wittenberg","exact",TRUE,""
2160,"Hospital Foch","Hopital Foch","exact",TRUE,""
2170,"Centre Francois Baclesse","Centre Franois Baclesse","exact",TRUE,""
2180,"Istituto Nazionale Delle Malattie Infettive Lazzaro Spallanzani","Istituto Nazionale Per Le Malattie Infettive Lazzaro Spallanzani","exact",TRUE,""
2190,"Universittsklinikum Schleswig-Holstein","Universitaetsklinikum Schleswig-Holstein Aör","exact",TRUE,""
2200,"Friedrich-Schiller-Universitt Jena","Friedrich-Schiller","exact",TRUE,""
2210,"Heidelberg University","University Of Heidelberg","exact",TRUE,""
2220,"Azienda Ospedaliera S. Gerardo Di Monza","Azienda Ospedaliera San Gerardo Di Monza","exact",TRUE,""
2230,"Fondazione Ricerca Traslazionale","Fondazione Ricerca Traslazionale Fort","exact",TRUE,""
2240,"Fundacion Para La Formacion E Investigacion Sanitaria De La Region De Murcia","Fundacin Para La Formacin E Investigacin Sanitarias De La Regin De Murcia","exact",TRUE,""
2250,"Rheinische Friedrich-Wilhelms-Universitt Bonn","Rheinische Friedrich-Wilhelms","exact",TRUE,""
2260,"Ume University Hospital","Ume University","exact",TRUE,""
2270,"Newron Spa","Newron","exact",TRUE,""
2280,"Oryzon Genomics S. A","Oryzon Genomics","exact",TRUE,""
2290,"Azienda Ospedaliera Ospedali Galliera","Ente Ospedaliero Ospedali Galliera","exact",TRUE,""
2300,"Arcagy-Gineco","Arcagy","exact",TRUE,""
2310,"Royal College Of Surgeons","Royal College Of Surgeons","exact",TRUE,""
2320,"Pierre Fabre Dermatologie Represented By Institut De Recherche Pierre Fabre","Pierre Fabre Dermatologie","exact",TRUE,""
2330,"Institut Fr Klinische Krebsforschung Ikf At Krankenhaus Nordwest","Krankenhaus Nordwest","exact",TRUE,""
2340,"Air Liquide Sante","Air Liquide Sant","exact",TRUE,""
2350,"Fundacin Pblica Andaluza Para La Gestin En Salud De Sevilla Fisevi","Fundacin Pblica Andaluza Para La Gestin De La Investigacin En Salud De Sevilla Fisevi","exact",TRUE,""
2360,"Technische Universitt Mnchen, Fakultt Fr Medizin","Technische Universitt Mnchen","exact",TRUE,""
2370,"Fondation A De Rothschild","Hopital Fondation Adolphe De Rothschild","exact",TRUE,""
2380,"Protalix Biotherapeutics","Protalix","exact",TRUE,""
2390,"Istituto Ortopedico Rizzoli","Istituti Ortopedici Rizzoli","exact",TRUE,""
2400,"Grupo Espaol De Investigacin En Sarcomas Geis","Grupo Espaol De Investigacin En Sarcomas","exact",TRUE,""
2410,"Professor Jrgen Berg Dahl","Professor Jrgen B. Dahl","exact",TRUE,""
2420,"Ascendis","Ascendis Growth Disorders","exact",TRUE,""
2430,"Centre Hospitalier Intercommunal De Crteil","Centre Hospitalier Intercommunal Creteil","exact",TRUE,""
2440,"Institut Catal Doncologia Ico","Institut Catal Doncologia","exact",TRUE,""
2450,"Horizon Usa","Horizon","exact",TRUE,""
2460,"Ascendis Endocrinology","Ascendis","exact",TRUE,
