raw_name,source,suggested_canonical,other_names
Bracco International B.V.,epar_mah,Bracco,NA
Bracco Imaging S.p.A.,epar_mah,Bracco Imaging,NA
BrePco Biopharma Limited,epar_mah,Brepco Biopharma,NA
Camurus AB,epar_mah,Camurus,NA
Cancer Prevention Pharma (Ireland) Limited,epar_mah,Cancer Prevention Pharma,NA
Cangene Europe Limited,epar_mah,Cangene,NA
Canyon Pharmaceuticals Ltd.,epar_mah,Canyon,NA
Cassiopea S.p.A.,epar_mah,Cassiopea,NA
Ceft Biopharma s.r.o.,epar_mah,Ceft Biopharma,NA
CellSeed Europe Ltd,epar_mah,Cellseed,NA
Celltrion Healthcare Hungary Kft.,epar_mah,Celltrion Healthcare Kft,NA
Centauri Biotech SL,epar_mah,Centauri Biotech Sl,NA
Centus Biotherapeutics Europe Limited,epar_mah,Centus Biotherapeutics,NA
Ceva Santé Animale,epar_mah,Ceva Sante Animale,NA
CEVA-Phylaxia Zrt.,epar_mah,Ceva-Phylaxia Zrt,NA
ChemGenex Europe SAS,epar_mah,Chemgenex,NA
Chemical Works of Gedeon Richter Plc. (Gedeon Richter Plc.),epar_mah,Chemical Works Of Gedeon Richter Plc Gedeon Richter,NA
ChemoCentryx Ltd,epar_mah,Chemocentryx,NA
CHEPLAPHARM Arzneimittel GmbH,epar_mah,Cheplapharm Arzneimittel,NA
CHEPLAPHARM Registration GmbH,epar_mah,Cheplapharm Registration,Cheplapharm Registration GmbH
Chiron S.p.A.,epar_mah,Chiron,NA
CinnaGen Co Unipessoal LDA,epar_mah,Cinnagen Co Unipessoal Lda,NA
Cipla Europe NV,epar_mah,Cipla,Cipla (EU) Limited
CIS bio international,epar_mah,Cis Bio,NA
Clinuvel Europe Limited,epar_mah,Clinuvel,NA
Clovis Oncology UK Ltd,epar_mah,Clovis,NA
CNX Therapeutics Ireland Limited,epar_mah,Cnx,NA
CO.DON Gmbh,epar_mah,Co Don,NA
Cordex Biologics International Limited,epar_mah,Cordex Biologics,NA
Corza Medical GmbH,epar_mah,Corza Medical,NA
Cosmo Technologies Ltd,epar_mah,Cosmo Technologies,NA
Covis Pharma Europe B.V.,epar_mah,Covis Pharma,NA
CP-Pharma Handelsgesellschaft mbH,epar_mah,Cp-Pharma Handelsgesellschaft Mbh,NA
Crinetics Pharmaceuticals Europe GmbH,epar_mah,Crinetics,NA
Cstone Pharmaceuticals Ireland Limited,epar_mah,Cstone,NA
CTI Life Sciences Ltd,epar_mah,Cti Life,CTI Life Sciences Limited
CuraTeQ Biologics s.r.o,epar_mah,Curateq Biologics,NA
Curium Romania S.R.L.,epar_mah,Curium,Curium Pet France
Cycle Pharmaceuticals (Europe) Ltd,epar_mah,Cycle,NA
Cytonet GmbH KG,epar_mah,Cytonet,Cytokinetics (Ireland) Limited
DBV Technologies,epar_mah,Dbv Technologies,NA
Dechra Veterinary Products A/S,epar_mah,Dechra Veterinary Products,NA
Deciphera Pharmaceuticals (Netherlands) B.V.,epar_mah,Deciphera,NA
Dendreon UK Ltd,epar_mah,Dendreon,NA
Dipharma Arzneimittel GmbH,epar_mah,Dipharma Arzneimittel,NA
DLRC Pharma Services Ltd,epar_mah,Dlrc Pharma Services,NA
Dompé Biotec S.p.A.,epar_mah,Dompe Biotec,NA
Dompe' Farmaceutici S.p.A.,epar_mah,Dompe' Farmaceutici,NA
DOR BIOPHARMA UK Ltd,epar_mah,Dor Biopharma,NA
Dr. Friedrich Eberth Arzneimittel GmbH,epar_mah,Dr Friedrich Eberth Arzneimittel,NA
"Dr. Gerhard Mann, Chem.-Pharm. Fabrik GmbH..",epar_mah,Dr Gerhard Mann Chem -Pharm Fabrik,NA
Dr. Karl Thomae GmbH,epar_mah,Dr Karl Thomae,NA
Dyax s.a.,epar_mah,Dyax,NA
Dynavax GmbH,epar_mah,Dynavax,Dynavax International B.V.
Eagle Laboratories Ltd.   ,epar_mah,Eagle Laboratories,NA
Eckert  Ziegler Radiopharma GmbH,epar_mah,Eckert Ziegler Radiopharma,Eckert & Ziegler Radiopharma GmbH
Ecuphar,epar_mah,Ecuphar,NA
