entity_key,sponsor_clean_to,sponsor_parent_to,sponsor_group_to,sponsor_type_to,reason
european uro oncology euog,EUOG,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
europeo oncologia,Istituto Europeo di Oncologia,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
exeltis,Exeltis France,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
exponential biotherapies,Exponential Biotherapies,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
faculdade cincias mdicas nova lisboa,Faculdade de Cincias Mdicas Universidade Nova de Lisboa,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
faculty magdeburg,Otto-von-Guericke University,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
faes farma,Faes Farma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fakultni nemocnice ostrava,Fakultní nemocnice Ostrava,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
faron pharmaceuticals,Faron Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fdration francophone cancrologie digestive ffcd,Fdration Francophone de Cancrologie Digestive FFCD,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ferrer internacional,Ferrer Internacional,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
finnish melanoma,Finnish Melanoma Group,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fls lucha contra sida las enfermedades infecciosas promocion salud ciencia,Fundacion Fls De Lucha Contra El Sida Las Enfermedades Infecciosas Y La Promocion De La Salud Y La C,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
foldrx pharmaceuticals,FoldRx Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
forest,Forest Laboratories UK Ltd,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
forma therapeutics,Forma Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fournier ireland,FOURNIER Laboratories Ireland,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
franc cancerologie digestive,Fondation Française de Cancérologie Digestive FFCD,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
franciscus gasthuis vlietland,Franciscus Gasthuis en Vlietland,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
franciscus gasthuis,Franciscus Gasthuis,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
francophone des myelodysplasies,Groupe Francophone Des Myelodysplasies,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
franz khler chemie,Dr. Franz Koehler Chemie GmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fraunhofer gesellschaft its translational itmp,Fraunhofer Gesellschaft,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
fraunhofer translational itmp,Fraunhofer Gesellschaft,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
frederiksberg,Frederiksberg Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
free state bavaria represented regensburg,"Free State of Bavaria rep. by the Univ. of Regensburg, rep. by the Regensburg Univ. Hospital",NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
freiburg,Universitätsklinikum Freiburg,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
fresenius care deutschland,Fresenius Medical Care Deutschland,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fresenius kabi deutschland,Fresenius Kabi,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundaci clnic per recerca biomdica,Fundació Clínic per a la Recerca Biomèdica,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
fundaci clnic recerca biomdica,Fundació Clínic per a la Recerca Biomèdica,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
fundaci dinvestigaci cincies salut germans trias pujol,Fundació Institut de Recerca en Ciències de la Salut Germans Trias i Pujol,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
fundaci lluita contra sida,Fundaci Lluita contra la SIDA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundaci privada eugin,Fundaci Privada EUGIN,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundaci privada per recerca docencia sant joan,Fundaci per la Recerca i la Docncia Sant Joan de Du,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundaci sant joan fsjd,Fundacio Sant Joan De Deu,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundacin interhospitalaria investigacin cardiovascular,Fundacin Investigacin y Desarrollo rea Cardiovascular,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundacin investigacin biomdica paz,Fundación Para La Investigación Biomédica Del Hospital Universitario La Paz,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
fundacin investigacin biomdica universitario puerta hierro,Fundación Investigación Biomédica Hospital Puerta de Hierro,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
fundacin investigacin desarrollo rea cardiovascular,Fundacin Investigacin y Desarrollo rea Cardiovascular,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundacin investigacin hospitales,Fundacin de investigacin de HM Hospitales,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundacin oncosur,Fundación Oncosur,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
fundacin para formacin investigacin sanitaria,FFIS,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundacin para formacin investigacin sanitarias regin murcia,Fundacin para la formacin e investigacin sanitarias de la Regin de Murcia,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundacin para investigacin biomdica del clnico san carlos,Fundacin para la Investigacin Biomdica del Hospital Clnico de San Carlos,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
fundacin para investigacin biomdica del octubre,Fundación para la Investigación Biomédica Hospital Universitario 12 de Octubre,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
fundacin para investigacin biomdica del universitario paz fibhulp,Fundación Para La Investigación Biomédica Del Hospital Universitario La Paz,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
fundacin para investigacin biomdica del universitario paz,Fundación Para La Investigación Biomédica Del Hospital Universitario La Paz,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
fundacin para investigacin biomdica del universitario ramn cajal,Fundacin para la Investigacin Biomdica del Hospital Universitario Ramn y Cajal,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
fundacin para investigacin biomedica del clinico san carlos madrid,Fundación para la Investigación Biomédica del Hospital Clínico San Carlos,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
fundacin pblica andaluza para gestin investigacin salud sevilla fisevi,Fundacion Para La Gestion De La Investigacion En Salud De Sevilla,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundacin pblica andaluza para investigacin mlaga biomedicina salud fimabis,FIMABIS - Fundación Pública Andaluza para la Investigación de Málaga en Biomedicina y Salud,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
fundacin progreso salud,Fundacin progreso y Salud,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
fundacio lluita contra sida,Fundació Lluita contra la SIDA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundacio parc tauli,Fundacio Parc Tauli,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fundacio sant joan deu,Fundacio Sant Joan De Deu,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
fur herz und kreislauferkrankungen deutsches herzzentrum munchen,"Klinik für Herz- und Kreislauferkrankungen, Deutsches Herzzentrum München",NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
galapagos,Galapagos,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
galderma development snc,Galderma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
galderma development,Galderma Research & Development,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
galderma,Galderma Research & Development,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
galenica,Galenica AB,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
gan lee pharmaceuticals,Gan & Lee Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
gedeon richter,Gedeon Richter Plc,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
general ciudad real,Hospital General de Ciudad Real,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
generics,Generics UK,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
geneva,University of Geneva,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
genmab,Genmab,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
gent,Ghent University,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
gentofte,Herlev og Gentofte Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
george global health,The George Institute For Global Health,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
george,St George's Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
georges franois leclerc,Centre Georges François Leclerc,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
georges,St George's Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
gerhard mann chem pharm fabrik,Dr,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
german pediatric oncology gpoh ggmbh,GPOH,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
geron,Geron,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
getaid,GETAID,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
geteccu grupo espaol trabajo enfermedad crohn colitis ulcerosa,GETECCU,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
gfm francophone des mylodysplasies,Groupe Francophone Des Myelodysplasies,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
ggz drenthe,GGZ Drenthe,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
ghent,Ghent University,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
gimema franco mandelli onlus,Fondazione GIMEMA Franco Mandelli ONLUS,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
giscad,GISCAD,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
gitmo,GITMO,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
glaukos,Glaukos,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
glostrup,Glostrup Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
goethe frankfurt,Goethe-Universität Frankfurt am Main,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
goethe,Goethe-Universität Frankfurt am Main,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
goettingen,University Medical Center Göttingen,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
gothenburg,University of Gothenburg,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
great ormond,Great Ormond Street Hospital For Children NHS Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
greater glasgow clyde health board,NHS Greater Glasgow and Clyde,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
greater glasgow clyde,NHS Greater Glasgow and Clyde,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
greater glasgow health board,NHS Greater Glasgow and Clyde,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
greater glasgow yorkhill,NHS Greater Glasgow and Clyde,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
greater glasgow,NHS Greater Glasgow,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
grindeks,Grindeks AS,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
groningen,University Medical Center Groningen,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
groupement des hopitaux catholique lille,Groupement des Hôpitaux de l'Institut Catholique de Lille (GHICL),NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
groupement des hopitaux linstitut catholique lille,Groupement des Hôpitaux de l'Institut Catholique de Lille (GHICL),NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
growth reproduction,Department of Growth and Reproduction,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
grupo espanol investigacion cancer ovario,GEICO,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
grupo espanol investigacion neurooncologia,Grupo Espanol De Investigacion En Neurooncologia,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
grupo espanol multidisciplinar melanoma,Grupo Espanol Multidisciplinar De Melanoma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
grupo espanol tumores neuroendocrinos,Grupo Español de Tumores Neuroendocrinos,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
grupo espaol investigacin cncer ovario geico,GEICO,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
grupo espaol multidisciplinar cncer digestivo gemcad,GEMCAD,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
grupo espaol trasplante hematopoytico terapia celular geth,GETH,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
grupo espaol tratamiento tumores cabeza cuello ttcc,Grupo Español de Tratamiento de los Tumores de Cabeza y Cuello TTCC,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
grupo gallego investigacin tumores digestivos gitud,GITuD - Grupo Gallego de Investigación en Tumores Digestivos,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
grupo tratamiento los tumores digestivos ttd,Grupo TTD,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
gruppo italiano malattie ematologiche delladulto,G.I.M.EM.A. Gruppo Italiano Malattie EMatologiche dellAdulto,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
gruppo oncologico del nord ovest,G.O.N.O. Gruppo Oncologico del Nord Ovest,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
gruppo oncologico italiano ricerca clinica,G.O.I.R.C. Gruppo Oncologico Italiano di Ricerca Clinica,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
gruppo oncologico nord ovest,G.O.N.O. Gruppo Oncologico Nord Ovest,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
gtx,GTx,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
gustave roussy,Gustave Roussy,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
guys thomas,Guys and St Thomas NHS Foundation Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
gyroscope therapeutics,Gyroscope Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
haaglanden,Haaglanden Medisch Centrum,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hal allergy,HAL Allergy,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hamburg eppendorf,University Medical Center Hamburg-Eppendorf,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hammersmith,Hammersmith Hospital NHS Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hanmi pharmaceutical,Hanmi Pharm. Co. Ltd.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hansa,Hansa Biopharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
health,Department of Health,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
heart freiburg bad krozingen,Heart Center Freiburg - Bad Krozingen,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
heart tampere,Tampereen yliopistollinen sairaala,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
heart,Heart Center co.,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
heinrich heine universitt dsseldorf,Heinrich-Heine-Universitaet Duesseldorf,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
helixor heilmittel,Helixor Heilmittel GmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hellenic oncology,Hellenic Oncology Research Group,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
helse bergen haukeland,"Helse Bergen, Haukeland University Hospital",NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
helse bergen,Helse-Bergen HF,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
helse fonna,Helse Fonna,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
helsinki central,HUS - Helsinki University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
helsinki,University of Helsinki,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hematology blood transfusion,Institute Of Hematology And Blood Transfusion,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hematology,Department of Hematology,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hennig arzneimittel,Hennig Arzneimittel GmbH & Co. KG,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
henogen,Henogen s.a.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hepatology gastroenterology aarhus,Aarhus University,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
herlev gentofte,Herlev og Gentofte Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
herlev,Herlev University Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
herz und kreislauferkrankungen deutsches herzzentrum mnchen,"Klinik für Herz- und Kreislauferkrankungen, Deutsches Herzzentrum München",NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hexal,HEXAL AG,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
hipra scientific,Hipra Scientific,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hopital joseph,Hôpital Saint Joseph,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hospira,Hospira UK Ltd,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hospitalier brugmann,CHU Brugmann,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hospitalier etienne,CHU de Saint-Étienne,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hospitalier intercommunal creteil,Centre Hospitalier Intercommunal de Créteil,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hospitalier intercommunal toulon seyne sur mer,Centre Hospitalier Intercommunal de Toulon La Seyne-sur-mer,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hospitalier lille,Centre Hospitalier Universitaire de Lille,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hospitalier nancy,CHU de Nancy,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hospitalier regional,Centre Hospitalier Régional et Universitaire,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hospitalier toulouse,CHU de Toulouse,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hospitalier versailles,Centre Hospitalier De Versailles,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hpital des enfants reine fabiola,Hpital Universitaire Des Enfants Reine Fabiola H.U.D.E.R.F.,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hull east yorkshire,Hull and East Yorkshire NHS Trust,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
human genome wholly owned subsidiary glaxosmithkline,Human Genome Sciences Inc.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
humanitas mirasole,Humanitas Mirasole SpA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hus,HUS,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hutchmed,Hutchmed,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
hvidovre rheumatology,"Hvidovre Hospital, Dept. Rheumatology",NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
hvidovre,Hvidovre Hospital,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
ibsa biochimique,IBSA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ichthyol gesellschaft cordes hermanni,Ichthyol-Gesellschaft Cordes Hermanni & Co. GmbH & Co. KG,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
idival,IDIVAL,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
idorsia pharmaceuticals,Idorsia Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ielsg international extranodal lymphoma study,IELSG,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
igm biosciences,IGM Biosciences,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
imcyse,Imcyse SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
immodulon therapeutics,Immodulon Therapeutics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
immune design,Immune Design,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
immunomedics,Immunomedics,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
immupharma,ImmuPharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
immutep,Immutep,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
imperial college,Imperial College Healthcare NHS Trust,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
infectious diseases,Department of Infectious Diseases,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
infectopharm arzneimittel und consilium,InfectoPharm,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
infectopharm arzneimittel,InfectoPharm Arzneimittel GmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
infirst healthcare,infirst HEALTHCARE,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
innavirvax,InnaVirVax SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
innoup farma,InnoUP Farma SL,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
innovation dundee,University Of Dundee,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
innovation nottingham,University of Nottingham,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
innovation,Research and Innovation Department,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
innsbruck fur biomedizinische alternsforschung,"Universität Innsbruck, Institut für Biomedizinische Alternsforschung",NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ino therapeutics,INO Therapeutics AB,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
inspiration biopharmaceuticals,Inspiration Biopharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
instituto aragons ciencias salud,Instituto Aragons de Ciencias de la Salud,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
instituto cientfico tecnolgico navarra,Instituto Cientfico y Tecnolgico de Navarra,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
instituto cientifico tecnologico navarra,Instituto Científico y Tecnológico de Navarra,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
instituto investigacin sanitaria,Instituto de Investigacin Sanitaria La Fe,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
instituto investigacion sanitaria jimenez diaz,Instituto de Investigacion Sanitaria Fundacion Jimenez Diaz,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
instituto investigacion sanitaria valencia,Instituto de Investigacin Sanitaria La Fe,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
instituto investigacion sanitaria,Instituto de Investigacin Sanitaria La Fe,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
instytut pomnik zdrowia dziecka,Instytut Pomnik - Centrum Zdrowia Dziecka,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
integrated therapeutics incorporated subsidiary schering plough,Schering-Plough,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
intermune,InterMune,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
internal,Dept. of Internal Medicine,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
international extranodal lymphoma study ielsg,IELSG,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
intra cellular therapies,Intra-Cellular Therapies,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
intrabio,IntraBio Ltd,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
inventiva,Inventiva,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
iperboreal pharma,Iperboreal Pharma S.r.l.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
irccs bietti per studio ricerca oftalmologia onlus,IRCCS Fondazione GB Bietti,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
irccs centro san giovanni dio fatebenefratelli,IRCCS Centro San Giovanni di Dio Fatebenefratelli,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
irccs granda ospedale maggiore policlinico milano,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
irccs granda ospedale maggiore policlinico,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
irccs nazionale dei tumori,IRCCS Istituto Nazionale dei Tumori,NA,NA,foundation,curated entity canonical from final_sponsor_canonical_review
irccs ricerche farmacologiche mario negri,Istituto Di Ricerche Farmacologiche Mario Negri,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
isala klinieken,Isala,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ismail ggenur,Ismail Ggenur,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
istituti fisioterapici ospitalieri,ISTITUTI FISIOTERAPICI OSPITALIERI,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
italfarmaco,Italfarmaco S.p.A.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
iteos,iTeos Belgium,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
itf pharma,ITF Research Pharma S.L.,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
iveric bio,IVERIC bio,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ivi valencia,IVI Valencia,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
jan brugge oostende,AZ Sint Jan Brugge-Oostende AV,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
janssen cilag international,Janssen,NA,NA,industry,curated entity canonical from final_sponsor_canonical_review
jazz pharmaceuticals ireland,Jazz Pharmaceuticals Inc.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
jazz pharmaceuticals,Jazz Pharmaceuticals PLC,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
jiangsu hengrui pharmaceutical,Jiangsu Hengrui,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
jiangsu hengrui pharmaceuticals,Jiangsu Hengrui,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
jiangsu hengrui,Jiangsu Hengrui,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
joaquim bellmunt molins,Joaquim Bellmunt Molins,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
johannes gutenberg mainz,Universitatsmedizin der Johannes Gutenberg-Universitat Mainz KöR,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
johns hopkins,Johns Hopkins University,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
johnson pharmaceutical development,Johnson Johnson Pharmaceutical Research and Development,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
joint uclh ucl biomedical,University College London,NA,NA,academic,curated entity canonical from final_sponsor_canonical_review
jolla pharmaceutical,La Jolla Pharmaceutical Company,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
jorge orduna valls,Jorge Orduna Valls,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
josef ruhr bochum,Universitätsklinikum Knappschaftskrankenhaus Bochum GmbH,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
josep ordi ros,JOSEP ORDI-ROS,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
jules bordet,Institut Jules Bordet,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
