entity_key,sponsor_clean_to,sponsor_parent_to,sponsor_group_to,sponsor_type_to,reason
antibiotice,Antibiotice SA,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
antisense therapeutics,Antisense Therapeutics Ltd.,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
antonio perez martinez,ANTONIO PEREZ MARTINEZ,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
antonio prez martnez,Antonio Pérez-Martínez,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
antwerp respiratory,University Hospital Antwerp,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
antwerp,University Hospital Antwerp,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
aop orphan pharmaceuticals,AOP Orphan Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
aou bologna policlinico orsola malpighi,AOU di Bologna Policlinico S.Orsola-Malpighi,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
aphaia pharma,Aphaia Pharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
apogenix,Apogenix GmbH,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
aquinox pharmaceuticals,Aquinox Pharmaceuticals,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
arcagy,Arcagy Gineco,NA,NA,cooperative_group,curated entity canonical from final_sponsor_canonical_review
array biopharma,Array BioPharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
asac pharmaceutical inmunology,Asac Pharmaceutical Inmunology,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
ascendis pharma,Ascendis Pharma,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
askbio,Askbio,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
asklepios sankt augustin,Asklepios Klinik Sankt Augustin,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
asociacin instituto biodonostia,Asociacion Instituto Biogipuzkoa,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
assistance publique hopitaux marseille,Assistance Publique - Hôpitaux de Marseille,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
assistance publique hopitaux paris,AP-HP,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
assistance publique hpitaux marseille,Assistance Publique - Hôpitaux de Marseille,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
associaci per recerca oncolgica apro,Associaci Per la Recerca Oncolgica APRO,NA,NA,unknown,curated entity canonical from final_sponsor_canonical_review
association hospitalire chu brugmann,CHU Brugmann,NA,NA,hospital,curated entity canonical from final_sponsor_canonical_review
