alias_clean,suggested_canonical,sponsor_parent,sponsor_group,sponsor_type,source,confidence_prior
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance publique-hopitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assistance-publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,AP-HP,AP-HP,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
assitance publique - hpitaux de paris,AP-HP,NA,NA,hospital,location_postcode,0.7
