cluster_key,entity_key,suggested_canonical,sponsor_labels,aliases_sample,sources,sponsor_types,score,evidence,confidence_bucket,blocked_reason,review_bucket,applied
entity:brighton sussex universities development directorate:blocked,brighton sussex universities development directorate,Brighton and Sussex University Hospitals NHS Trust,Brighton and Sussex University Hospitals NHS Trust,brighton and sussex universities hospitals trust research and development directorate|brighton and sussex university hospitals nhs trus|brighton and sussex university hospitals nhs trust,bulk_reviewed|llm_reviewed,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:brighton sussex:auto,brighton sussex,Brighton and Sussex University Hospitals NHS Trust,Brighton and Sussex University Hospitals NHS Trust|Brighton Sussex University Hospitals NHS Trust,brighton and sussex universities hospitals trust research and development directorate|brighton and sussex university hospitals nhs trus|brighton and sussex university hospitals nhs trust|brighton sussex university hospitals nhs trust,bulk_reviewed|llm_reviewed,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:bristol:review,bristol,University Hospitals Bristol NHS Trust,University Hospital Bristol NHS Foundation Trust|University Hospitals Bristol NHS Trust|University of Bristol,university hospital bristol nhs foundation trust|university hospitals bristol|university hospitals bristol nhs foundation trust|university hospitals bristol nhs foundation trust / university of liverpool|university hospitals bristol nhs foundation trust research and innovation department|university hosptial bristol nhs foundation trust|university of bristol,bulk_reviewed|llm_reviewed,hospital|unknown,92,shared alias entity key; shared final-label entity key,review,NA,A-F,FALSE
entity:brussel:auto,brussel,UZ Brussel,University hospital Brussel|UZ Brussel,crg uz brussel|universitair ziekenhuis brussel|university hospital brussel|uz brussel|uzbrussel,bulk_reviewed|llm_reviewed|manual,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:bti mas:auto,bti mas,BTI I MAS D S.L.,BTI I MAS D|BTI I MAS D S.L.,bti i mas d|bti i mas d s l,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:byondis:auto,byondis,Byondis,Byondis|Byondis BV,byondis b v|byondis bv,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:california san francisco:auto,california san francisco,University of California San Francisco,"University of California San Francisco|University of California, San Francisco",f i proctor foundation university of california san francisco|university of california san francisco,llm_reviewed,foundation|unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:calliditas therapeutics suisse:auto,calliditas therapeutics suisse,Calliditas Therapeutics Suisse SA,Calliditas Therapeutics Suisse S.A.|Calliditas Therapeutics Suisse SA,calliditas therapeutics suisse s a|calliditas therapeutics suisse sa,bulk_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cambridge addenbrookes:auto,cambridge addenbrookes,Cambridge University Hospitals NHS Foundation Trust,"Cambridge University Hospitals NHS Foundation Trust, Addenbrookes Hospital",cambridge university hospitals nhs foundation trust addenbrookes hospital,bulk_reviewed,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cambridge addenbrookes:blocked,cambridge addenbrookes,Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,addenbrookes hospital|addenbrookes hospital cambridge university hospitals nhs foundation trust|addenbrookes hospital nhs foundation trust|addenbrookes hospital trust|addenbrookes nhs trust|cambridge hospitals nhs foundation trust and cambridge university|cambridge university hospital addenbrookes hospital|cambridge university hospital nhs foundation trust,llm_reviewed|location_postcode|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cambridge hosptials:blocked,cambridge hosptials,Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,addenbrookes hospital|addenbrookes hospital cambridge university hospitals nhs foundation trust|addenbrookes hospital nhs foundation trust|addenbrookes hospital trust|addenbrookes nhs trust|cambridge hospitals nhs foundation trust and cambridge university|cambridge university hospital addenbrookes hospital|cambridge university hospital nhs foundation trust,llm_reviewed|location_postcode|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cambridge jointly with:blocked,cambridge jointly with,Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals NHS Foundation Trust,addenbrookes hospital|addenbrookes hospital cambridge university hospitals nhs foundation trust|addenbrookes hospital nhs foundation trust|addenbrookes hospital trust|addenbrookes nhs trust|cambridge hospitals nhs foundation trust and cambridge university|cambridge university hospital addenbrookes hospital|cambridge university hospital nhs foundation trust,llm_reviewed|location_postcode|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cambridge:auto,cambridge,Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospital NHS Foundation Trust and University of Cambridge|Cambridge University Hospitals NHS Foundation Trust|Cambridge University Hospitals NHS Foundation Trust and University of Cambridge|University of Cambridge,addenbrookes hospital|addenbrookes hospital cambridge university hospitals nhs foundation trust|addenbrookes hospital nhs foundation trust|addenbrookes hospital trust|addenbrookes nhs trust|cambridge hospitals nhs foundation trust and cambridge university|cambridge university hospital addenbrookes hospital|cambridge university hospital nhs foundation trust,bulk_reviewed|llm_reviewed|location_postcode|manual,hospital|unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cancer cliniques universitaires luc:auto,cancer cliniques universitaires luc,"Centre du Cancer, Cliniques universitaires Saint-Luc","CENTRE DU CANCER - CLINIQUES UNIVERSITAIRES SAINT-LUC|Centre du Cancer, Cliniques universitaires Saint-Luc",centre du cancer - cliniques universitaires saint-luc|centre du cancer cliniques universitaires saint-luc,bulk_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cancer royal marsden:blocked,cancer royal marsden,The Royal Marsden NHS Foundation Trust,Institute of Cancer Research|The Institute of Cancer Research / The Royal Marsden NHS Foundation Trust|The Royal Marsden NHS Foundation Trust,institute of cancer research|institute of cancer research / the royal marsden hospital nhs foundation trust|institute of cancer research / the royal marsden nhs foundation trust|prof john yarnold institute of cancer research|royal marsden foundation hospital|royal marsden hospital|royal marsden hospital nhs trust|royal marsden hosptial foundation trust / the institute of cancer research,bulk_reviewed|llm_reviewed|manual,hospital|unknown,0,shared alias entity key; shared final-label entity key,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cancer:review,cancer,Institute of Cancer Research,Cancer Research UK|Centre du Cancer|Institute of Cancer Research|Netherlands Cancer Institute|The Institute of Cancer Research|The Netherlands Cancer Institute,cancer research uk|centre du cancer|institute of cancer research|institute of cancer research / the royal marsden nhs foundation trust|netherlands cancer institute|prof john yarnold institute of cancer research|the institute of cancer research|the institute of cancer research / kings college london,bulk_reviewed|llm_reviewed,charity|unknown,92,shared alias entity key; shared final-label entity key,review,NA,A-F,FALSE
entity:cancerologie louest rene gauducheau:blocked,cancerologie louest rene gauducheau,Institut de Cancérologie de l'Ouest,Institut de Cancérologie de l'Ouest,institut de cancerologie de louest rene gauducheau|institut de cancrologie de louest,llm_reviewed,unknown,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cancerologie ouest:auto,cancerologie ouest,Institut de Cancérologie de l'Ouest,Institut De Cancerologie De L Ouest|Institut de Cancérologie de l'Ouest,institut de cancerologie de l ouest|institut de cancerologie de louest rene gauducheau|institut de cancrologie de louest,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cancrologie louest:blocked,cancrologie louest,Institut de Cancérologie de l'Ouest,Institut de Cancérologie de l'Ouest,institut de cancerologie de louest rene gauducheau|institut de cancrologie de louest,llm_reviewed,unknown,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cardiff univeristy:blocked,cardiff univeristy,Cardiff University,Cardiff University,cardiff univeristy|cardiff university,llm_reviewed|manual,academic,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cardiff vale:auto,cardiff vale,Cardiff and Vale NHS Trust,"Cardiff and Vale NHS Trust|R and D Department, Cardiff and the Vale NHS Trust",cardiff and vale nhs trust|r and d department cardiff and the vale nhs trust,bulk_reviewed,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cardiff:auto,cardiff,Cardiff University,Cardiff University|University Of Cardiff,cardiff univeristy|cardiff university|university of cardiff,llm_reviewed|manual,academic,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cardiology aarhus skejby:blocked,cardiology aarhus skejby,Aarhus University Hospital,Aarhus University Hospital,aarhus universitetshospital|aarhus university hospital|aarhus universityhospital|aarhus unversity hospital|dep anaesthesia and intensive care aarhus university hospital|department of anaesthesiology aarhus university hospital|department of cardiology aarhus university hospital denmark|department of cardiology aarhus university hospital skejby,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cardiology aarhus:blocked,cardiology aarhus,Aarhus University Hospital,Aarhus University Hospital,aarhus universitetshospital|aarhus university hospital|aarhus universityhospital|aarhus unversity hospital|dep anaesthesia and intensive care aarhus university hospital|department of anaesthesiology aarhus university hospital|department of cardiology aarhus university hospital denmark|department of cardiology aarhus university hospital skejby,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cardiology vienna:blocked,cardiology vienna,Medical University Of Vienna,Medical University Of Vienna,abteilung fr anaesthesie und intensivmedizin medizinische universitt wien|abteilung fr hals- nasen- ohrenkrankheiten muw akh wien|abteilung fur hals- nasen- ohrenkrankheiten muw akh wien|allgemeines krankenhaus der stadt wien universitatskliniken / medical university of vienna|department of anaesthesiaintensive care b vienna medical university|department of clinical pharmacology medical university of vienna|department of clinical pharmacology medical university of vienna vienna|department of clinical pharmacology medical university of vienna vienna austria,llm_reviewed|location_postcode|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cardiology:review,cardiology,University Hospital Department of Cardiology,Department of Cardiology|University Hospital Department of Cardiology,department of cardiology|university hospital department of cardiology,bulk_reviewed|llm_reviewed,hospital|unknown,92,shared alias entity key; shared final-label entity key,review,NA,A-F,FALSE
entity:cardiothoracic surgery aalborg universityhospital:blocked,cardiothoracic surgery aalborg universityhospital,Aalborg University Hospital,Aalborg University Hospital,aalborg universitets hospital|aalborg university hospital|aalborg university hospital department of orthopedics|aalborg university hospital department of orthopedics / mogens brouw jrgensen|aalborg university hospital dept of rheumatology|department of anaesthesia and intensive care medicine aalborg university hospital|department of cardiothoracic surgery aalborg universityhospital|department of hematology aalborg university hospital,bulk_reviewed|llm_reviewed|location_postcode|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cardiovascular:auto,cardiovascular,Amsterdam UMC,The Cardiovascular Research Foundation,the cardiovascular research foundation,bulk_reviewed,foundation,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,auto,NA,A-F,TRUE
entity:cardiovascular:blocked,cardiovascular,Amsterdam UMC,Amsterdam UMC,academic medical center|academic medical center amsterdam|academic medical center/ gastroenterology|academic medical centre|academic medical centre amc|academic medical centre amsterdam|academic psychiatric center - amc-uva|academical medical center,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:casa sollievo della sofferenza irccs:blocked,casa sollievo della sofferenza irccs,Casa Sollievo della Sofferenza,Casa Sollievo della Sofferenza|FONDAZIONE CASA SOLLIEVO DELLA SOFFERENZA OPERA DI SAN PIO DA PIETRELCINA OSPEDALE IRCCS,casa sollievo della sofferenza|casa sollievo della sofferenza irccs|fondazione casa sollievo della sofferenza opera di san pio da pietrelcina ospedale irccs,bulk_reviewed|euctr_email_domain:operapadrepio.it|llm_reviewed|location_postcode,hospital|unknown,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:casa sollievo della sofferenza:auto,casa sollievo della sofferenza,Casa Sollievo della Sofferenza,Casa Sollievo della Sofferenza,casa sollievo della sofferenza|casa sollievo della sofferenza irccs,llm_reviewed|location_postcode,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,auto,NA,A-F,TRUE
entity:cassella med:auto,cassella med,Cassella-med GmbH & Co. KG,Cassella-med|Cassella-med GmbH & Co. KG,cassella-med|cassella-med gmbh co kg,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cassiopea:auto,cassiopea,Cassiopea,Cassiopea|Cassiopea S.p.A.|Cassiopea S.p.A. / Cassiopea S.p.A.,cassiopea s p a|cassiopea s p a / cassiopea s p a|cassiopea spa,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:catharina ziekenhuis:auto,catharina ziekenhuis,Catharina Ziekenhuis,Catharina Ziekenhuis|Catharina Ziekenhuis Stichting,catharina ziekenhuis|catharina ziekenhuis stichting,bulk_reviewed|llm_reviewed,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:catharina:auto,catharina,Stichting Catharina Hospital,Stichting Catharina Hospital,stichting catharina hospital,llm_reviewed,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:catharina:blocked,catharina,Stichting Catharina Hospital,Catharina Hospital Eindhoven,catharina hospital|catharina hospital eindhoven,bulk_reviewed|location_postcode,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:catholic leuven:blocked,catholic leuven,KU Leuven,KU Leuven,achg-k u leuven|catholic university leuven|k u leuven|katholieke universiteit leuven|ku leuven|ku leuven-drug delivery and disposition|kuleuven|kuleuven - targid,llm_reviewed|manual,academic,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cell genesys:auto,cell genesys,Cell Genesys,Cell Genesys|Cell Genesys Inc,cell genesys inc|cell genesys ltd,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cellcentric:auto,cellcentric,CellCentric,CellCentric|Cellcentric Limited,cellcentric limited|cellcentric ltd,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cellerix:auto,cellerix,Cellerix S.A.,"Cellerix S.A.|CELLERIX, S.L.",cellerix s a|cellerix s l,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:celtic pharma development bermuda:auto,celtic pharma development bermuda,Celtic Pharma Development Services Bermuda Limited,"Celtic Pharma Development Services Bermuda Limited|Celtic Pharma Development Services Bermuda, Ltd.",celtic pharma development services bermuda limited|celtic pharma development services bermuda ltd,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cemtrum utrecht:blocked,cemtrum utrecht,University Medical Center Utrecht,University Medical Center Utrecht,parnassia-bavo groep / st elisabeth ziekenhuis / university medical center utrecht|umc utrecht|umcu|univeristy medical center utrecht|universitair medisch cemtrum utrecht|universitair medisch centrum utrecht|universiteit utrecht|university eye clinic maastricht,llm_reviewed|location_postcode|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:centr georges francois leclerc:auto,centr georges francois leclerc,Centr Georges Francois Leclerc,Centr Georges Francois Leclerc|Centr Georges Francois Leclerc / Centr Georges Francois Leclerc,centr georges francois leclerc|centr georges francois leclerc / centr georges francois leclerc,bulk_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:central manchester childrens:auto,central manchester childrens,Manchester University NHS Foundation Trust,Central Manchester and Manchester Childrens University Hospitals NHS Trust,central manchester and manchester childrens university hospitals nhs trust,bulk_reviewed,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:central manchester childrens:blocked,central manchester childrens,Manchester University NHS Foundation Trust,Manchester University NHS Foundation Trust,central manchester and manchester childrens hospital university nhs trust|central manchester and manchester childrens hospitals nhs trust|central manchester and manchester university childrens hospital nhs trust|central manchester manchester childrens university hospitals nhs trust|department of r d central manchester and manchester childrens hospital nhs trust|manchester university nhs foundation trust,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:central manchester:auto,central manchester,Central Manchester Foundation Hospitals Trust,Central Manchester Foundation Hospitals Trust|Central Manchester University Hospitals Foundation Trust|Central Manchester University Hospitals NHS Foundation Trust,central manchester foundation hospitals trust|central manchester university hospitals foundation trust|central manchester university hospitals nhs foundation trust,bulk_reviewed,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:central mental health represented commercial administrative director:blocked,central mental health represented commercial administrative director,Central Institute of Mental Health,Central Institute of Mental Health,central institute of mental health|central institute of mental health represented by commercial and administrative director,llm_reviewed,unknown,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:central mental health:auto,central mental health,Central Institute of Mental Health,Central Institute for Mental Health|Central Institute of Mental Health,central institute of mental health|central institute of mental health mannheim zi|central institute of mental health represented by commercial and administrative director,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:centro nacional investigaciones oncolgicas cnio:auto,centro nacional investigaciones oncolgicas cnio,Centro Nacional de Investigaciones Oncológicas CNIO,Centro Nacional Investigaciones Oncolgicas CNIO,centro nacional investigaciones oncolgicas cnio,bulk_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:centro nacional investigaciones oncolgicas cnio:blocked,centro nacional investigaciones oncolgicas cnio,Centro Nacional de Investigaciones Oncológicas CNIO,Centro Nacional de Investigaciones Oncológicas CNIO,centro nacional de investigaciones oncolgicas cnio|centro nacional de investigaciones oncologicas cnio,llm_reviewed|manual,academic,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:centro nacional investigaciones oncologicas cnio:auto,centro nacional investigaciones oncologicas cnio,Centro Nacional de Investigaciones Oncológicas CNIO,Centro Nacional de Investigaciones Oncológicas CNIO,centro nacional de investigaciones oncolgicas cnio|centro nacional de investigaciones oncologicas cnio,llm_reviewed|manual,academic,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,auto,NA,A-F,TRUE
entity:cephalon europe:blocked,cephalon europe,Cephalon,Cephalon,cephalon europe a division of cephalon uk limited|cephalon inc|cephalon uk limited,llm_reviewed,unknown,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:cephalon:auto,cephalon,Cephalon,"Cephalon|Cephalon, Inc.",cephalon europe a division of cephalon uk limited|cephalon france|cephalon inc|cephalon uk limited,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cerenis therapeutics:auto,cerenis therapeutics,Cerenis Therapeutics,Cerenis Therapeutics|CERENIS THERAPEUTICS SA,cerenis therapeutics|cerenis therapeutics sa,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cesar central european society anticancer drug ewiv:auto,cesar central european society anticancer drug ewiv,CESAR Central European Society for Anticancer Drug Research EWIV,CESAR Central European Society for Anticancer Drug Research - EWIV|CESAR Central European Society for Anticancer Drug Research EWIV|CESAR Central European Society for Anticancer Drug Research-EWIV,cesar central european society for anticancer drug research - ewiv|cesar central european society for anticancer drug research ewiv|cesar central european society for anticancer drug research-ewiv,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:cesra arzneimittel:auto,cesra arzneimittel,Cesra Arzneimittel GmbH & Co.KG,Cesra Arzneimittel GmbH & Co. KG|Cesra Arzneimittel GmbH & Co.KG,cesra arzneimittel gmbh and co kg / cesra arzneimittel gmbh and co kg|cesra arzneimittel gmbh co kg,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:charit campus mitte psychiatrie und psychotherapie:blocked,charit campus mitte psychiatrie und psychotherapie,"Charité Campus Mitte, Klinik für Psychiatrie und Psychotherapie","Charité Campus Mitte, Klinik für Psychiatrie und Psychotherapie|Charité Campus Mitte; Klinik für Psychiatrie und Psychotherapie",charit campus mitte klinik fr psychiatrie und psychotherapie,llm_reviewed|manual,hospital|unknown,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:charite campus mitte fur psychiatrie und psychotherapie:auto,charite campus mitte fur psychiatrie und psychotherapie,"Charité Campus Mitte, Klinik für Psychiatrie und Psychotherapie","Charité Campus Mitte, Klinik für Psychiatrie und Psychotherapie",charit campus mitte klinik fr psychiatrie und psychotherapie,llm_reviewed,unknown,100,shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:charite campus mitte fur psychiatrie und psychotherapie:blocked,charite campus mitte fur psychiatrie und psychotherapie,"Charité Campus Mitte, Klinik für Psychiatrie und Psychotherapie",Charité Campus Mitte; Klinik für Psychiatrie und Psychotherapie,charit campus mitte klinik fr psychiatrie und psychotherapie,manual,hospital,0,shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:charite organisation:auto,charite organisation,Charite Research Organisation GmbH,Charite Research Organisation GmbH|Charité Research Organisation GmbH,charit research organisation gmbh|charite research organisation gmbh,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:chelsea therapeutics:auto,chelsea therapeutics,Chelsea Therapeutics,Chelsea Therapeutics|Chelsea Therapeutics Inc,chelsea therapeutics inc|chelsea therapeutics incorporated,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:chelsea westminster:auto,chelsea westminster,Chelsea and Westminster NHS Foundation Trust,Chelsea and Westminster Hospital NHS Foundation Trust|Chelsea and Westminster NHS Foundation Trust|Chelsea Westminster NHS Foundation Trust,chelsea and westminster hospital|chelsea and westminster hospital nhs foundation trust|chelsea and westminster nhs foundation trust|chelsea westminster nhs foundation trust,bulk_reviewed|llm_reviewed,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:chemo:auto,chemo,CHEMO France,CHEMO France|Chemo Research S.L.,chemo france|chemo research s l,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:childrens:review,childrens,Childrens Research Institute,Childrens Research Institute|University Childrens Hospital,childrenss research institute|university childrens hospital|university childrins hospital,llm_reviewed,hospital|unknown,92,shared alias entity key; shared final-label entity key,review,NA,A-F,FALSE
entity:chimerix:auto,chimerix,Chimerix,Chimerix|Chimerix UK Limited,chimerix inc|chimerix inc / chimerix inc|chimerix uk limited,llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:chiron:auto,chiron,Chiron,Chiron|Chiron S.r.l.,chiron|chiron corporation limited|chiron corporation ltd|chiron s p a|chiron s r l,bulk_reviewed|epar_mah|llm_reviewed|manual,industry|unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:christie:auto,christie,The Christie NHS Foundation Trust,Christie Hospital|Christie Hospital NHS Foundation Trust|Christie Hospital NHS Trust|The Christie Hospital NHS Foundation Trust|The Christie NHS Foundation Trust,christie hospital|christie hospital nhs foundation trust|christie hospital nhs trust|the christie hospital nhs foundation trust|the christie nhs foundation trust|the christie nhs foundation trust rd,bulk_reviewed|llm_reviewed|location_postcode|manual,hospital,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:chru lille:blocked,chru lille,Centre Hospitalier Universitaire de Lille,Centre Hospitalier Universitaire de Lille,centre hospitalier regional universitaire de lille|centre hospitalier rgional et universitaire de lille|centre hospitalier rgional universitaire de lille|centre hospitalier rgional universitaire lille|centre hospitalier universiatire de lille|centre hospitalier universitaire d'lille|centre hospitalier universitaire de lille|centre hospitalier universitaire lille,llm_reviewed|manual,hospital,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
