cluster_key,entity_key,suggested_canonical,sponsor_labels,aliases_sample,sources,sponsor_types,score,evidence,confidence_bucket,blocked_reason,review_bucket,applied
entity:abbott scandinavia:blocked,abbott scandinavia,Abbott,Abbott,abbott|abbott biologicals b v|abbott france|abbott gmbh|abbott gmbh and co kg|abbott healthcare products b v|abbott laboratories|abbott laboratories ltd,epar_mah|llm_reviewed|manual,industry,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:abbott:auto,abbott,Abbott,Abbott|Abbott Laboratories,abbott|abbott biologicals b v|abbott france|abbott gmbh|abbott gmbh and co kg|abbott healthcare products b v|abbott laboratories|abbott laboratories gmbh,bulk_reviewed|epar_mah|llm_reviewed|manual,industry,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:abcsg austrian breast colorectal cancer study:auto,abcsg austrian breast colorectal cancer study,ABCSG,ABCSG Austrian Breast Colorectal Cancer Study Group,abcsg austrian breast colorectal cancer study group,bulk_reviewed,cooperative_group,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:abcsg austrian breast colorectal cancer study:blocked,abcsg austrian breast colorectal cancer study,ABCSG,ABCSG,abcsg - austrian breast colorectal cancer study group|austrian breast and colorectal cancer study group abcsg|austrian breast cancer study group|austrian breast colorectal cancer study group abcsg|verein zur praevention und therapie boesartiger erkrankungen austrian breast and colorectal cancer study group,llm_reviewed|manual,cooperative_group,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:abcsg:auto,abcsg,ABCSG,ABCSG,abcsg - austrian breast colorectal cancer study group|austrian breast and colorectal cancer study group abcsg|austrian breast cancer study group|austrian breast colorectal cancer study group abcsg|verein zur praevention und therapie boesartiger erkrankungen austrian breast and colorectal cancer study group,llm_reviewed|manual,cooperative_group,100,shared final-label entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,auto,NA,A-F,TRUE
entity:abeona therapeutics europe:blocked,abeona therapeutics europe,Abeona Therapeutics,Abeona Therapeutics,abeona therapeutics europe sl,llm_reviewed,unknown,0,shared alias entity key; curated entity canonical from final_sponsor_canonical_review; generated from target sponsor aliases,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:abeona therapeutics:auto,abeona therapeutics,Abeona Therapeutics,Abeona Therapeutics|Abeona Therapeutics Inc,abeona therapeutics europe sl|abeona therapeutics inc,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:aberdeen grampian:blocked,aberdeen grampian,University of Aberdeen / NHS Grampian,University of Aberdeen / NHS Grampian|University of Aberdeen / NHS Grampian Health Board,university of aberdeen / nhs grampian|university of aberdeen / nhs grampian health board|university of aberdeen nhs grampian,llm_reviewed,hospital,0,shared alias entity key; shared final-label entity key,blocked,combined multi-entity label or alias-only family evidence excluded from auto-map,A-F,FALSE
entity:ability pharmaceuticals:auto,ability pharmaceuticals,Ability Pharmaceuticals,"Ability Pharmaceuticals|Ability Pharmaceuticals, SL",ability pharmaceuticals s a|ability pharmaceuticals sl,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
entity:abiogen pharma:auto,abiogen pharma,Abiogen Pharma S.p.A.,ABIOGEN PHARMA|Abiogen Pharma S.p.A.,abiogen pharma|abiogen pharma s p a,bulk_reviewed|llm_reviewed,unknown,100,shared alias entity key; shared final-label entity key; curated entity canonical from final_sponsor_canonical_review,auto,NA,A-F,TRUE
