alias_clean,substance_clean,alias_type,source
opdualag,nivolumab|relatlimab,ema_product_name,epar
lysakare,l-arginine hydrochloride|l-lysine hydrochloride,ema_product_name,epar
gobivaz,golimumab,ema_product_name,epar
metalyse,tenecteplase,ema_product_name,epar
lutathera,lutetium (177lu) oxodotreotide,ema_product_name,epar
fetcroja,cefiderocol sulfate tosilate,ema_product_name,epar
eltrombopag accord,eltrombopag olamine,ema_product_name,epar
etcamah,camizestrant,ema_product_name,epar
vfend,voriconazole,ema_product_name,epar
tolucombi,telmisartan|hydrochlorothiazide,ema_product_name,epar
fluenz,"influenza virus (live attenuated)|a|missouri|11|2025 (h1n1)pdm09 - like strain (a|switzerland|6849|2025, medi 400592)|a|darwin|1454|2025 (h3n2) - like strain (a|darwin|1369|2025, medi 406666)|b|tokyo|eis13-175|2025 - like strain (b|perth|115|2025, medi 407730)",ema_product_name,epar
enhertu,trastuzumab deruxtecan,ema_product_name,epar
retacrit,epoetin zeta,ema_product_name,epar
tafamidis accord,tafamidis,ema_product_name,epar
ruxolitinib viatris,ruxolitinib hemifumarate,ema_product_name,epar
ogsiveo,nirogacestat hydrobromide,ema_product_name,epar
riociguat accord,riociguat,ema_product_name,epar
pluvicto,lutetium (177lu) vipivotide tetraxetan,ema_product_name,epar
scemblix,asciminib hydrochloride,ema_product_name,epar
yondelis,trabectedin,ema_product_name,epar
intrarosa,prasterone,ema_product_name,epar
inaqovi,cedazuridine|decitabine,ema_product_name,epar
anzupgo,delgocitinib,ema_product_name,epar
kefdensis,denosumab,ema_product_name,epar
hukyndra,adalimumab,ema_product_name,epar
flucelvax,"a|missouri|11|2025 (h1n1)pdm09-like strain (a|tasmania|318|2025, cvr-351)|a|darwin|1415|2025 (h3n2)-like strain (a|tasmania|787|2025, cvr-388)|b|pennsylvania|14|2025-like strain (b|arizona|21|2025, wild type)",ema_product_name,epar
fluad,"type a (h1n1) strain|type a (h3n2) strain|type b strain|a|missouri|11|2025 (h1n1)pdm09-like strain (a|missouri|11|2025, ivr-279)|a|darwin|1454|2025 (h3n2)-like strain (a|michigan|105|2025, ivr-285)|b|tokyo|eis13-175|2025-like strain (b|tokyo|eis13-175|2025, wild type)",ema_product_name,epar
bexatil,bexagliflozin,ema_product_name,epar
inhixa,enoxaparin sodium,ema_product_name,epar
vaxneuvance,pneumococcal polysaccharide conjugate vaccine (adsorbed),ema_product_name,epar
zemcelpro,"allogeneic umbilical cord-derived cd34- cells, non-expanded|dorocubicel",ema_product_name,epar
elocta,efmoroctocog alfa,ema_product_name,epar
xeljanz,tofacitinib,ema_product_name,epar
benlysta,belimumab,ema_product_name,epar
hympavzi,marstacimab,ema_product_name,epar
xervyteg,"allogeneic faecal microbiota, pooled",ema_product_name,epar
rybrevant,amivantamab,ema_product_name,epar
saphnelo,anifrolumab,ema_product_name,epar
maviret,glecaprevir|pibrentasvir,ema_product_name,epar
paxneury,guanfacine hydrochloride,ema_product_name,epar
veyvondi,vonicog alfa,ema_product_name,epar
erbitux,cetuximab,ema_product_name,epar
yartemlea,narsoplimab,ema_product_name,epar
rinvoq,upadacitinib,ema_product_name,epar
rozlytrek,entrectinib,ema_product_name,epar
poulvac procerta hvt-nd,"turkey herpesvirus, strain hvt-nd (cell-associated), expressing the f protein gene of newcastle disease virus, live",ema_product_name,epar
ekterly,sebetralstat,ema_product_name,epar
qaialdo,spironolactone,ema_product_name,epar
tuznue,trastuzumab,ema_product_name,epar
hemgenix,etranacogene dezaparvovec,ema_product_name,epar
bildyos,denosumab,ema_product_name,epar
bilprevda,denosumab,ema_product_name,epar
dyrupeg,pegfilgrastim,ema_product_name,epar
zefylti,filgrastim,ema_product_name,epar
acvybra,denosumab,ema_product_name,epar
hetronifly,serplulimab,ema_product_name,epar
libmyris,adalimumab,ema_product_name,epar
kostaive,covid-19 sa-mrna vaccine,ema_product_name,epar
humalog,insulin lispro,ema_product_name,epar
abasaglar (previously abasria),insulin glargine,ema_product_name,epar
lyumjev (previously liumjev),insulin lispro,ema_product_name,epar
paxlovid,nirmatrelvir|ritonavir,ema_product_name,epar
venclyxto,venetoclax,ema_product_name,epar
natpar,parathyroid hormone,ema_product_name,epar
fendrix,hepatitis b surface antigen,ema_product_name,epar
esbriet,pirfenidone,ema_product_name,epar
neofordex,dexamethasone,ema_product_name,epar
vaxchora,"vibrio cholerae, strain cvd 103-hgr, live",ema_product_name,epar
bomyntra,denosumab,ema_product_name,epar
olazax,olanzapine,ema_product_name,epar
nobivac nxt hcpch,"chlamydia felis, strain baker, live|felid herpesvirus 1, strain g2620a, live|feline calicivirus (fcv), strain f9, live|feline panleucopenia virus (fpl), strain mw-1, live",ema_product_name,epar
nobivac nxt hcp,"felid herpesvirus 1, strain g2620a, live|feline calicivirus (fcv), strain f9, live|feline panleucopenia virus (fpl), strain mw-1, live",ema_product_name,epar
desloratadine actavis,desloratadine,ema_product_name,epar
nobivac nxt hc,"feline herpesvirus 1 (fhv), strain g2620a, live|feline calicivirus (fcv), strain f9, live",ema_product_name,epar
